grade;standard;manufacturer;country;source;analogues;c;cr;mo;v;w;co;ni;mn;si;s;p;cu;nb;n;tech
S30800;UNS, США;;США;csv:Аустенитные стали.csv;308;0,08;19,0-21,0;;;;;10,0-12,0;2,0;1,00;0,03;0,045;;;;
Alleima® 253 MA;AISI, США;;США;csv:Аустенитные стали.csv;S30815|1.4835;0,05-0,10;20,0-22,0;0,75-1,50;;;;10,0-12,0;≤2,00;1,40-2,00;≤0,015;≤0,040;;;0,14-0,20;"Ce: 0,03-0,08; Nb: ≤0,10"
S30815;UNS, США;;США;csv:Аустенитные стали.csv;Alleima® 253 MA|1.4835;0,05-0,10;20,0-22,0;0,75-1,50;;;;10,0-12,0;≤2,00;1,40-2,00;≤0,015;≤0,040;;;0,14-0,20;"Ce: 0,03-0,08; Nb: ≤0,10"
1.4835;EN, Европа;;Европа;csv:Аустенитные стали.csv;Alleima® 253 MA|S30815;0,05-0,10;20,0-22,0;0,75-1,50;;;;10,0-12,0;≤2,00;1,40-2,00;≤0,015;≤0,040;;;0,14-0,20;"Ce: 0,03-0,08; Nb: ≤0,10"
309;AISI, США;;США;csv:Аустенитные стали.csv;S30900|1.4828;0,20;22,0-24,0;;;;;12,0-15,0;2,0;1,00;0,03;0,045;;;;
S30900;UNS, США;;США;csv:Аустенитные стали.csv;309|1.4828;0,20;22,0-24,0;;;;;12,0-15,0;2,0;1,00;0,03;0,045;;;;
1.4828;EN, Европа;;Европа;csv:Аустенитные стали.csv;309|S30900;0,20;22,0-24,0;;;;;12,0-15,0;2,0;1,00;0,03;0,045;;;;
309S;AISI, США;;США;csv:Аустенитные стали.csv;S30908|1.4833;0,08;22,0-24,0;;;;;12,0-15,0;2,0;1,00;0,03;0,045;;;;
S30908;UNS, США;;США;csv:Аустенитные стали.csv;309S|1.4833;0,08;22,0-24,0;;;;;12,0-15,0;2,0;1,00;0,03;0,045;;;;
1.4833;EN, Европа;;Европа;csv:Аустенитные стали.csv;309S|S30908;0,08;22,0-24,0;;;;;12,0-15,0;2,0;1,00;0,03;0,045;;;;
310;AISI, США;;США;csv:Аустенитные стали.csv;S31000|1.4845;0,25;24,0-26,0;;;;;19,0-22,0;2,0;1,50;0,03;0,045;;;;
S31000;UNS, США;;США;csv:Аустенитные стали.csv;310|1.4845;0,25;24,0-26,0;;;;;19,0-22,0;2,0;1,50;0,03;0,045;;;;
1.4845;EN, Европа;;Европа;csv:Аустенитные стали.csv;310|S31000;0,25;24,0-26,0;;;;;19,0-22,0;2,0;1,50;0,03;0,045;;;;
Alleima® 2RE10;AISI, США;;США;csv:Аустенитные стали.csv;S31002|1.4333;0,015;24,0-26,0;0,10;;;;19,0-22,0;2,00;0,15;0,015;0,020;;;0,100;
S31002;UNS, США;;США;csv:Аустенитные стали.csv;Alleima® 2RE10|1.4333;0,015;24,0-26,0;0,10;;;;19,0-22,0;2,00;0,15;0,015;0,020;;;0,100;
1.4333;EN, Европа;;Европа;csv:Аустенитные стали.csv;Alleima® 2RE10|S31002;0,015;24,0-26,0;0,10;;;;19,0-22,0;2,00;0,15;0,015;0,020;;;0,100;
"310S
Alleima® 7RE10";AISI, США;;США;csv:Аустенитные стали.csv;S31008|1.4845;0,08;24,0-26,0;;;;;19,0-22,0;2,0;1,50;0,03;0,045;;;;
S31008;UNS, США;;США;csv:Аустенитные стали.csv;"310S
Alleima® 7RE10|1.4845";0,08;24,0-26,0;;;;;19,0-22,0;2,0;1,50;0,03;0,045;;;;
Alleima® 2RE69;AISI, США;;США;csv:Аустенитные стали.csv;S31050|1.4541;0,03;24,0-26,0;2,00-3,00;;;;21,0-23,0;2,00;0,50;0,010;0,030;;;0,100-0,160;
S31050;UNS, США;;США;csv:Аустенитные стали.csv;Alleima® 2RE69|1.4541;0,03;24,0-26,0;2,00-3,00;;;;21,0-23,0;2,00;0,50;0,010;0,030;;;0,100-0,160;
1.4541;EN, Европа;;Европа;csv:Аустенитные стали.csv;Alleima® 2RE69|S31050;0,03;24,0-26,0;2,00-3,00;;;;21,0-23,0;2,00;0,50;0,010;0,030;;;0,100-0,160;
314;AISI, США;;США;csv:Аустенитные стали.csv;S31400;0,25;23,0-26,0;;;;;19,0-22,0;2,0;1,5-3,0;0,03;0,045;;;;
S31400;UNS, США;;США;csv:Аустенитные стали.csv;314;0,25;23,0-26,0;;;;;19,0-22,0;2,0;1,5-3,0;0,03;0,045;;;;
316H;AISI, США;;США;csv:Аустенитные стали.csv;S31609|1.4401;0,04-0,10;16,0-18,0;2,0-3,0 Mo;;;;10,0-14,0;2,0;1,00;0,03;0,040;;;;
S31609;UNS, США;;США;csv:Аустенитные стали.csv;316H|1.4401;0,04-0,10;16,0-18,0;2,0-3,0 Mo;;;;10,0-14,0;2,0;1,00;0,03;0,040;;;;
317;AISI, США;;США;csv:Аустенитные стали.csv;S31700;0,08;18,0-20,0;3,0-4,0 Mo;;;;10,0-15,0;2,0;1,00;0,03;0,045;;;;
S31700;UNS, США;;США;csv:Аустенитные стали.csv;317;0,08;18,0-20,0;3,0-4,0 Mo;;;;10,0-15,0;2,0;1,00;0,03;0,045;;;;
317L;AISI, США;;США;csv:Аустенитные стали.csv;S31703|1.4438;0,03;18,0-20,0;3,0-4,0 Mo;;;;10,0-15,0;2,0;1,00;0,03;0,045;;;;
S31703;UNS, США;;США;csv:Аустенитные стали.csv;317L|1.4438;0,03;18,0-20,0;3,0-4,0 Mo;;;;10,0-15,0;2,0;1,00;0,03;0,045;;;;
1.4438;EN, Европа;;Европа;csv:Аустенитные стали.csv;317L|S31703;0,03;18,0-20,0;3,0-4,0 Mo;;;;10,0-15,0;2,0;1,00;0,03;0,045;;;;
321;AISI, США;;США;csv:Аустенитные стали.csv;S32100|1.4541;0,08;17,0-19,0;;;;;9,0-12,0;2,0;1,00;0,03;0,045;;;;5 × %C Ti min
S32100;UNS, США;;США;csv:Аустенитные стали.csv;321|1.4541;0,08;17,0-19,0;;;;;9,0-12,0;2,0;1,00;0,03;0,045;;;;5 × %C Ti min
329;AISI, США;;США;csv:Аустенитные стали.csv;S32900;0,20;23,0-28,0;1,0-2,0 Mo;;;;2,5-5,0;2,0;0,75;0,03;0,045;;;;
S32900;UNS, США;;США;csv:Аустенитные стали.csv;329;0,20;23,0-28,0;1,0-2,0 Mo;;;;2,5-5,0;2,0;0,75;0,03;0,045;;;;
347/347H;AISI, США;;США;csv:Аустенитные стали.csv;S34700|1.4550;0,08;17,0-19,0;;;;;9,0-13,0;≤2,00;≤1,00;≤0,030;≤0,045;;;;Nb: 10×C to 1,0
S34700;UNS, США;;США;csv:Аустенитные стали.csv;347/347H|1.4550;0,08;17,0-19,0;;;;;9,0-13,0;≤2,00;≤1,00;≤0,030;≤0,045;;;;Nb: 10×C to 1,0
1.4550;EN, Европа;;Европа;csv:Аустенитные стали.csv;347/347H|S34700;0,08;17,0-19,0;;;;;9,0-13,0;≤2,00;≤1,00;≤0,030;≤0,045;;;;Nb: 10×C to 1,0
Alleima® 353 MA;AISI, США;;США;csv:Аустенитные стали.csv;S35315|1.4835;0,05;25,0;1,20;;;;35,0;1,60;2,00;0,015;0,040;;;0,17;"Ce: 0,03-0,08; N: 0,17"
S35315;UNS, США;;США;csv:Аустенитные стали.csv;Alleima® 353 MA|1.4835;0,05;25,0;1,20;;;;35,0;1,60;2,00;0,015;0,040;;;0,17;"Ce: 0,03-0,08; N: 0,17"
Sanicro® 25;AISI, США;;США;csv:Аустенитные стали.csv;1.4959;0,10;22,5;3,6;;;;25,0;≤0,50;≤0,50;≤0,010;≤0,030;3,0;;0,23;"W: 1,5; Co: 1,5; Nb: 0,5"
1.4959;EN, Европа;;Европа;csv:Аустенитные стали.csv;Sanicro® 25;0,10;22,5;3,6;;;;25,0;≤0,50;≤0,50;≤0,010;≤0,030;3,0;;0,23;"W: 1,5; Co: 1,5; Nb: 0,5"
20 Cb3™;AISI, США;;США;csv:Аустенитные стали.csv;N08020|2.4660;0,07;19-21;2-3;;;;32-38;2;1;0,03;0,045;3-4;;;8 × %C ≤ Nb ≤ 1,0
N08020;UNS, США;;США;csv:Аустенитные стали.csv;20 Cb3™|2.4660;0,07;19-21;2-3;;;;32-38;2;1;0,03;0,045;3-4;;;8 × %C ≤ Nb ≤ 1,0
2.4660;EN, Европа;;Европа;csv:Аустенитные стали.csv;20 Cb3™|N08020;0,07;19-21;2-3;;;;32-38;2;1;0,03;0,045;3-4;;;8 × %C ≤ Nb ≤ 1,0
20 Mo6™;AISI, США;;США;csv:Аустенитные стали.csv;N08026|2.4858;0,03;22-26;5-6,7;;;;33-37;1;0,5;0,03;0,03;2-4;;;
N08026;UNS, США;;США;csv:Аустенитные стали.csv;20 Mo6™|2.4858;0,03;22-26;5-6,7;;;;33-37;1;0,5;0,03;0,03;2-4;;;
2.4858;EN, Европа;;Европа;csv:Аустенитные стали.csv;20 Mo6™|N08026;0,03;22-26;5-6,7;;;;33-37;1;0,5;0,03;0,03;2-4;;;
SANICRO™ 28;AISI, США;;США;csv:Аустенитные стали.csv;N08028|1.4563;0,03;26-28;3-4;;;;29,5-32,5;2,5;1;0,03;0,03;0,6-1,4;;;
N08028;UNS, США;;США;csv:Аустенитные стали.csv;SANICRO™ 28|1.4563;0,03;26-28;3-4;;;;29,5-32,5;2,5;1;0,03;0,03;0,6-1,4;;;
1.4563;EN, Европа;;Европа;csv:Аустенитные стали.csv;SANICRO™ 28|N08028;0,03;26-28;3-4;;;;29,5-32,5;2,5;1;0,03;0,03;0,6-1,4;;;
SANICRO™ 35;AISI, США;;США;csv:Аустенитные стали.csv;N08035;0,015;27,0-29,0;2,5-3,5;;;;33,0-37,0;≤1,50;≤0,50;≤0,030;≤0,040;1,0-2,5;;0,15-0,25;"Si: ≤0,50; Mn: ≤1,50; W: 3,5-5,0; Cu: 1,0-2,5; Co: ≤5,0"
N08035;UNS, США;;США;csv:Аустенитные стали.csv;SANICRO™ 35;0,015;27,0-29,0;2,5-3,5;;;;33,0-37,0;≤1,50;≤0,50;≤0,030;≤0,040;1,0-2,5;;0,15-0,25;"Si: ≤0,50; Mn: ≤1,50; W: 3,5-5,0; Cu: 1,0-2,5; Co: ≤5,0"
AL-6XN®;AISI, США;;США;csv:Аустенитные стали.csv;N08367|1.4547;0,03;20-22;6-7;;;;23,5-25,5;2;1;0,03;0,04;0,75;;0,18-0,25;8 × %C ≤ Nb ≤ 0,5
N08367;UNS, США;;США;csv:Аустенитные стали.csv;AL-6XN®|1.4547;0,03;20-22;6-7;;;;23,5-25,5;2;1;0,03;0,04;0,75;;0,18-0,25;8 × %C ≤ Nb ≤ 0,5
1.4547;EN, Европа;;Европа;csv:Аустенитные стали.csv;AL-6XN®|N08367;0,03;20-22;6-7;;;;23,5-25,5;2;1;0,03;0,04;0,75;;0,18-0,25;8 × %C ≤ Nb ≤ 0,5
JST™ 700;AISI, США;;США;csv:Аустенитные стали.csv;N08700;0,04;19-23;4,3-5,0;;;;24-26;2;1;0,03;0,03;0,5;;;
N08700;UNS, США;;США;csv:Аустенитные стали.csv;JST™ 700;0,04;19-23;4,3-5,0;;;;24-26;2;1;0,03;0,03;0,5;;;
904L;AISI, США;;США;csv:Аустенитные стали.csv;N08904|1.4539;0,02;19-23;4-5;;;;23-28;2;1;0,035;0,045;1-2;;;
N08904;UNS, США;;США;csv:Аустенитные стали.csv;904L|1.4539;0,02;19-23;4-5;;;;23-28;2;1;0,035;0,045;1-2;;;
1.4539;EN, Европа;;Европа;csv:Аустенитные стали.csv;904L|N08904;0,02;19-23;4-5;;;;23-28;2;1;0,035;0,045;1-2;;;
1925hMo, 25-6Mo™;AISI, США;;США;csv:Аустенитные стали.csv;N08925|1.4529;0,02;19-21;6-7;;;;24-26;1;0,5;0,03;0,045;0,8-1,5;;0,1-0,20;
N08925;UNS, США;;США;csv:Аустенитные стали.csv;1925hMo, 25-6Mo™|1.4529;0,02;19-21;6-7;;;;24-26;1;0,5;0,03;0,045;0,8-1,5;;0,1-0,20;
1.4529;EN, Европа;;Европа;csv:Аустенитные стали.csv;1925hMo, 25-6Mo™|N08925;0,02;19-21;6-7;;;;24-26;1;0,5;0,03;0,045;0,8-1,5;;0,1-0,20;
Alloy 926;AISI, США;;США;csv:Аустенитные стали.csv;N08926|1.4529;0,02;19-21;6-7;;;;24-26;2;0,5;0,01;0,03;0,5-1,5;;0,15-0,25;
N08926;UNS, США;;США;csv:Аустенитные стали.csv;Alloy 926|1.4529;0,02;19-21;6-7;;;;24-26;2;0,5;0,01;0,03;0,5-1,5;;0,15-0,25;
254SMO™;AISI, США;;США;csv:Аустенитные стали.csv;S31254|1.4547;0,02;19,5-20,5;6,0-6,5;;;;17,5-18,5;1;0,8;0,01;0,03;0,5-1,0;;0,18-0,22;
S31254;UNS, США;;США;csv:Аустенитные стали.csv;254SMO™|1.4547;0,02;19,5-20,5;6,0-6,5;;;;17,5-18,5;1;0,8;0,01;0,03;0,5-1,0;;0,18-0,22;
317LM;AISI, США;;США;csv:Аустенитные стали.csv;S31725;0,03;18-20;4-5;;;;13-17;2;0,75;0,03;0,045;;;;
S31725;UNS, США;;США;csv:Аустенитные стали.csv;317LM;0,03;18-20;4-5;;;;13-17;2;0,75;0,03;0,045;;;;
17-14-4 LN;AISI, США;;США;csv:Аустенитные стали.csv;S31726;0,03;17-20;4-5;;;;13,5-17,5;2;0,75;0,03;0,03;;;0,10-0,20;
S31726;UNS, США;;США;csv:Аустенитные стали.csv;17-14-4 LN;0,03;17-20;4-5;;;;13,5-17,5;2;0,75;0,03;0,03;;;0,10-0,20;
1.4460;EN, Европа;;Европа;csv:Дуплексные стали.csv;329|S32900;0,08;23,0-28,0;1,0-2,0;;;;2,5-5,0;1,00;;;;;;;
"3RE60
Alleima® 3RE60";AISI, США;;США;csv:Дуплексные стали.csv;S31500|1.4424;0,03;18,0-19,0;2,5-3,0;;;;4,3-5,2;;;;;;;0,05-0,1;
S31500;UNS, США;;США;csv:Дуплексные стали.csv;"3RE60
Alleima® 3RE60|1.4424";0,03;18,0-19,0;2,5-3,0;;;;4,3-5,2;;;;;;;0,05-0,1;
1.4424;EN, Европа;;Европа;csv:Дуплексные стали.csv;"3RE60
Alleima® 3RE60|S31500";0,03;18,0-19,0;2,5-3,0;;;;4,3-5,2;;;;;;;0,05-0,1;
U50;AISI, США;;США;csv:Дуплексные стали.csv;S32004|1.4362;0,04;20,5-22,5;2,0-3,0;;;;5,5-8,5;2,00;;;;1,0-2,0;;0,20;
S32004;UNS, США;;США;csv:Дуплексные стали.csv;U50|1.4362;0,04;20,5-22,5;2,0-3,0;;;;5,5-8,5;2,00;;;;1,0-2,0;;0,20;
1.4362;EN, Европа;;Европа;csv:Дуплексные стали.csv;U50|S32004;0,04;20,5-22,5;2,0-3,0;;;;5,5-8,5;2,00;;;;1,0-2,0;;0,20;
S32001;UNS, США;;США;csv:Дуплексные стали.csv;2304|1.4362;0,03;19,5-21,5;0,6;;;;1,0-3,0;4,0-6,0;;;;1,0;;0,05-0,17;
S32101;UNS, США;;США;csv:Дуплексные стали.csv;2304|1.4162;0,04;21,0-22,0;0,1-0,8;;;;1,35-1,7;4,0-6,0;;;;0,1-0,8;;0,20-0,25;
1.4162;EN, Европа;;Европа;csv:Дуплексные стали.csv;2304|S32101;0,04;21,0-22,0;0,1-0,8;;;;1,35-1,7;4,0-6,0;;;;0,1-0,8;;0,20-0,25;
S32202;UNS, США;;США;csv:Дуплексные стали.csv;2304|1.4062;0,03;21,5-24,0;0,45;;;;1,0-2,8;2,00;;;;;;0,18-0,26;
1.4062;EN, Европа;;Европа;csv:Дуплексные стали.csv;2304|S32202;0,03;21,5-24,0;0,45;;;;1,0-2,8;2,00;;;;;;0,18-0,26;
S82011;UNS, США;;США;csv:Дуплексные стали.csv;2304|1.4482;0,03;20,5-23,5;0,1-1,0;;;;1,0-2,0;2,0-3,0;;;;0,5;;0,15-0,27;
1.4482;EN, Европа;;Европа;csv:Дуплексные стали.csv;2304|S82011;0,03;20,5-23,5;0,1-1,0;;;;1,0-2,0;2,0-3,0;;;;0,5;;0,15-0,27;
"2304
SAF™ 2304";AISI, США;;США;csv:Дуплексные стали.csv;S32304|1.4362;0,03;21,5-24,5;0,05-0,6;;;;3,5-5,5;2,50;;;;0,05-0,60;;0,05-0,20;
S32304;UNS, США;;США;csv:Дуплексные стали.csv;"2304
SAF™ 2304|1.4362";0,03;21,5-24,5;0,05-0,6;;;;3,5-5,5;2,50;;;;0,05-0,60;;0,05-0,20;
1.4462;EN, Европа;;Европа;csv:Дуплексные стали.csv;2304;0,03;22,0-24,0;0,1-0,6;;;;3,5-5,5;2,00;;;;1,0-3,0;;0,05-0,20;
2205;AISI, США;;США;csv:Дуплексные стали.csv;S32003|1.4462;0,03;19,5-22,5;1,5-2,0;;;;3,0-4,0;2,00;;;;;;0,14-0,20;
S32003;UNS, США;;США;csv:Дуплексные стали.csv;2205|1.4462;0,03;19,5-22,5;1,5-2,0;;;;3,0-4,0;2,00;;;;;;0,14-0,20;
"2205
Sanmac® 2205";AISI, США;;США;csv:Дуплексные стали.csv;S31803;0,03;21,0-23,0;2,5-3,5;;;;4,5-6,5;2,00;;;;;;0,08-0,20;
S31803;UNS, США;;США;csv:Дуплексные стали.csv;"2205
Sanmac® 2205";0,03;21,0-23,0;2,5-3,5;;;;4,5-6,5;2,00;;;;;;0,08-0,20;
S32205;UNS, США;;США;csv:Дуплексные стали.csv;2205|1.4462;0,03;22,0-23,0;3,0-3,5;;;;4,5-6,5;2,00;;;;;;0,14-0,20;
44LN;AISI, США;;США;csv:Дуплексные стали.csv;S31200|1.4466;0,03;24,0-26,0;1,2-2,0;;;;5,5-6,5;2,00;;;;;;0,14-0,20;
S31200;UNS, США;;США;csv:Дуплексные стали.csv;44LN|1.4466;0,03;24,0-26,0;1,2-2,0;;;;5,5-6,5;2,00;;;;;;0,14-0,20;
1.4466;EN, Европа;;Европа;csv:Дуплексные стали.csv;44LN|S31200;0,03;24,0-26,0;1,2-2,0;;;;5,5-6,5;2,00;;;;;;0,14-0,20;
DP3;AISI, США;;США;csv:Дуплексные стали.csv;S31260|1.4662;0,03;24,0-26,0;2,5-3,5;;0,1-0,5;;5,5-7,5;1,00;;;;0,2-0,8;;0,10-0,30;
S31260;UNS, США;;США;csv:Дуплексные стали.csv;DP3|1.4662;0,03;24,0-26,0;2,5-3,5;;0,1-0,5;;5,5-7,5;1,00;;;;0,2-0,8;;0,10-0,30;
1.4662;EN, Европа;;Европа;csv:Дуплексные стали.csv;DP3|S31260;0,03;24,0-26,0;2,5-3,5;;0,1-0,5;;5,5-7,5;1,00;;;;0,2-0,8;;0,10-0,30;
25 Cr;AISI, США;;США;csv:Дуплексные стали.csv;S32506|1.4507;0,03;24,0-26,0;2,0-3,5;;0,05-0,30;;5,5-7,2;1,00;;;;;;0,10-0,30;
S32506;UNS, США;;США;csv:Дуплексные стали.csv;25 Cr|1.4507;0,03;24,0-26,0;2,0-3,5;;0,05-0,30;;5,5-7,2;1,00;;;;;;0,10-0,30;
1.4507;EN, Европа;;Европа;csv:Дуплексные стали.csv;25 Cr|S32506;0,03;24,0-26,0;2,0-3,5;;0,05-0,30;;5,5-7,2;1,00;;;;;;0,10-0,30;
S32520;UNS, США;;США;csv:Дуплексные стали.csv;25 Cr|1.4501;0,03;24,0-26,0;3,0-4,0;;;;5,5-8,0;1,50;;;;0,5-2,0;;0,23-0,35;
1.4501;EN, Европа;;Европа;csv:Дуплексные стали.csv;25 Cr|S32520;0,03;24,0-26,0;3,0-4,0;;;;5,5-8,0;1,50;;;;0,5-2,0;;0,23-0,35;
255;AISI, США;;США;csv:Дуплексные стали.csv;S32550|1.4507;0,04;24,0-27,0;2,9-3,9;;;;4,5-6,5;1,50;;;;1,5-2,5;;0,25;
S32550;UNS, США;;США;csv:Дуплексные стали.csv;255|1.4507;0,04;24,0-27,0;2,9-3,9;;;;4,5-6,5;1,50;;;;1,5-2,5;;0,25;
2507;AISI, США;;США;csv:Дуплексные стали.csv;S32750|1.4410;0,03;24,0-26,0;3,0-5,0;;;;6,0-8,0;1,20;;;;0,5;;0,24-0,32;
S32750;UNS, США;;США;csv:Дуплексные стали.csv;2507|1.4410;0,03;24,0-26,0;3,0-5,0;;;;6,0-8,0;1,20;;;;0,5;;0,24-0,32;
1.4410;EN, Европа;;Европа;csv:Дуплексные стали.csv;2507|S32750;0,03;24,0-26,0;3,0-5,0;;;;6,0-8,0;1,20;;;;0,5;;0,24-0,32;
Z100;AISI, США;;США;csv:Дуплексные стали.csv;S32760|1.4501;0,03;24,0-26,0;3,0-4,0;;0,5-1,0;;6,0-8,0;1,00;;;;0,5-1,0;;0,20-0,30;
S32760;UNS, США;;США;csv:Дуплексные стали.csv;Z100|1.4501;0,03;24,0-26,0;3,0-4,0;;0,5-1,0;;6,0-8,0;1,00;;;;0,5-1,0;;0,20-0,30;
S32808;UNS, США;;США;csv:Дуплексные стали.csv;2507;0,03;27,0-27,9;0,8-1,2;;2,1-2,5;;7,0-8,2;1,10;;;;;;0,30-0,40;
"2507
Safurex®";AISI, США;;США;csv:Дуплексные стали.csv;S32906|1.4477;0,03;28,0-30,0;1,5-2,6;;;;5,8-7,5;0,80-1,5;;;;0,8;;0,30-0,40;
S32906;UNS, США;;США;csv:Дуплексные стали.csv;"2507
Safurex®|1.4477";0,03;28,0-30,0;1,5-2,6;;;;5,8-7,5;0,80-1,5;;;;0,8;;0,30-0,40;
1.4477;EN, Европа;;Европа;csv:Дуплексные стали.csv;"2507
Safurex®|S32906";0,03;28,0-30,0;1,5-2,6;;;;5,8-7,5;0,80-1,5;;;;0,8;;0,30-0,40;
7MoPLUS;AISI, США;;США;csv:Дуплексные стали.csv;S32950|1.4477;0,03;26,0-29,0;1,0-2,5;;;;3,5-5,2;2,00;;;;;;0,15-0,35;
S32950;UNS, США;;США;csv:Дуплексные стали.csv;7MoPLUS|1.4477;0,03;26,0-29,0;1,0-2,5;;;;3,5-5,2;2,00;;;;;;0,15-0,35;
S39274;UNS, США;;США;csv:Дуплексные стали.csv;2507;0,03;24,0-26,0;2,5-3,5;;1,5-2,5;;6,8-8,8;1,00;;;;0,2-0,8;;0,24-0,32;
S39277;UNS, США;;США;csv:Дуплексные стали.csv;2507;0,025;24,0-26,0;3,0-4,0;;0,8-1,2;;6,5-8,0;0,80;;;;1,2-2,0;;0,23-0,33;
SAF™ 2707 HD;AISI, США;;США;csv:Дуплексные стали.csv;S32707|1.4658;0,03;26,0-29,0;4,0-5,0;;;;5,5-9,5;1,50;;;;1,0;;0,30-0,50;Co ≤1,0
S32707;UNS, США;;США;csv:Дуплексные стали.csv;SAF™ 2707 HD|1.4658;0,03;26,0-29,0;4,0-5,0;;;;5,5-9,5;1,50;;;;1,0;;0,30-0,50;Co ≤1,0
1.4658;EN, Европа;;Европа;csv:Дуплексные стали.csv;SAF™ 2707 HD|S32707;0,03;26,0-29,0;4,0-5,0;;;;5,5-9,5;1,50;;;;1,0;;0,30-0,50;Co ≤1,0
SAF™ 3207 HD;AISI, США;;США;csv:Дуплексные стали.csv;S33207;0,03;29,0-33,0;3,0-5,0;;;;6,0-9,0;1,50;;;;1,0;;0,40-0,60;
S33207;UNS, США;;США;csv:Дуплексные стали.csv;SAF™ 3207 HD;0,03;29,0-33,0;3,0-5,0;;;;6,0-9,0;1,50;;;;1,0;;0,40-0,60;
403;AISI, США;;США;csv:Мартенситные.csv;S40300|1.4000;0,15;11,5-13,0;;;;;;1;0,5;0,03;0,04;;;;
S40300;UNS, США;;США;csv:Мартенситные.csv;403|1.4000;0,15;11,5-13,0;;;;;;1;0,5;0,03;0,04;;;;
1.4000;EN, Европа;;Европа;csv:Мартенситные.csv;403|S40300;0,15;11,5-13,0;;;;;;1;0,5;0,03;0,04;;;;
410D;AISI, США;;США;csv:Мартенситные.csv;S41001;0,01–0,03;11,5–12,5;;;;;0,40 макс.;0,20–0,60;0,50 макс.;0,03 макс.;0,04 макс.;;;;N: 0,03–0,08%
S41001;UNS, США;;США;csv:Мартенситные.csv;410D;0,01–0,03;11,5–12,5;;;;;0,40 макс.;0,20–0,60;0,50 макс.;0,03 макс.;0,04 макс.;;;;N: 0,03–0,08%
414;AISI, США;;США;csv:Мартенситные.csv;S41400;0,15;11,5-13,5;;;;;1,25-2,50;1;1;0,03;0,04;;;;
S41400;UNS, США;;США;csv:Мартенситные.csv;414;0,15;11,5-13,5;;;;;1,25-2,50;1;1;0,03;0,04;;;;
F6NM;AISI, США;;США;csv:Мартенситные.csv;S41500;0,05 макс.;11,5–14,0;;;;;3,5–5,5;0,50–1,00;0,60 макс.;0,030 макс.;0,030 макс.;;;;Mo: 0,50–1,00%
S41500;UNS, США;;США;csv:Мартенситные.csv;F6NM;0,05 макс.;11,5–14,0;;;;;3,5–5,5;0,50–1,00;0,60 макс.;0,030 макс.;0,030 макс.;;;;Mo: 0,50–1,00%
422;AISI, США;;США;csv:Мартенситные.csv;S42200;0,20-0,25;11,0-13,0;;;;;0,5-1,0;1;0,75;0,025;0,025;;;;"0,75-1,25 Mo; 0,75-1,25 W; 0,15-0,3 V"
S42200;UNS, США;;США;csv:Мартенситные.csv;422;0,20-0,25;11,0-13,0;;;;;0,5-1,0;1;0,75;0,025;0,025;;;;"0,75-1,25 Mo; 0,75-1,25 W; 0,15-0,3 V"
431;AISI, США;;США;csv:Мартенситные.csv;S43100|1.4057;0,2;15,0-17,0;;;;;1,25-2,50;1;1;0,03;0,04;;;;
S43100;UNS, США;;США;csv:Мартенситные.csv;431|1.4057;0,2;15,0-17,0;;;;;1,25-2,50;1;1;0,03;0,04;;;;
1.4057;EN, Европа;;Европа;csv:Мартенситные.csv;431|S43100;0,2;15,0-17,0;;;;;1,25-2,50;1;1;0,03;0,04;;;;
CA-6NM;AISI, США;;США;csv:Мартенситные.csv;J91540;0,06;11,5-14,0;;;;;3,5-4,5;1;1;0,03;0,04;;;;0,40-1,0 Mo
J91540;UNS, США;;США;csv:Мартенситные.csv;CA-6NM;0,06;11,5-14,0;;;;;3,5-4,5;1;1;0,03;0,04;;;;0,40-1,0 Mo
CA-15;AISI, США;;США;csv:Мартенситные.csv;J91150;0,15;11,5-14,0;;;;;1;1;1,5;0,03;0,03;;;;0,5 Mo
J91150;UNS, США;;США;csv:Мартенситные.csv;CA-15;0,15;11,5-14,0;;;;;1;1;1,5;0,03;0,03;;;;0,5 Mo
CA-40;AISI, США;;США;csv:Мартенситные.csv;J91153;0,20-0,40;11,5-14,0;;;;;1;1;1,5;0,03;0,03;;;;0,5 Mo
J91153;UNS, США;;США;csv:Мартенситные.csv;CA-40;0,20-0,40;11,5-14,0;;;;;1;1;1,5;0,03;0,03;;;;0,5 Mo
A387;AISI, США;;США;csv:Мартенситные.csv;-;0,05–0,15;0,50–0,80;;;;;;0,30–0,60;0,50 макс.;0,040 макс.;0,035 макс.;;;;Mo: 0,45–0,65%
Nickel 200;;;;csv:Спец сплавы.csv;N02200;0,08;;;;;;99,5;0,018;0,18;0,005;;0,13;;;"Fe 0,2; 0,03 Mg, 0,05"
N02200;UNS, США;;США;csv:Спец сплавы.csv;Nickel 200;0,08;;;;;;99,5;0,018;0,18;0,005;;0,13;;;"Fe 0,2; 0,03 Mg, 0,05"
Nickel 201;;;;csv:Спец сплавы.csv;N02201;0,01;;;;;;99,5;0,018;0,18;0,005;;0,13;;;Fe 0,2
N02201;UNS, США;;США;csv:Спец сплавы.csv;Nickel 201;0,01;;;;;;99,5;0,018;0,18;0,005;;0,13;;;Fe 0,2
Nickel 205;;;;csv:Спец сплавы.csv;N02205;0,01;;;;;;99,5;0,018;0,08;0,002;;0,03;;;Fe 0,10
