grade;standard;manufacturer;country;source
ORVAR SUPREME;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
ORVAR SUPERIOR;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
W350 ISOBLOC;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
QRO 90 SUPREME/ QRO 90 HT;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
HWS Supreme;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv
W303 ISODISC;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
ExStahl SuperClean;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv
1.2367;EN, Европа;;Европа;csv:Марки ВЭМ.csv
FORMVAR (DIEVAR);Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
DIEVAR;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
W403 VMR;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
UNIMAX;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
W360 ISOBLOC;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
HWR MAX;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv
W100;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
1.2581;EN, Европа;;Европа;csv:Марки ВЭМ.csv
SR 1855;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
К245;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
CALMAX / CARMO;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
К329;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
CHIPPER, VIKING;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
