grade;link;db_standard;expected_standard;standard_expected_source;cc;country_cc;country_card;maker_card;maker_table;status
No. 610-FM;https://zknives.com/knives/steels/no._610-fm.shtml;zknives.com, Международная база;Carpenter, Словения;card_maker;SI;Словения;США;Carpenter;Metal Ravne;placeholder
PSF27;https://zknives.com/knives/steels/psf27.shtml;zknives.com, Международная база;Carpenter, Словения;card_maker;SI;Словения;США;Carpenter;Metal Ravne;placeholder
69S;https://zknives.com/knives/steels/69s.shtml;zknives.com, Международная база;Ossenberg, Германия;table_maker;DE;Германия;Великобритания;;Ossenberg;placeholder
Atmodie;https://zknives.com/knives/steels/atmodie.shtml;zknives.com, Международная база;Metal Ravne, Словения;table_maker;SI;Словения;США;;Metal Ravne;placeholder
KMW;https://zknives.com/knives/steels/kmw.shtml;zknives.com, Международная база;Metal Ravne, Словения;table_maker;SI;Словения;Великобритания;;Metal Ravne;placeholder
Airdi 150;https://zknives.com/knives/steels/airdi_150.shtml;zknives.com, Международная база;Crucible, Словения;card_maker;SI;Словения;США;Crucible;Metal Ravne;placeholder
CPM D2;https://zknives.com/knives/steels/cpm_d2.shtml;zknives.com, Международная база;Crucible, Словения;card_maker;SI;Словения;США;Crucible;Metal Ravne;placeholder
DC11;https://zknives.com/knives/steels/dc11.shtml;zknives.com, Международная база;Daido, Словения;card_maker;SI;Словения;Япония;Daido;Metal Ravne;placeholder
DAP DC11;https://zknives.com/knives/steels/dap_dc11.shtml;zknives.com, Международная база;Daido, Словения;card_maker;SI;Словения;Япония;Daido;Metal Ravne;placeholder
Croloy;https://zknives.com/knives/steels/croloy.shtml;zknives.com, Международная база;Disston-Sons, Словения;card_maker;SI;Словения;США;Disston-Sons;Metal Ravne;placeholder
STD11;https://zknives.com/knives/steels/std11.shtml;zknives.com, Международная база;Doosan, Словения;card_maker;SI;Словения;South Korea;Doosan;Metal Ravne;placeholder
CPPU;https://zknives.com/knives/steels/cppu.shtml;zknives.com, Международная база;Dorrenberg, Словения;card_maker;SI;Словения;Германия;Dorrenberg;Metal Ravne;placeholder
ES70S;https://zknives.com/knives/steels/es70s.shtml;zknives.com, Международная база;Eschmann-Stahl, Словения;card_maker;SI;Словения;Германия;Eschmann-Stahl;Metal Ravne;placeholder
YTL122;https://zknives.com/knives/steels/ytl122.shtml;zknives.com, Международная база;EST, Словения;card_maker;SI;Словения;Китай;EST;Metal Ravne;placeholder
DTC-AR;https://zknives.com/knives/steels/dtc-ar.shtml;zknives.com, Международная база;Ferlat Acciai, Словения;card_maker;SI;Словения;Италия;Ferlat Acciai;Metal Ravne;placeholder
Diehard Standard;https://zknives.com/knives/steels/diehard_standard.shtml;zknives.com, Международная база;Firth Brown, Словения;card_maker;SI;Словения;Великобритания;Firth Brown;Metal Ravne;placeholder
Cromovan;https://zknives.com/knives/steels/cromovan.shtml;zknives.com, Международная база;Firth-Sterling, Словения;card_maker;SI;Словения;США;Firth-Sterling;Metal Ravne;placeholder
KMV;https://zknives.com/knives/steels/kmv.shtml;zknives.com, Международная база;"George H Cook &amp; Co, Словения";card_maker;SI;Словения;Великобритания;"George H Cook &amp; Co";Metal Ravne;placeholder
GPMD2;https://zknives.com/knives/steels/gpmd2.shtml;zknives.com, Международная база;Geruk, Словения;card_maker;SI;Словения;Германия;Geruk;Metal Ravne;placeholder
GGD-D2;https://zknives.com/knives/steels/ggd-d2.shtml;zknives.com, Международная база;GGD Metals, Словения;card_maker;SI;Словения;Бразилия;GGD Metals;Metal Ravne;placeholder
Hecla159;https://zknives.com/knives/steels/hecla159.shtml;zknives.com, Международная база;Hadfields, Словения;card_maker;SI;Словения;Великобритания;Hadfields;Metal Ravne;placeholder
HYD2;https://zknives.com/knives/steels/hyd2.shtml;zknives.com, Международная база;Heye, Словения;card_maker;SI;Словения;Китай;Heye;Metal Ravne;placeholder
HYRD2;https://zknives.com/knives/steels/hyrd2.shtml;zknives.com, Международная база;Heye, Словения;card_maker;SI;Словения;Китай;Heye;Metal Ravne;placeholder
HYRD2Co;https://zknives.com/knives/steels/hyrd2co.shtml;zknives.com, Международная база;Heye, Словения;card_maker;SI;Словения;Китай;Heye;Metal Ravne;placeholder
ZCD-M;https://zknives.com/knives/steels/zcd-m.shtml;zknives.com, Международная база;Hitachi, Словения;card_maker;SI;Словения;Япония;Hitachi;Metal Ravne;placeholder
SLD2;https://zknives.com/knives/steels/sld2.shtml;zknives.com, Международная база;Hitachi, Словения;card_maker;SI;Словения;Япония;Hitachi;Metal Ravne;placeholder
SLD;https://zknives.com/knives/steels/sld.shtml;zknives.com, Международная база;Hitachi, Словения;card_maker;SI;Словения;Япония;Hitachi;Metal Ravne;placeholder
HI-PM31;https://zknives.com/knives/steels/hi-pm31.shtml;zknives.com, Международная база;Hitachi, Словения;card_maker;SI;Словения;Япония;Hitachi;Metal Ravne;placeholder
H&R K-2;https://zknives.com/knives/steels/h~r_k-2.shtml;zknives.com, Международная база;Metal Ravne, Словения;table_maker;SI;Словения;США;;Metal Ravne;placeholder
VitalX;https://zknives.com/knives/steels/vitalx.shtml;zknives.com, Международная база;Hydra, Словения;card_maker;SI;Словения;Великобритания;Hydra;Metal Ravne;placeholder
