grade;standard;manufacturer;country;source;c;cr;mo;v;w;co;ni;mn;si;s;p;cu;nb;n;tech
C70U1070;;;Европа;marki_stalei_check;0,65-0,75;;;0;0;;;;;0,03;0,03;;;0;
G107001070;;;США;marki_stalei_check;0,65-0,75;;;0;0;;;;;0,05;0,03;;;0;
G107401074;;;США;marki_stalei_check;0,70-0,80;;;0;0;;;;;0,05;0,03;;;0;
C751075;;;Германия;marki_stalei_check;0,70-0,80;;;0;0;;;;;0,045;0,045;;;0;
1.12481075;;;Германия;marki_stalei_check;0,70-0,80;;;0;0;;;;;0,035;0,035;;;0;
1.06051075;;;Германия;marki_stalei_check;0,70-0,80;;;0;0;;;;;0,045;0,045;;;0;
G107501075;;;США;marki_stalei_check;0,70-0,80;;;0;0;;;;;0,05;0,03;;;0;
G107801078;;;США;marki_stalei_check;0,72-0,85;;;0;0;;;;;0,05;0,03;;;0;
G108001080;;;США;marki_stalei_check;0,75-0,88;;;0;0;;;;;0,05;0,03;;;0;
G108401084;;;США;marki_stalei_check;0,80-0,93;;;0;0;;;;;0,05;0,03;;;0;
CK851086;;;Германия;marki_stalei_check;0,80-0,90;;;0;0;;;;;0,035;0,035;;;0;
1.12691086;;;Германия;marki_stalei_check;0,80-0,90;;;0;0;;;;;0,035;0,035;;;0;
G108601086;;;США;marki_stalei_check;0,80-0,93;;;0;0;;;;;0,05;0,03;;;0;
G109001090;;;США;marki_stalei_check;0,85-0,98;;;0;0;;;;;0,05;0,03;;;0;
1.12741095;;;Германия;marki_stalei_check;0,95-1,05;;;0;0;;;;;0,035;0,035;;;0;
G109501095;;;США;marki_stalei_check;0,90-1,03;;;0;0;;;;;0,05;0,03;;;0;
HS-105M35;Latrobe, США;Latrobe;США;marki_stalei_check;0,93;;;1,9;6,25;;;;;;;;;0;
Y108Cr17Y11Cr17;;;Китай;marki_stalei_check;0,95-1,20;;;0;0;;;;;0,15;0,06;;;0;
Z40CDV16.02+Az420Mod;;;Франция;marki_stalei_check;0,30-0,50;;;0,20-0,40;0;;;;;0,015;0,04;;;0,10-0,50;
Ergste 1.4123YN420Mod;Zapp, Германия;Zapp;Германия;marki_stalei_check;0,37-0,45;;;0,20-0,40;0;;;;;;;;;0,16-0,25;
1.4125440C;;;Германия;marki_stalei_check;0,95-1,20;;;0;0;;;;;0,02;0,04;;;0;
11Cr17440C;;;Китай;marki_stalei_check;0,95-1,20;;;0;0;;;;;0,03;0,04;;;0;
S44004440C;;;США;marki_stalei_check;0,95-1,20;;;0;0;;;;;0,03;0,04;;;0;
1.4111440B;;;Германия;marki_stalei_check;1,1;;;0,12;0;;;;;;;;;0;
1.4108X30CrMoNi1-5-1;;;Германия;marki_stalei_check;0,25-0,35;;;0;0;;;;;;;;;0,30-0,50;
Stavax420Mod;Bohler-Uddeholm, Швеция;Bohler-Uddeholm;Швеция;marki_stalei_check;0,38;;;0,3;0;;;;;;;;;0;ESR
BPS2420Mod;Ossenberg, Германия;Ossenberg;Германия;marki_stalei_check;0,4;;;0;0;;;;;;;;;0;
S42000420;;;США;marki_stalei_check;0,15;;;0;0;;;;;0,03;0,04;;;0;
1.4031420;;;Германия;marki_stalei_check;0,4;;;0;0;;;;;;;;;0;
40Cr13420;;;Китай;marki_stalei_check;0,36-0,45;;;0;0;;;;;0,03;0,04;;;0;
1.4034X46Cr13;;;Германия;marki_stalei_check;0,43-0,50;;;0;0;;;;;0,015;0,04;;;0;
Uginox MA4X46Cr13;Ugine & Alz, Франция;Ugine & Alz;Франция;marki_stalei_check;0,46;;;0;0;;;;;;;;;0;
1.4112440B;;;Германия;marki_stalei_check;0,85-0,95;;;0,07-0,12;0,14;;;;;0,004-0,020;0,026-0,040;;;0;
85Cr17440B;;;Китай;marki_stalei_check;0,75-0,95;;;0;0;;;;;0,03;0,04;;;0;
S44003440B;;;США;marki_stalei_check;0,75-0,95;;;0;0;;;;;0,03;0,04;;;0;
1.4109440A;;;Германия;marki_stalei_check;0,55-0,60;;;0;0;;;;;;;;;0;
S44002440A;;;США;marki_stalei_check;0,65-0,75;;;0;0;;;;;0,03;0,04;;;0;
1.2513135WCrV4;;;Германия;marki_stalei_check;1,30-1,40;;;0,10-0,20;0,80-1,10;;;;;0,035;0,035;;;0;
40X10S2MX40CrSiMo10-2;;;Россия;marki_stalei_check;0,35-0,45;;;0;0;;;;;0,025;0,03;;;0;
40X10C2MX40CrSiMo10-2;;;Россия;marki_stalei_check;0,35-0,45;;;0;0;;;;;0,025;0,03;;;0;
PGK1.2895;Latrobe, США;Latrobe;США;marki_stalei_check;1,15;;;1,95;1,5;;;;;;;;;0;
