grade;standard;manufacturer;country;source;c;cr;mo;v;w;co;ni;mn;si;s;p;cu;nb;n;tech
1.2550S1;;;Германия;marki_stalei_check;0,55-0,65;;;0,10-0,20;1,70-2,20;;;;;0,03;0,03;;;0;
K455S1;Bohler-Uddeholm, Швеция;Bohler-Uddeholm;Швеция;marki_stalei_check;0,6;;;0,18;2;;;;;0,012;0,015;;;0;
EKLS1;Ossenberg, Германия;Ossenberg;Германия;marki_stalei_check;0,6;;;0,2;2;;;;;;;;;0;
50NiCr13L6;;;Германия;marki_stalei_check;0,45-0,55;;;0;0;;;;;0,035;0,035;;;0;
1.2063145Cr6;;;Германия;marki_stalei_check;1,42;;;0,18;0;;;;;0,015;0,024;;;0;
NSZ145Cr6;Ossenberg, Германия;Ossenberg;Германия;marki_stalei_check;1,45;;;0;0;;;;;;;;;0;
WO10ExtraW112;Ossenberg, Германия;Ossenberg;Германия;marki_stalei_check;1;;;0;0;;;;;0,02;0,02;;;0;
G514005140;;;США;marki_stalei_check;0,38-0,43;;;0;0;;;;;0,04;0,035;;;0;
90X4M4F2V6L90KH4M4F2V6L;;;Россия;marki_stalei_check;0,85-0,95;;;2,00-2,60;5,00-7,00;;;;;0,04;0,04;;;0;
GM2105WCr6;Daido, Япония;Daido;Япония;marki_stalei_check;1,00-1,10;;;0,00-0,25;1,00-1,50;;;;;;;;;0;
100Cr250100;;;Германия;marki_stalei_check;1;;;0;0;;;;;;;;;0;
1.350150100;;;Германия;marki_stalei_check;1;;;0;0;;;;;;;;;0;
G5098650100;;;США;marki_stalei_check;0,98-1,10;;;0;0;;;;;0,025;0,025;;;0;
100CrMnSi6-452100;;;Германия;marki_stalei_check;0,90-1,05;;;0;0;;;;;0,025;0,03;;;0;
100CrMn652100;;;Франция;marki_stalei_check;0,90-1,05;;;0;0;;;;;0,025;0,03;;;0;
OCR5MOA485;Metal Ravne, Словения;Metal Ravne;Словения;marki_stalei_check;0,97;;;0;0;;;;;;;;;0;
OW5142W13;Metal Ravne, Словения;Metal Ravne;Словения;marki_stalei_check;1,43;;;0,25;3,05;;;;;;;;;0;
ERW3142W13;Ossenberg, Германия;Ossenberg;Германия;marki_stalei_check;1,4;;;0,25;3;;;;;;;;;0;
120WV4120WV4;;;Италия;marki_stalei_check;1,15-1,25;;;0,07-1,12;0,90-1,10;;;;;0,035;0,035;;;0;
OWSP100WV4;Metal Ravne, Словения;Metal Ravne;Словения;marki_stalei_check;1,02;;;0,15;1,05;;;;;;;;;0;
T41904S4;;;США;marki_stalei_check;0,50-0,65;;;0,15-0,35;0;;;;;0,03;0,03;;;0;
T11350M50;;;США;marki_stalei_check;0,86-0,88;;;1,15-1,20;0;;;;;;;;;0;
VIM-VAR M50M50;Carpenter, США;Carpenter;США;marki_stalei_check;0,8;;;1;0;;;;;0,015;0,015;;;0;
CM50M50;Latrobe, США;Latrobe;США;marki_stalei_check;0,84;;;1;0;;;;;;;;;0;
S3-3-21.3333;;;Германия;marki_stalei_check;0,97-0,98;;;2,51-2,66;2,92-3,23;;;;;0,005;0,035;;;0;
W3Mo3Cr4V2S3-3-2;;;Китай;marki_stalei_check;0,95-1,03;;;2,20-2,50;2,70-3,00;;;;;0,03;0,03;;;0;
T11352M52;;;США;marki_stalei_check;0,9;;;2;1,25;;;;;;;;;0;
CM52M52;Latrobe, США;Latrobe;США;marki_stalei_check;0,89;;;1,85;1,1;;;;;;;;;0;
GrindamaxV31.3347;Erasteel, Франция;Erasteel;Франция;marki_stalei_check;1,2;;;2,7;7;;;;;;;;;0;
GPMT15+S10-2-5-8;Geruk, Германия;Geruk;Германия;marki_stalei_check;1,6;;;5;10,5;;;;;0,03;0,03;;;0;PM
1.3222S6-5-2-8;;;Германия;marki_stalei_check;1,40-1,50;;;2,20-2,60;6,00-6,70;;;;;0,000-0,030;0,000-0,030;;;0;
S9-4-3-111.3208;;;Германия;marki_stalei_check;1,35-1,45;;;3,20-3,60;8,40-9,10;;;;;0,000-0,030;0,000-0,030;;;0;
1.3208S9-4-3-11;;;Германия;marki_stalei_check;1,35-1,45;;;3,20-3,60;8,40-9,10;;;;;0,000-0,030;0,000-0,030;;;0;
HS9-4-3-11S9-4-3-11;;;Европа;marki_stalei_check;1,35-1,45;;;3,20-3,60;8,40-9,10;;;;;0,000-0,030;0,000-0,030;;;0;
ESWX165CrV12;Ossenberg, Германия;Ossenberg;Германия;marki_stalei_check;1,65;;;0,1;0;;;;;;;;;0;
1.2965X115CrVMoW83So;;;Германия;marki_stalei_check;1,12;;;2,4;1,1;;;;;;;;;0;
Diro-KH20S9-1-2;Dirostahl, Германия;Dirostahl;Германия;marki_stalei_check;0,82;;;1,5;8,5;;;;;;;;;0;
EH00S9-1-2;Ossenberg, Германия;Ossenberg;Германия;marki_stalei_check;0,82;;;1,5;8,5;;;;;;;;;0;
1.3211S12-1-2-3;;;Германия;marki_stalei_check;0,77-0,85;;;1,70-2,00;11,50-12,50;;;;;0,000-0,030;0,000-0,030;;;0;
120W4F1;;;Германия;marki_stalei_check;1,23;;;0;0,98;;;;;0,01;0,015;;;0;
T60601F1;;;США;marki_stalei_check;0,95-1,25;;;0;1,00-1,75;;;;;;;;;0;
T20813H13;;;США;marki_stalei_check;0,32-0,45;;;0,80-1,20;0;;;;;0,03;0,03;;;0;
1.210951100;;;Германия;marki_stalei_check;1,20-1,30;;;0;0;;;;;0,035;0,035;;;0;
KLS51100;Ossenberg, Германия;Ossenberg;Германия;marki_stalei_check;1,25;;;0;0;;;;;;;;;0;
MNC51100;Ossenberg, Германия;Ossenberg;Германия;marki_stalei_check;1,05;;;0;0;;;;;;;;;0;
OV50CrV4;Ossenberg, Германия;Ossenberg;Германия;marki_stalei_check;0,5;;;0,1;0;;;;;;;;;0;
OVh59CrV4;Ossenberg, Германия;Ossenberg;Германия;marki_stalei_check;0,6;;;0,1;0;;;;;;;;;0;
ESSWX165CrVW12So;Ossenberg, Германия;Ossenberg;Германия;marki_stalei_check;1,65;;;0,1;0,8;;;;;;;;;0;
HE1X140CrVMo66So;Ossenberg, Германия;Ossenberg;Германия;marki_stalei_check;1,4;;;6;0;;;;;;;;;0;
VSCX210CrMoV15;Ossenberg, Германия;Ossenberg;Германия;marki_stalei_check;2,2;;;0,1;0;;;;;;;;;0;
WPS475CrMoNiW67;Ossenberg, Германия;Ossenberg;Германия;marki_stalei_check;0,75;;;0;0,3;;;;;;;;;0;
Thyrodur276275CrMoNiW67;Thyssen-Krupp, Германия;Thyssen-Krupp;Германия;marki_stalei_check;0,72;;;0,2;0,02;;;;;0,003;0,014;;;0,007;
KPExtra95V4;Ossenberg, Германия;Ossenberg;Германия;marki_stalei_check;0,95;;;0,4;0;;;;;;;;;0;
1.72414161;;;Германия;marki_stalei_check;1,35;;;4,1;5,9;;;;;;;;;0;
G416104161;;;США;marki_stalei_check;0,56-0,64;;;0;0;;;;;0,04;0,035;;;0;
1.3536100CrMo7-3;;;Германия;marki_stalei_check;1;;;0;0;;;;;0,3;;;;0;
1.4153X80CrMoV13-2;;;Германия;marki_stalei_check;0,76-0,81;;;1,65-1,85;0;;;;;;;;;0;
1.2391X80CrMoV13-2;;;Германия;marki_stalei_check;0,76-0,81;;;1,65-1,85;0;;;;;;;;;0;
S30400304;;;США;marki_stalei_check;0,08;;;0;0;;;;;0,03;0,045;;;0;
CPM Rex 25M61;Crucible, США;Crucible;США;marki_stalei_check;1,8;;;5;12,5;;;;;;;;;0;CPM
S1770017-7PH;;;США;marki_stalei_check;0,09;;;0;0;;;;;0,03;0,04;;;0;
1.2834105V;;;Германия;marki_stalei_check;1,00-1,10;;;0,10-0,20;0;;;;;0,03;0,03;;;0;
1.502971Si7;;;Германия;marki_stalei_check;0,68-0,75;;;0;0;;;;;0,035;0,035;;;0;
G104601046;;;США;marki_stalei_check;0,43-0,50;;;0;0;;;;;0,05;0,03;;;0;
G104901049;;;США;marki_stalei_check;0,46-0,53;;;0;0;;;;;0,05;0,03;;;0;
T20811H11;;;США;marki_stalei_check;0,33-0,43;;;0,30-0,60;0;;;;;0,03;0,03;;;0;
1.2002125Cr2;;;Германия;marki_stalei_check;1,20-1,30;;;0;0;;;;;0,025;0,025;;;0;
1.1590.01SC145;;;Германия;marki_stalei_check;1,45;;;0;0;;;;;0,004;0,003;;;0,005;
1.2799.0160Ni20;;;Германия;marki_stalei_check;0,6;;;0;0;;;;;0,003;0,005;;;0,005;
1.563475Ni8;;;Германия;marki_stalei_check;0,72-0,78;;;0;0;;;;;0,025;0,025;;;0;
T41902S2;;;США;marki_stalei_check;0,45-0,55;;;0,25;0;;;;;0,03;0,03;;;0;
T41906S6;;;США;marki_stalei_check;0,40-0,50;;;0,20-0,40;0;;;;;0,03;0,03;;;0;
9KHS150Cr14;;;Россия;marki_stalei_check;0,85-0,95;;;0,00-0,15;0,00-0,20;;;;;0,03;0,03;;;0;
9XC150Cr14;;;Россия;marki_stalei_check;0,85-0,95;;;0,00-0,15;0,00-0,20;;;;;0,03;0,03;;;0;
85H4M5F2V6LSC6-5-2;;;Россия;marki_stalei_check;0,82-0,90;;;1,70-2,10;5,50-6,50;;;;;0,025;0,03;;;0;
Robert Mushet Special Steel (RMS)Mushet Steel;Mushet, Великобритания;Mushet;Великобритания;marki_stalei_check;1,50-2,50;;;0;4,00-12,00;;;;;;;;;0;
G515505155;;;США;marki_stalei_check;0,51-0,59;;;0;0;;;;;0,04;0,035;;;0;
75Cr11.2003;;;Германия;marki_stalei_check;0,70-0,80;;;0;0;;;;;0,025;0,01;;;0;
1.2791D6A;;;Германия;marki_stalei_check;0,45-0,50;;;0,08-0,15;0;;;;;;;;;0;
BE2791D6A;Bestar, Германия;Bestar;Германия;marki_stalei_check;0,45-0,50;;;0,08-0,15;0;;;;;;;;;0;
58CrV41.8161;;;Германия;marki_stalei_check;0,55-0,62;;;0,10-0,20;0;;;;;0,035;0,035;;;0;
C85UC85W;;;Германия;marki_stalei_check;0,80-0,90;;;0;0;;;;;0,02;0,025;;;0;
C85WC85U;;;Германия;marki_stalei_check;0,80-0,90;;;0;0;;;;;0,02;0,025;;;0;
36CrNiMo44340;;;Германия;marki_stalei_check;0,32-0,40;;;0;0;;;;;0,035;0,035;;;0;
1.65114340;;;Германия;marki_stalei_check;0,32-0,40;;;0;0;;;;;0,035;0,035;;;0;
G434004340;;;США;marki_stalei_check;0,38-0,43;;;0;0;;;;;0,04;0,035;;;0;
G433704337;;;США;marki_stalei_check;0,34-0,36;;;0;0;;;;;0;;;;0;
T11308M8;;;США;marki_stalei_check;0,8;;;1,5;5;;;;;;;;;0;
T11315M15;;;США;marki_stalei_check;1,5;;;5;6,5;;;;;;;;;0;
T11345M45;;;США;marki_stalei_check;1,25;;;1,6;8;;;;;;;;;0;
T72303W3;;;США;marki_stalei_check;1;;;0,5;0;;;;;;;;;0;
W6T72306;;;США;marki_stalei_check;1;;;0,25;0;;;;;;;;;0;
T72306W6;;;США;marki_stalei_check;1;;;0,25;0;;;;;;;;;0;
T12003T3;;;США;marki_stalei_check;1,08-1,13;;;2,90-3,30;18,00-18,50;;;;;;;;;0;
T12007T7;;;США;marki_stalei_check;0,70-0,75;;;1,50-1,80;13,50-14,50;;;;;;;;;0;
T12009T9;;;США;marki_stalei_check;1,22-1,28;;;3,75-4,25;18,00-18,50;;;;;;;;;0;
T11306M6;;;США;marki_stalei_check;0,75-0,85;;;1,30-1,70;3,75-4,75;;;;;0,000-0,030;0,000-0,030;;;0;
T30401D1;;;США;marki_stalei_check;0,90-1,10;;;0,30-0,80;0;;;;;0,000-0,030;0,000-0,030;;;0;
A5T30105;;;США;marki_stalei_check;0,95-1,05;;;0;0;;;;;0,000-0,030;0,000-0,030;;;0;
T30105A5;;;США;marki_stalei_check;0,95-1,05;;;0;0;;;;;0,000-0,030;0,000-0,030;;;0;
T41903S3;;;США;marki_stalei_check;0,5;;;0;1;;;;;;;;;0;
T61205L5;;;США;marki_stalei_check;0,90-1,10;;;0;0;;;;;;;;;0;
1.2316420J2;;;Германия;marki_stalei_check;0,33-0,45;;;0;0;;;;;0,03;0,03;;;0;
BA16420J2;Bonomi Acciai, Италия;Bonomi Acciai;Италия;marki_stalei_check;0,33-0,45;;;0;0;;;;;0,03;0,03;;;0;
1.205690Cr3;;;Германия;marki_stalei_check;0,85-0,95;;;0;0;;;;;0,000-0,030;0,000-0,030;;;0;
9XF90Cr3;;;Россия;marki_stalei_check;1,05-1,25;;;0;0,80-1,20;;;;;;;;;0;
1.3302T15;;;Германия;marki_stalei_check;1,20-1,35;;;3,50-4,00;11,50-12,50;;;;;0,03;0,03;;;0;
BRW1T15;Metal Ravne, Словения;Metal Ravne;Словения;marki_stalei_check;1,28;;;3,75;12;;;;;;;;;0;
S31635316Ti;;;США;marki_stalei_check;0,08;;;0;0;;;;;0,015;0,045;;;0;
TSP6HS18-5-6-6;Thyssen-Krupp, Германия;Thyssen-Krupp;Германия;marki_stalei_check;1,85;;;6,3;18,5;;;;;;;;;0;PM
TSP8X240VCrMoNb 08-06-03-02;Thyssen-Krupp, Германия;Thyssen-Krupp;Германия;marki_stalei_check;2,4;;;8;0;;;;;;;;;0;PM
1.233462CrMoV6;;;Германия;marki_stalei_check;0,60-0,65;;;0,07-0,12;0;;;;;0,03;0,03;;;0;
80WCrV31.2511;;;Германия;marki_stalei_check;0,75-0,85;;;0,20-0,30;0,60-0,80;;;;;0,035;0,035;;;0;
X48CrMoV8-1-1X50CrMoV8;;;Германия;marki_stalei_check;0,45-0,50;;;1,30-1,50;0;;;;;0,005;0,02;;;0;
WP7VX48CrMoV8-1-1;Dorrenberg, Германия;Dorrenberg;Германия;marki_stalei_check;0,5;;;1,5;0;;;;;;;;;0;
46Si71.5024;;;Германия;marki_stalei_check;0,42-0,52;;;0;0;;;;;0,025;0,025;;;0;
X33CrS161.2085;;;Германия;marki_stalei_check;0,28-0,38;;;0;0;;;;;0,05-0,10;0,03;;;0;
HS6-5-2-5SM35S;;;Германия;marki_stalei_check;0,88-0,96;;;1,70-2,00;6,00-6,70;;;;;0,06-0,15;0,03;;;0;
FOR800X100CrMoV8-2;Thyssen-Krupp-FR, Франция;Thyssen-Krupp-FR;Франция;marki_stalei_check;1;;;0,3;0;;;;;0,005;;;;0;
100CrMnSi4452100;;;Германия;marki_stalei_check;0,93-1,05;;;0;0;;;;;0,015;0,025;;;0;
X100CrMoV8-1-11.2990;;;Германия;marki_stalei_check;1;;;1,6;0;;;;;0,03;0,03;;;0;
BACPOHX100CrMoV8-1-1;Bonomi Acciai, Италия;Bonomi Acciai;Италия;marki_stalei_check;1;;;1,6;0;;;;;0,03;0,03;;;0;
Cryodur2990X100CrMoV8-1-1;Deutsche Edelstahlwerke, Германия;Deutsche Edelstahlwerke;Германия;marki_stalei_check;1;;;1,6;0;;;;;0,03;0,03;;;0;
Thyrapid2990X100CrMoV8-1-1;Thyssen-Krupp, Германия;Thyssen-Krupp;Германия;marki_stalei_check;1;;;1,6;0;;;;;0,03;0,03;;;0;
G103001030;;;США;marki_stalei_check;0,28-0,34;;;0;0;;;;;0,05;0,03;;;0;
74NiCr21.2703;;;Германия;marki_stalei_check;0,70-0,78;;;0;0;;;;;0,035;0,035;;;0;
