Grade;Base;C;Cr;Mo;V;W;Co;Ni;Mn;Si;S;P;Cu;Nb;N;Tech;Maker;CC
"Z-A11 PMA11*
R0M2SF10*
R0M2SF10-MP
T30111
K294*
Micro-Melt A11*
PMA11
PSF59
CPM 10V*
PM A11*
PMD10*
ASP2011*
GPM10*
DuraTech A11*
LO-QPM A11*
A11 Mod*
PM10*
Stellapur PM10
TSP10*
Z-A11
Z-10 PM cold";Fe;2,40-2,50;4,75-5,75;1,10-1,50;9,25-10,25;0;0;0;0,35-0,60;0,75-1,10;0,050-0,090;?;0;0;0;PM;Zapp;DE
"M4*PMHS6-5-4
1.3394*
1.3361
HS654*
HS6-5-4
SKH54*
X130WMoCrV 06-05-04-04*
W6Mo5Cr4V4*
R6M5F4*
T11304
Alpha4
Supra1*
DBL4
ASPM4*
Atlas M4
S693 MICROCLEAN*
S693
S692 MICROCLEAN*
S692
Braefour
Carpenter Four Star
Four Star
Micro-Melt M4
Molite42
CPM Rex M4(HC)
CPM M4*
PM M4
PMD M4
EM4
ASP2004*
GPM4
HYM4*
XVC11
H&R No.7
KHA33
Mega4
Stark*
DuraTech M4*
DuraTech Mega4*
M4PM
LO-QPM M4
BRM4*
MAC-C
HM4
CSW20
SIRapid 3351
TSP4
Neatro";Fe;1,25-1,40;3,75-4,75;4,25-5,50;3,75-4,50;5,25-6,50;0;0;0,15-0,40;0,20-0,45;0,03;0,03;0,25;0;0;;;US
"1.3394*M4*
PMHS6-5-4
1.3361
HS654*
HS6-5-4
SKH54*
X130WMoCrV 06-05-04-04*
W6Mo5Cr4V4*
R6M5F4*
T11304
Alpha4
Supra1*
DBL4
ASPM4*
Atlas M4
S693 MICROCLEAN*
S693
S692 MICROCLEAN*
S692
Braefour
Carpenter Four Star
Four Star
Micro-Melt M4
Molite42
CPM Rex M4(HC)
CPM M4*
PM M4
PMD M4
EM4
ASP2004*
GPM4
HYM4*
XVC11
H&R No.7
KHA33
Mega4
Stark*
DuraTech M4*
DuraTech Mega4*
M4PM
LO-QPM M4
BRM4*
MAC-C
HM4
CSW20
SIRapid 3351
TSP4
Neatro";Fe;1,25-1,40;3,80-4,50;4,50-5,50;3,70-4,20;5,20-6,00;0;0;0,4;0,45;0,03;0,03;0;0;0;;;DE
"HS654*M4*
PMHS6-5-4
1.3394*
1.3361
HS6-5-4
SKH54*
X130WMoCrV 06-05-04-04*
W6Mo5Cr4V4*
R6M5F4*
T11304
Alpha4
Supra1*
DBL4
ASPM4*
Atlas M4
S693 MICROCLEAN*
S693
S692 MICROCLEAN*
S692
Braefour
Carpenter Four Star
Four Star
Micro-Melt M4
Molite42
CPM Rex M4(HC)
CPM M4*
PM M4
PMD M4
EM4
ASP2004*
GPM4
HYM4*
XVC11
H&R No.7
KHA33
Mega4
Stark*
DuraTech M4*
DuraTech Mega4*
M4PM
LO-QPM M4
BRM4*
MAC-C
HM4
CSW20
SIRapid 3351
TSP4
Neatro";Fe;1,25-1,40;3,80-4,50;4,50-5,50;3,70-4,20;5,20-6,00;0;0;0,4;0,45;0,03;0,03;0;0;0;;;EU
"HS6-5-4M4*
PMHS6-5-4
1.3394*
1.3361
HS654*
SKH54*
X130WMoCrV 06-05-04-04*
W6Mo5Cr4V4*
R6M5F4*
T11304
Alpha4
Supra1*
DBL4
ASPM4*
Atlas M4
S693 MICROCLEAN*
S693
S692 MICROCLEAN*
S692
Braefour
Carpenter Four Star
Four Star
Micro-Melt M4
Molite42
CPM Rex M4(HC)
CPM M4*
PM M4
PMD M4
EM4
ASP2004*
GPM4
HYM4*
XVC11
H&R No.7
KHA33
Mega4
Stark*
DuraTech M4*
DuraTech Mega4*
M4PM
LO-QPM M4
BRM4*
MAC-C
HM4
CSW20
SIRapid 3351
TSP4
Neatro";Fe;1,25-1,40;3,80-4,50;4,50-5,50;3,70-4,20;5,20-6,00;0;0;0,4;0,45;0,03;0,03;0;0;0;;;EU
"SKH54*M4*
PMHS6-5-4
1.3394*
1.3361
HS654*
HS6-5-4
X130WMoCrV 06-05-04-04*
W6Mo5Cr4V4*
R6M5F4*
T11304
Alpha4
Supra1*
DBL4
ASPM4*
Atlas M4
S693 MICROCLEAN*
S693
S692 MICROCLEAN*
S692
Braefour
Carpenter Four Star
Four Star
Micro-Melt M4
Molite42
CPM Rex M4(HC)
CPM M4*
PM M4
PMD M4
EM4
ASP2004*
GPM4
HYM4*
XVC11
H&R No.7
KHA33
Mega4
Stark*
DuraTech M4*
DuraTech Mega4*
M4PM
LO-QPM M4
BRM4*
MAC-C
HM4
CSW20
SIRapid 3351
TSP4
Neatro";Fe;1,25-1,40;3,80-4,50;4,50-5,50;3,90-4,50;5,30-6,50;0;0,25;0,4;0,4;0,03;0,03;0,25;0;0;;;JP
"T11304M4*
PMHS6-5-4
1.3394*
1.3361
HS654*
HS6-5-4
SKH54*
X130WMoCrV 06-05-04-04*
W6Mo5Cr4V4*
R6M5F4*
Alpha4
Supra1*
DBL4
ASPM4*
Atlas M4
S693 MICROCLEAN*
S693
S692 MICROCLEAN*
S692
Braefour
Carpenter Four Star
Four Star
Micro-Melt M4
Molite42
CPM Rex M4(HC)
CPM M4*
PM M4
PMD M4
EM4
ASP2004*
GPM4
HYM4*
XVC11
H&R No.7
KHA33
Mega4
Stark*
DuraTech M4*
DuraTech Mega4*
M4PM
LO-QPM M4
BRM4*
MAC-C
HM4
CSW20
SIRapid 3351
TSP4
Neatro";Fe;1,25-1,40;3,75-4,75;4,25-5,50;3,75-4,50;5,25-6,50;0;0;0,15-0,40;0,20-0,45;0,03;0,03;0,25;0;0;;;US
"Supra1*M4*
PMHS6-5-4
1.3394*
1.3361
HS654*
HS6-5-4
SKH54*
X130WMoCrV 06-05-04-04*
W6Mo5Cr4V4*
R6M5F4*
T11304
Alpha4
DBL4
ASPM4*
Atlas M4
S693 MICROCLEAN*
S693
S692 MICROCLEAN*
S692
Braefour
Carpenter Four Star
Four Star
Micro-Melt M4
Molite42
CPM Rex M4(HC)
CPM M4*
PM M4
PMD M4
EM4
ASP2004*
GPM4
HYM4*
XVC11
H&R No.7
KHA33
Mega4
Stark*
DuraTech M4*
DuraTech Mega4*
M4PM
LO-QPM M4
BRM4*
MAC-C
HM4
CSW20
SIRapid 3351
TSP4
Neatro";Fe;1,5;4;2,5;4;2,5;0;0;?;?;0,01;?;0;0;0;PM;Akers;FR
"S693 MICROCLEAN*M4*
PMHS6-5-4
1.3394*
1.3361
HS654*
HS6-5-4
SKH54*
X130WMoCrV 06-05-04-04*
W6Mo5Cr4V4*
R6M5F4*
T11304
Alpha4
Supra1*
DBL4
ASPM4*
Atlas M4
S693
S692 MICROCLEAN*
S692
Braefour
Carpenter Four Star
Four Star
Micro-Melt M4
Molite42
CPM Rex M4(HC)
CPM M4*
PM M4
PMD M4
EM4
ASP2004*
GPM4
HYM4*
XVC11
H&R No.7
KHA33
Mega4
Stark*
DuraTech M4*
DuraTech Mega4*
M4PM
LO-QPM M4
BRM4*
MAC-C
HM4
CSW20
SIRapid 3351
TSP4
Neatro";Fe;1,35;4,1;5;4,1;5,9;0;0;?;?;?;?;0;0;0;;Bohler-Uddeholm;SE
"Carpenter Four StarM4*
PMHS6-5-4
1.3394*
1.3361
HS654*
HS6-5-4
SKH54*
X130WMoCrV 06-05-04-04*
W6Mo5Cr4V4*
R6M5F4*
T11304
Alpha4
Supra1*
DBL4
ASPM4*
Atlas M4
S693 MICROCLEAN*
S693
S692 MICROCLEAN*
S692
Braefour
Four Star
Micro-Melt M4
Molite42
CPM Rex M4(HC)
CPM M4*
PM M4
PMD M4
EM4
ASP2004*
GPM4
HYM4*
XVC11
H&R No.7
KHA33
Mega4
Stark*
DuraTech M4*
DuraTech Mega4*
M4PM
LO-QPM M4
BRM4*
MAC-C
HM4
CSW20
SIRapid 3351
TSP4
Neatro";Fe;1,45;4,5;4,5;4;5,75;0;0;0,4;0,4;0,13;?;0;0;0;;Carpenter;US
