Grade;Base;C;Cr;Mo;V;W;Co;Ni;Mn;Si;S;P;Cu;Nb;N;Tech;Maker;CC
"SKH57*M48*
HS10-4-3-10*
BT42
HS10-4-3-10*
W10Mo4Cr4V3Co10*
HS10-4-3-10*
R6M5F3
T11348
SK10V
R14*
SKH57*
WKE4
Micro-Melt M48*
CPM Rex 76*
MH57
MH8
ASP2048*
ASP2051*
GPM48*
XVC5
HS93R
HS98M
FM38V
MV10
RHM7";Fe;1,20-1,35;3,80-4,50;3,00-4,00;3,00-3,70;9,00-11,00;9,00-11,00;0,25;0,4;0,4;0,03;0,03;0,25;0;0;;;JP
"HS10-4-3-10*M48*
HS10-4-3-10*
SKH57*
BT42
W10Mo4Cr4V3Co10*
HS10-4-3-10*
R6M5F3
T11348
SK10V
R14*
SKH57*
WKE4
Micro-Melt M48*
CPM Rex 76*
MH57
MH8
ASP2048*
ASP2051*
GPM48*
XVC5
HS93R
HS98M
FM38V
MV10
RHM7";Fe;1,20-1,35;3,80-4,50;3,20-3,90;3,00-3,50;9,00-10,00;9,50-10,50;0;0,4;0,45;0,03;0,03;0,25;0;0;;;IT
"HS10-4-3-10*M48*
HS10-4-3-10*
SKH57*
BT42
HS10-4-3-10*
W10Mo4Cr4V3Co10*
R6M5F3
T11348
SK10V
R14*
SKH57*
WKE4
Micro-Melt M48*
CPM Rex 76*
MH57
MH8
ASP2048*
ASP2051*
GPM48*
XVC5
HS93R
HS98M
FM38V
MV10
RHM7";Fe;1,20-1,35;3,80-4,50;3,20-3,90;3,00-3,50;9,00-10,00;9,50-10,50;0;0,4;0,45;0,03;0,03;0,25;0;0;;;ES
"T11348M48*
HS10-4-3-10*
SKH57*
BT42
HS10-4-3-10*
W10Mo4Cr4V3Co10*
HS10-4-3-10*
R6M5F3
SK10V
R14*
SKH57*
WKE4
Micro-Melt M48*
CPM Rex 76*
MH57
MH8
ASP2048*
ASP2051*
GPM48*
XVC5
HS93R
HS98M
FM38V
MV10
RHM7";Fe;1,50-1,55;3,75-4,00;5,25;3,1;9,75-10,00;8,50-9,00;0;?;?;0,07;?;0;0;0;;;US
"Micro-Melt M48*M48*
HS10-4-3-10*
SKH57*
BT42
HS10-4-3-10*
W10Mo4Cr4V3Co10*
HS10-4-3-10*
R6M5F3
T11348
SK10V
R14*
SKH57*
WKE4
CPM Rex 76*
MH57
MH8
ASP2048*
ASP2051*
GPM48*
XVC5
HS93R
HS98M
FM38V
MV10
RHM7";Fe;1,55;4;5,25;3,1;10;9;0;0,3;0,4;0,03;0,2;0;0;0;MM;Carpenter;US
"CPM Rex 76*M48*
HS10-4-3-10*
SKH57*
BT42
HS10-4-3-10*
W10Mo4Cr4V3Co10*
HS10-4-3-10*
R6M5F3
T11348
SK10V
R14*
SKH57*
WKE4
Micro-Melt M48*
MH57
MH8
ASP2048*
ASP2051*
GPM48*
XVC5
HS93R
HS98M
FM38V
MV10
RHM7";Fe;1,5;3,75;5,25;3,1;9,75;8,5;0;0,3;0,3;0,06;0,03;0;0;0;CPM;Crucible;US
"XVC5M48*
HS10-4-3-10*
SKH57*
BT42
HS10-4-3-10*
W10Mo4Cr4V3Co10*
HS10-4-3-10*
R6M5F3
T11348
SK10V
R14*
SKH57*
WKE4
Micro-Melt M48*
CPM Rex 76*
MH57
MH8
ASP2048*
ASP2051*
GPM48*
HS93R
HS98M
FM38V
MV10
RHM7";Fe;1,25;4,15;3,5;3,45;10;10;0;0,35;0,25;0,01;0,025;0;0;0;;Hitachi;JP
"FM38VM48*
HS10-4-3-10*
SKH57*
BT42
HS10-4-3-10*
W10Mo4Cr4V3Co10*
HS10-4-3-10*
R6M5F3
T11348
SK10V
R14*
SKH57*
WKE4
Micro-Melt M48*
CPM Rex 76*
MH57
MH8
ASP2048*
ASP2051*
GPM48*
XVC5
HS93R
HS98M
MV10
RHM7";Fe;1,25;4,15;3,5;3,45;10;10;0;0,35;0,25;0,01;0,025;0;0;0;;Nachi Fujikoshi;JP
"M62*PM M62*
T11362
Micro-Melt M62
CPM Rex 20*
CPM VIM CRU 20
ASP2062*";Fe;1,3;3,00-3,75;10,5;2;6,25;0;0;0,35-0,70;0,25;0,06;?;0;0;0;MM;;US
"T11362M62*
PM M62*
Micro-Melt M62
CPM Rex 20*
CPM VIM CRU 20
ASP2062*";Fe;1,3;3,00-3,75;10,5;2;6,25;0;0;0,35-0,70;0,25;0,06;?;0;0;0;;;US
"Micro-Melt M62M62*
PM M62*
T11362
CPM Rex 20*
CPM VIM CRU 20
ASP2062*";Fe;1,3;3,75;10;2;6,25;0;0;0,7;0,6;0,05;?;0;0;0;MM;Carpenter;US
"CPM Rex 20*M62*
PM M62*
T11362
Micro-Melt M62
CPM VIM CRU 20
ASP2062*";Fe;1,30-1,32;3,75;10,5;2;6,25;0;0;0,3;0,3;0,06;0,03;0;0;0;CPM;Crucible;US
"M7*S2-9-2
1.3348*
HS2-9-2*
SKH58*
2782*
Z100DCWV09-04-02-02*
Z100WCWV09-04-02-02
HS2-9-2*
W2Mo9Cr4v2*
F.5607
HS2-9-2*
R2M9*
T11307
Motuf
Alpha7
LMW-V
S400
Seven Star*
Rex M7
Mo19
DMo5V
DMo9V
EM7
GPM7
HYM7
H&R M7
B94
Tatmo VN*
Tatmo V*
BR885*
HM7
SVX822
GigantM9V
SIRapid 3348
Molva C
Thyrapid3348
3348
Motung CV
Vasco M7
VWM7*";Fe;1,00-1,02;3,75;8,50-8,75;1,90-2,00;1,75;0;0;0,25-0,30;0,30-0,40;?;?;0;0;0;;;US
"S2-9-2M7*
1.3348*
HS2-9-2*
SKH58*
2782*
Z100DCWV09-04-02-02*
Z100WCWV09-04-02-02
HS2-9-2*
W2Mo9Cr4v2*
F.5607
HS2-9-2*
R2M9*
T11307
Motuf
Alpha7
LMW-V
S400
Seven Star*
Rex M7
Mo19
DMo5V
DMo9V
EM7
GPM7
HYM7
H&R M7
B94
Tatmo VN*
Tatmo V*
BR885*
HM7
SVX822
GigantM9V
SIRapid 3348
Molva C
Thyrapid3348
3348
Motung CV
Vasco M7
VWM7*";Fe;0,95-1,05;3,50-4,50;8,20-9,20;1,70-2,20;1,50-2,10;0;0;0,4;0,7;0,03;0,03;0;0;0;;;DE
"1.3348*M7*
S2-9-2
HS2-9-2*
SKH58*
2782*
Z100DCWV09-04-02-02*
Z100WCWV09-04-02-02
HS2-9-2*
W2Mo9Cr4v2*
F.5607
HS2-9-2*
R2M9*
T11307
Motuf
Alpha7
LMW-V
S400
Seven Star*
Rex M7
Mo19
DMo5V
DMo9V
EM7
GPM7
HYM7
H&R M7
B94
Tatmo VN*
Tatmo V*
BR885*
HM7
SVX822
GigantM9V
SIRapid 3348
Molva C
Thyrapid3348
3348
Motung CV
Vasco M7
VWM7*";Fe;0,95-1,05;3,50-4,50;8,20-9,20;1,70-2,20;1,50-2,10;0;0;0,4;0,7;0,03;0,03;0;0;0;;;DE
"HS2-9-2*M7*
S2-9-2
1.3348*
SKH58*
2782*
Z100DCWV09-04-02-02*
Z100WCWV09-04-02-02
HS2-9-2*
W2Mo9Cr4v2*
F.5607
HS2-9-2*
R2M9*
T11307
Motuf
Alpha7
LMW-V
S400
Seven Star*
Rex M7
Mo19
DMo5V
DMo9V
EM7
GPM7
HYM7
H&R M7
B94
Tatmo VN*
Tatmo V*
BR885*
HM7
SVX822
GigantM9V
SIRapid 3348
Molva C
Thyrapid3348
3348
Motung CV
Vasco M7
VWM7*";Fe;0,95-1,05;3,50-4,50;8,20-9,20;1,70-2,20;1,50-2,10;0;0;0,4;0,7;0,03;0,03;0;0;0;;;EU
"SKH58*M7*
S2-9-2
1.3348*
HS2-9-2*
2782*
Z100DCWV09-04-02-02*
Z100WCWV09-04-02-02
HS2-9-2*
W2Mo9Cr4v2*
F.5607
HS2-9-2*
R2M9*
T11307
Motuf
Alpha7
LMW-V
S400
Seven Star*
Rex M7
Mo19
DMo5V
DMo9V
EM7
GPM7
HYM7
H&R M7
B94
Tatmo VN*
Tatmo V*
BR885*
HM7
SVX822
GigantM9V
SIRapid 3348
Molva C
Thyrapid3348
3348
Motung CV
Vasco M7
VWM7*";Fe;0,95-1,05;3,50-4,50;8,20-9,20;1,70-2,20;1,50-2,20;0;0,25;0,4;0,5;0,03;0,03;0,25;0;0;;;JP
"HS2-9-2*M7*
S2-9-2
1.3348*
HS2-9-2*
SKH58*
2782*
Z100DCWV09-04-02-02*
Z100WCWV09-04-02-02
W2Mo9Cr4v2*
F.5607
HS2-9-2*
R2M9*
T11307
Motuf
Alpha7
LMW-V
S400
Seven Star*
Rex M7
Mo19
DMo5V
DMo9V
EM7
GPM7
HYM7
H&R M7
B94
Tatmo VN*
Tatmo V*
BR885*
HM7
SVX822
GigantM9V
SIRapid 3348
Molva C
Thyrapid3348
3348
Motung CV
Vasco M7
VWM7*";Fe;0,95-1,05;3,50-4,50;8,20-9,20;1,70-2,20;1,50-2,10;0;0;0,4;0,7;0,03;0,03;0;0;0;;;IT
"T11307M7*
S2-9-2
1.3348*
HS2-9-2*
SKH58*
2782*
Z100DCWV09-04-02-02*
Z100WCWV09-04-02-02
HS2-9-2*
W2Mo9Cr4v2*
F.5607
HS2-9-2*
R2M9*
Motuf
Alpha7
LMW-V
S400
Seven Star*
Rex M7
Mo19
DMo5V
DMo9V
EM7
GPM7
HYM7
H&R M7
B94
Tatmo VN*
Tatmo V*
BR885*
HM7
SVX822
GigantM9V
SIRapid 3348
Molva C
Thyrapid3348
3348
Motung CV
Vasco M7
VWM7*";Fe;1,00-1,02;3,75;8,50-8,75;1,90-2,00;1,75;0;0;0,25-0,30;0,30-0,40;?;?;0;0;0;;;US
"Seven Star*M7*
S2-9-2
1.3348*
HS2-9-2*
SKH58*
2782*
Z100DCWV09-04-02-02*
Z100WCWV09-04-02-02
HS2-9-2*
W2Mo9Cr4v2*
F.5607
HS2-9-2*
R2M9*
T11307
Motuf
Alpha7
LMW-V
S400
Rex M7
Mo19
DMo5V
DMo9V
EM7
GPM7
HYM7
H&R M7
B94
Tatmo VN*
Tatmo V*
BR885*
HM7
SVX822
GigantM9V
SIRapid 3348
Molva C
Thyrapid3348
3348
Motung CV
Vasco M7
VWM7*";Fe;1;4;8,75;2;1,75;0;0;0,25;0,25;?;?;0;0;0;;Carpenter;US
"Tatmo VN*M7*
S2-9-2
1.3348*
HS2-9-2*
SKH58*
2782*
Z100DCWV09-04-02-02*
Z100WCWV09-04-02-02
HS2-9-2*
W2Mo9Cr4v2*
F.5607
HS2-9-2*
R2M9*
T11307
Motuf
Alpha7
LMW-V
S400
Seven Star*
Rex M7
Mo19
DMo5V
DMo9V
EM7
GPM7
HYM7
H&R M7
B94
Tatmo V*
BR885*
HM7
SVX822
GigantM9V
SIRapid 3348
Molva C
Thyrapid3348
3348
Motung CV
Vasco M7
VWM7*";Fe;1,02;3,75;8,5;1,9;1,75;0;0;0,25;?;?;?;0;0;?;;Latrobe;US
"Tatmo V*M7*
S2-9-2
1.3348*
HS2-9-2*
SKH58*
2782*
Z100DCWV09-04-02-02*
Z100WCWV09-04-02-02
HS2-9-2*
W2Mo9Cr4v2*
F.5607
HS2-9-2*
R2M9*
T11307
Motuf
Alpha7
LMW-V
S400
Seven Star*
Rex M7
Mo19
DMo5V
DMo9V
EM7
GPM7
HYM7
H&R M7
B94
Tatmo VN*
BR885*
HM7
SVX822
GigantM9V
SIRapid 3348
Molva C
Thyrapid3348
3348
Motung CV
Vasco M7
VWM7*";Fe;1;3,75;8,55;2;1,6;0;0;0,25;0,3;?;?;0;0;0;;Latrobe;US
"A10*T30110
Graph-Air";Fe;1,25-1,50;0;1,25-1,75;0;0;0;1,55-2,05;1,60-2,10;1,00-1,50;0,03;0,03;0,25;0;0;;;US
"T30110A10*
Graph-Air";Fe;1,25-1,50;0;1,25-1,75;0;0;0;1,55-2,05;1,60-2,10;1,00-1,50;0,03;0,03;0,25;0;0;;;US
"Graph-AirA10*
T30110";Fe;0,94;0,5;0;0;0,5;0;0;1,2;0,3;?;?;0;0;0;;Latrobe;US
"A11 LVC*PMV9*
Micro-Melt A11 LVC
CPM 9V*
PMD9*
ASP2009*
GPM9
DuraTech Nine*
DuraTech 9
Z-A11LVPM*";Fe;1,85;5,3;1,3;9;0;0;0;?;?;?;?;0;0;0;MM;Carpenter;US
"Micro-Melt A11 LVCPMV9*
A11 LVC*
CPM 9V*
PMD9*
ASP2009*
GPM9
DuraTech Nine*
DuraTech 9
Z-A11LVPM*";Fe;1,85;5,3;1,3;9;0;0;0;?;?;?;?;0;0;0;MM;Carpenter;US
"CPM 9V*PMV9*
A11 LVC*
Micro-Melt A11 LVC
PMD9*
ASP2009*
GPM9
DuraTech Nine*
DuraTech 9
Z-A11LVPM*";Fe;1,9;5,25;1,3;9,00-9,10;0,4;0;0;0,5;0,9;0,1;0,03;0;0;0;CPM;Crucible;US
"PMD9*PMV9*
A11 LVC*
Micro-Melt A11 LVC
CPM 9V*
ASP2009*
GPM9
DuraTech Nine*
DuraTech 9
Z-A11LVPM*";Fe;1,8;5,25;1,3;9;0;0;0;?;?;?;?;0;0;0;PM;Dorrenberg;DE
"ASP2009*PMV9*
A11 LVC*
Micro-Melt A11 LVC
CPM 9V*
PMD9*
GPM9
DuraTech Nine*
DuraTech 9
Z-A11LVPM*";Fe;1,9;5,25;1,3;9,1;0;0;0;?;?;?;?;0;0;0;PM;Erasteel;FR
"DuraTech Nine*PMV9*
A11 LVC*
Micro-Melt A11 LVC
CPM 9V*
PMD9*
ASP2009*
GPM9
DuraTech 9
Z-A11LVPM*";Fe;1,9;5,25;1,35;9;0,00-0,40;0;0;0,5;0,9;?;?;0;0;0;PM;Latrobe;US
"Z-A11LVPM*PMV9*
A11 LVC*
Micro-Melt A11 LVC
CPM 9V*
PMD9*
ASP2009*
GPM9
DuraTech Nine*
DuraTech 9";Fe;1,9;5,25;1,3;9,00-9,10;0,4;0;0;0,5;0,9;0,1;0,03;0;0;0;PM;Zapp;DE
"A18*Narva8B*
Slitter Knife #46
Whitebear
PMA 18
LSI PMA A18";Fe;0,80-0,85;7,50-7,75;1,25-1,55;2,15-2,70;0;0;0;0,35;1;?;?;0;0;0;;;US
"W1*C80W1
C105W1
C70W2
C80W2
C100W1
1.1654
1.1620
1.1625
1.1645
1.1545
UC70KU
SK2
SK5
SK3*
SK1
SK140*
SK120
Y105
Y70*
BW1*
C36KU*
19132
19133
19152
19191
19192PH
19221
C.1842*
F.5118
U11
U12A-1
U12A-2
U10A-1
U10-1
U10A-2
U13-1
U13A-1
U13A-2
U8-1
U8A-1
U8A-2
T72301
SK3
Prompton
Prompton Extra
Prompton Special
Lion
Lion
Maple Leaf*
Atlas Refined-10
Atlas X-10
X
XX
XCL
XXX
UHB20
K970
K980
K990
UHB Water
H-9 Double Header*
No. 11 Special
Green Label
Standard*
Black Diamond*
Sanderson Extra
LaBelle Cold Striking
LaBelle Cold Header Die
YK3
Sterling
YC3
H&R Carbon
H&R Special Carbon
H&R Heading Die
Lion*
Washington
Washington Spec.
Carbon
Extra Carbon
OC80*
OC70
OPC65
OC80MN*
K3
SK3*
Ajax
Watercrat
SK3
Diamond-S
Blue Label
Red Label
Colonial No. 14
Thyrodur1615
T67
T70
T97
T100
TP118
Red Star Tool
Regular";Fe;0,70-1,50;0,15;0,1;0,1;0,15;0;0,2;0,10-0,40;0,10-0,40;0,025;0,025;0,2;0;0;;;US
"C100W1W1*
C80W1
C105W1
C70W2
C80W2
1.1654
1.1620
1.1625
1.1645
1.1545
UC70KU
SK2
SK5
SK3*
SK1
SK140*
SK120
Y105
Y70*
BW1*
C36KU*
19132
19133
19152
19191
19192PH
19221
C.1842*
F.5118
U11
U12A-1
U12A-2
U10A-1
U10-1
U10A-2
U13-1
U13A-1
U13A-2
U8-1
U8A-1
U8A-2
T72301
SK3
Prompton
Prompton Extra
Prompton Special
Lion
Lion
Maple Leaf*
Atlas Refined-10
Atlas X-10
X
XX
XCL
XXX
UHB20
K970
K980
K990
UHB Water
H-9 Double Header*
No. 11 Special
Green Label
Standard*
Black Diamond*
Sanderson Extra
LaBelle Cold Striking
LaBelle Cold Header Die
YK3
Sterling
YC3
H&R Carbon
H&R Special Carbon
H&R Heading Die
Lion*
Washington
Washington Spec.
Carbon
Extra Carbon
OC80*
OC70
OPC65
OC80MN*
K3
SK3*
Ajax
Watercrat
SK3
Diamond-S
Blue Label
Red Label
Colonial No. 14
Thyrodur1615
T67
T70
T97
T100
TP118
Red Star Tool
Regular";Fe;1,03;0,07;0,01;0;0;0;0,1;0,22;0,17;0,012;0,014;0,14;0;0;;;DE
"SK3*W1*
C80W1
C105W1
C70W2
C80W2
C100W1
1.1654
1.1620
1.1625
1.1645
1.1545
UC70KU
SK2
SK5
SK1
SK140*
SK120
Y105
Y70*
BW1*
C36KU*
19132
19133
19152
19191
19192PH
19221
C.1842*
F.5118
U11
U12A-1
U12A-2
U10A-1
U10-1
U10A-2
U13-1
U13A-1
U13A-2
U8-1
U8A-1
U8A-2
T72301
SK3
Prompton
Prompton Extra
Prompton Special
Lion
Lion
Maple Leaf*
Atlas Refined-10
Atlas X-10
X
XX
XCL
XXX
UHB20
K970
K980
K990
UHB Water
H-9 Double Header*
No. 11 Special
Green Label
Standard*
Black Diamond*
Sanderson Extra
LaBelle Cold Striking
LaBelle Cold Header Die
YK3
Sterling
YC3
H&R Carbon
H&R Special Carbon
H&R Heading Die
Lion*
Washington
Washington Spec.
Carbon
Extra Carbon
OC80*
OC70
OPC65
OC80MN*
K3
SK3*
Ajax
Watercrat
SK3
Diamond-S
Blue Label
Red Label
Colonial No. 14
Thyrodur1615
T67
T70
T97
T100
TP118
Red Star Tool
Regular";Fe;1,00-1,10;0,00-0,30;0;0;0;0;0,00-0,25;0,10-0,50;0,10-0,35;0,03;0,03;0,00-0,25;0;0;;;JP
"SK140*W1*
C80W1
C105W1
C70W2
C80W2
C100W1
1.1654
1.1620
1.1625
1.1645
1.1545
UC70KU
SK2
SK5
SK3*
SK1
SK120
Y105
Y70*
BW1*
C36KU*
19132
19133
19152
19191
19192PH
19221
C.1842*
F.5118
U11
U12A-1
U12A-2
U10A-1
U10-1
U10A-2
U13-1
U13A-1
U13A-2
U8-1
U8A-1
U8A-2
T72301
SK3
Prompton
Prompton Extra
Prompton Special
Lion
Lion
Maple Leaf*
Atlas Refined-10
Atlas X-10
X
XX
XCL
XXX
UHB20
K970
K980
K990
UHB Water
H-9 Double Header*
No. 11 Special
Green Label
Standard*
Black Diamond*
Sanderson Extra
LaBelle Cold Striking
LaBelle Cold Header Die
YK3
Sterling
YC3
H&R Carbon
H&R Special Carbon
H&R Heading Die
Lion*
Washington
Washington Spec.
Carbon
Extra Carbon
OC80*
OC70
OPC65
OC80MN*
K3
SK3*
Ajax
Watercrat
SK3
Diamond-S
Blue Label
Red Label
Colonial No. 14
Thyrodur1615
T67
T70
T97
T100
TP118
Red Star Tool
Regular";Fe;1,30-1,50;0,00-0,30;0;0;0;0;0,00-0,25;0,10-0,50;0,10-0,35;0,03;0,03;0,00-0,25;0;0;;;JP
"T72301W1*
C80W1
C105W1
C70W2
C80W2
C100W1
1.1654
1.1620
1.1625
1.1645
1.1545
UC70KU
SK2
SK5
SK3*
SK1
SK140*
SK120
Y105
Y70*
BW1*
C36KU*
19132
19133
19152
19191
19192PH
19221
C.1842*
F.5118
U11
U12A-1
U12A-2
U10A-1
U10-1
U10A-2
U13-1
U13A-1
U13A-2
U8-1
U8A-1
U8A-2
SK3
Prompton
Prompton Extra
Prompton Special
Lion
Lion
Maple Leaf*
Atlas Refined-10
Atlas X-10
X
XX
XCL
XXX
UHB20
K970
K980
K990
UHB Water
H-9 Double Header*
No. 11 Special
Green Label
Standard*
Black Diamond*
Sanderson Extra
LaBelle Cold Striking
LaBelle Cold Header Die
YK3
Sterling
YC3
H&R Carbon
H&R Special Carbon
H&R Heading Die
Lion*
Washington
Washington Spec.
Carbon
Extra Carbon
OC80*
OC70
OPC65
OC80MN*
K3
SK3*
Ajax
Watercrat
SK3
Diamond-S
Blue Label
Red Label
Colonial No. 14
Thyrodur1615
T67
T70
T97
T100
TP118
Red Star Tool
Regular";Fe;0,70-1,50;0,15;0,1;0,1;0,15;0;0,2;0,10-0,40;0,10-0,40;0,025;0,025;0,2;0;0;;;US
"OC80*W1*
C80W1
C105W1
C70W2
C80W2
C100W1
1.1654
1.1620
1.1625
1.1645
1.1545
UC70KU
SK2
SK5
SK3*
SK1
SK140*
SK120
Y105
Y70*
BW1*
C36KU*
19132
19133
19152
19191
19192PH
19221
C.1842*
F.5118
U11
U12A-1
U12A-2
U10A-1
U10-1
U10A-2
U13-1
U13A-1
U13A-2
U8-1
U8A-1
U8A-2
T72301
SK3
Prompton
Prompton Extra
Prompton Special
Lion
Lion
Maple Leaf*
Atlas Refined-10
Atlas X-10
X
XX
XCL
XXX
UHB20
K970
K980
K990
UHB Water
H-9 Double Header*
No. 11 Special
Green Label
Standard*
Black Diamond*
Sanderson Extra
LaBelle Cold Striking
LaBelle Cold Header Die
YK3
Sterling
YC3
H&R Carbon
H&R Special Carbon
H&R Heading Die
Lion*
Washington
Washington Spec.
Carbon
Extra Carbon
OC70
OPC65
OC80MN*
K3
SK3*
Ajax
Watercrat
SK3
Diamond-S
Blue Label
Red Label
Colonial No. 14
Thyrodur1615
T67
T70
T97
T100
TP118
Red Star Tool
Regular";Fe;0,8;0;0;0;0;0;0;0,5;0,2;?;?;0;0;0;;Metal Ravne;SI
"SK3*W1*
C80W1
C105W1
C70W2
C80W2
C100W1
1.1654
1.1620
1.1625
1.1645
1.1545
UC70KU
SK2
SK5
SK3*
SK1
SK140*
SK120
Y105
Y70*
BW1*
C36KU*
19132
19133
19152
19191
19192PH
19221
C.1842*
F.5118
U11
U12A-1
U12A-2
U10A-1
U10-1
U10A-2
U13-1
U13A-1
U13A-2
U8-1
U8A-1
U8A-2
T72301
SK3
Prompton
Prompton Extra
Prompton Special
Lion
Lion
Maple Leaf*
Atlas Refined-10
Atlas X-10
X
XX
XCL
XXX
UHB20
K970
K980
K990
UHB Water
H-9 Double Header*
No. 11 Special
Green Label
Standard*
Black Diamond*
Sanderson Extra
LaBelle Cold Striking
LaBelle Cold Header Die
YK3
Sterling
YC3
H&R Carbon
H&R Special Carbon
H&R Heading Die
Lion*
Washington
Washington Spec.
Carbon
Extra Carbon
OC80*
OC70
OPC65
OC80MN*
K3
Ajax
Watercrat
SK3
Diamond-S
Blue Label
Red Label
Colonial No. 14
Thyrodur1615
T67
T70
T97
T100
TP118
Red Star Tool
Regular";Fe;1,00-1,10;0,00-0,30;0;0;0;0;0,00-0,25;0,10-0,50;0,10-0,35;0,03;0,03;0,00-0,25;0;0;;Nisshin;JP
"W2*100V1*
1.2833
100V1*
SKS43*
SKS44
105MV01*
Y120V
Y105V
Y105C
Y100C2
Y105
BW2*
V*
19356*
C.1941*
C.1942
T72302
C98KU*
102V2KU
Carb-Van
Python
Lion Vanadium
Atlas Spec.Alloy
Sp. Alloy-10
Best
Superior
UHB-19VA
K760
Nitro
Alva Extra*
Granada Vanadium
GS1
GS3V
GS5V
KSS
Cryodur2833
Best Va Tool
JanusV
Sterling-V
Silvan Star
GKS
Extra-Edel10S
Lukens W2
KTS
V1
Carbon-Vanadium
Renown
OC100ES
OC100EX
Aldo W2*
Aldos W2
KP
KM20V
Ezh Special
MSV
Red Label V
Diamond SV
Colonial No. 7
Thyrodur2833
Thyrodur2833
TZ100
Standard Draco
Special Draco
VETD
Weld Mold 925
VK4Extra
Zivco Vanadium";Fe;0,85-1,50;0,15;0,1;0,15-0,35;0,15;0;0,2;0,10-0,40;0,10-0,40;0,025;0,025;0,2;0;0;;;US
"SKS43*W2*
100V1*
1.2833
100V1*
SKS44
105MV01*
Y120V
Y105V
Y105C
Y100C2
Y105
BW2*
V*
19356*
C.1941*
C.1942
T72302
C98KU*
102V2KU
Carb-Van
Python
Lion Vanadium
Atlas Spec.Alloy
Sp. Alloy-10
Best
Superior
UHB-19VA
K760
Nitro
Alva Extra*
Granada Vanadium
GS1
GS3V
GS5V
KSS
Cryodur2833
Best Va Tool
JanusV
Sterling-V
Silvan Star
GKS
Extra-Edel10S
Lukens W2
KTS
V1
Carbon-Vanadium
Renown
OC100ES
OC100EX
Aldo W2*
Aldos W2
KP
KM20V
Ezh Special
MSV
Red Label V
Diamond SV
Colonial No. 7
Thyrodur2833
Thyrodur2833
TZ100
Standard Draco
Special Draco
VETD
Weld Mold 925
VK4Extra
Zivco Vanadium";Fe;1,00-1,10;0,2;0;0,10-0,25;0;0;0,25;0,3;0,25;0,03;0,03;0,25;0;0;;;JP
"SKS44W2*
100V1*
1.2833
100V1*
SKS43*
105MV01*
Y120V
Y105V
Y105C
Y100C2
Y105
BW2*
V*
19356*
C.1941*
C.1942
T72302
C98KU*
102V2KU
Carb-Van
Python
Lion Vanadium
Atlas Spec.Alloy
Sp. Alloy-10
Best
Superior
UHB-19VA
K760
Nitro
Alva Extra*
Granada Vanadium
GS1
GS3V
GS5V
KSS
Cryodur2833
Best Va Tool
JanusV
Sterling-V
Silvan Star
GKS
Extra-Edel10S
Lukens W2
KTS
V1
Carbon-Vanadium
Renown
OC100ES
OC100EX
Aldo W2*
Aldos W2
KP
KM20V
Ezh Special
MSV
Red Label V
Diamond SV
Colonial No. 7
Thyrodur2833
Thyrodur2833
TZ100
Standard Draco
Special Draco
VETD
Weld Mold 925
VK4Extra
Zivco Vanadium";Fe;0,80-0,90;0,2;0;0,10-0,25;0;0;0,25;0,3;0,25;0,03;0,03;0,25;0;0;;;JP
"T72302W2*
100V1*
1.2833
100V1*
SKS43*
SKS44
105MV01*
Y120V
Y105V
Y105C
Y100C2
Y105
BW2*
V*
19356*
C.1941*
C.1942
C98KU*
102V2KU
Carb-Van
Python
Lion Vanadium
Atlas Spec.Alloy
Sp. Alloy-10
Best
Superior
UHB-19VA
K760
Nitro
Alva Extra*
Granada Vanadium
GS1
GS3V
GS5V
KSS
Cryodur2833
Best Va Tool
JanusV
Sterling-V
Silvan Star
GKS
Extra-Edel10S
Lukens W2
KTS
V1
Carbon-Vanadium
Renown
OC100ES
OC100EX
Aldo W2*
Aldos W2
KP
KM20V
Ezh Special
MSV
Red Label V
Diamond SV
Colonial No. 7
Thyrodur2833
Thyrodur2833
TZ100
Standard Draco
Special Draco
VETD
Weld Mold 925
VK4Extra
Zivco Vanadium";Fe;0,85-1,50;0,15;0,1;0,15-0,35;0,15;0;0,2;0,10-0,40;0,10-0,40;0,025;0,025;0,2;0;0;;;US
"Aldo W2*W2*
100V1*
1.2833
100V1*
SKS43*
SKS44
105MV01*
Y120V
Y105V
Y105C
Y100C2
Y105
BW2*
V*
19356*
C.1941*
C.1942
T72302
C98KU*
102V2KU
Carb-Van
Python
Lion Vanadium
Atlas Spec.Alloy
Sp. Alloy-10
Best
Superior
UHB-19VA
K760
Nitro
Alva Extra*
Granada Vanadium
GS1
GS3V
GS5V
KSS
Cryodur2833
Best Va Tool
JanusV
Sterling-V
Silvan Star
GKS
Extra-Edel10S
Lukens W2
KTS
V1
Carbon-Vanadium
Renown
OC100ES
OC100EX
Aldos W2
KP
KM20V
Ezh Special
MSV
Red Label V
Diamond SV
Colonial No. 7
Thyrodur2833
Thyrodur2833
TZ100
Standard Draco
Special Draco
VETD
Weld Mold 925
VK4Extra
Zivco Vanadium";Fe;0,916;0,069;0;0,165;0;0;0;0,215;0,295;?;?;0;0;0;;New Jersey Steel Baron;US
