;;;;;ХИМИЧЕСКИЙ СОСТАВ, %;;;;;;;;
Bohler;Uddeholm;Buderus;EN;Метод производства;C;Si;Mn;Cr;Mo;Ni;V;W;проч
;;HWS Supreme;;Стандартный с высокой очиской ;0,31;0,30;0,25;5,00;1,75;0,30;1,05;;
W303 ISODISC;;ExStahl SuperClean;1.2367;Стандартный с высокой очиской ;0,38;0,40;0,40;5,00;2,80;;0,55;;
;FORMVAR (DIEVAR);;~1.2367;Стандартный с высокой очиской ;0,35;0,21;0,50;5,00;2,30;0,04;0,53;;
;DIEVAR;;~1.2367;ЭШП;0,35;0,20;0,50;5,00;2,30;;0,60;;
W403 VMR;;;~1.2367;ВДП;0,38;0,20;0,25;5,00;2,80;;0,65;;
;UNIMAX;;;ЭШП;0,50;0,20;0,50;5,00;2,30;;0,50;;
W360 ISOBLOC;;HWR MAX;;ЭШП;0,50;0,20;0,30;5,00;3,00;;0,55;;
W100;;;1.2581;Стандартный;0,29;0,25;0,30;2,70;;;0,35;8,50;
K700;;;1.3401;"Стандартный
Закалка на тв. Раств + наклеп";1,2;0,4;12,5;;;;;;
;SR 1855;;1.2108;Стандартный;1,0;1,5;0,8;1,0;;;;;
К245;;;1.2101;Стандартный;0,63;1,1;1,1;0,6;;;;;
K455;;2550;1.2550;Стандартный;0,63;0,6;0,3;1,1;;;0,18;2,0;
K600;;;1.2767;Стандартный;0,48;0,25;0,4;1,3;0,25;4,0;;;
K605;;;~1.2721;Стандартный;0,55;0,3;0,4;1,0;0,25;3,0;;;
;CALMAX / CARMO;;1.2358;Стандартный;0,6;0,35;0,8;4,5;0,5;;0,2;;
К329;CHIPPER, VIKING;;~1.2631;Стандартный;0,52;0,95;0,4;8,0;1,4;;0,45;;
K720;;2842;1.2842;Стандартный;0,9;0,25;2,0;0,35;;;0,1;;
K460;ARNE;2510;1.2510;Стандартный;0,95;0,3;1,1;0,6;;;0,1;0,6;
K305;RIGOR;2363 ISO-B;1.2363;Стандартный;1,0;0,3;0,6;5,3;1,1;;0,2;;
K100;;2080;1.2080;Стандартный;2,0;0,3;0,4;11,5;;;;;
К105;;2601;1.2601;Стандартный;1,6;0,35;0,3;11,5;0,6;;0,3;0,5;
К107;SVERKER 3;2436 ISO-B;1.2436;Стандартный;2,1;0,3;0,6;12;;;;1;
К110;SVERKER 21;2379 ISO-B;1.2379;Стандартный;1,55;0,3;0,4;11,5;0,8;;0,8;;
;CALDIE;;;ЭШП;0,7;0,2;0,5;5,0;2,3;;0,5;;
K353;;;;Стандартный;0,82;0,7;0,3;8,0;1,6;;0,6;;+Al
;SLEIPNER;;;Стандартный;0,9;0,9;0,5;7,8;2,5;;0,45;;
K340 ISODUR;;;;ЭШП;1,1;0,9;0,4;8,3;2,1;;0,5;;+Al, Nb
K360 ISODUR;;;;ЭШП;1,25;0,9;0,35;8,75;2,7;;1,18;;+Al, Nb
K890 Microclean;;;;Порошк. металл.;0,85;0,55;0,4;4,35;2,8;;2,1;2,55;Co=4,5
K490 Microclean;;;;Порошк. металл.;1,4;;;6,4;1,5;;3,7;3,5;+Nb
;VANADIS 4 Extra;;;Порошк. металл.;1,4;0,4;0,4;4,7;3,5;;3,7;;
;VANADIS 8;;;Порошк. металл.;2,3;0,4;0,4;4,8;3,6;;8,0;;
K390 Microclean;;;;Порошк. металл.;2,47;0,55;0,4;4,2;3,8;0,2;9,0;1,0;Co=2,0
;VANCRON SUPERCLEAN;;;Порошк. металл.;1,3;0,5;0,4;4,5;1,8;;10,0;3,7;N=1,8
S404;;;1.3326;Стандартный;0,9;0,3;0,30;4,1;4,5;;1,9;1,2;
S600;;;1.3343;Стандартный;0,9;0,45;0,4;4,1;5,0;;1,8;6,2;
S630;;;~1.3343;Стандартный;1,0;0,45;0,4;4,0;4,0;;2,0;4,0;Al=0,5
S705;;;1.3243;Стандартный;0,92;0,4;0,3;4,1;5,0;;1,9;6,2;Co=4,8
