Grade (Latin);Grade (Cyrillic)
R0M2SF10-MP;Р0М2СФ10-МР
R10F5K5*;Р10Ф5К5*
R10M4F3K10;Р10М4Ф3К10
R10M4F3K10-MP;Р10М4Ф3К10-МР
R10M5F5K8-MP*;Р10М5Ф5К8-МР*
R12*;Р12*
R12F3;Р12Ф3
R12F4K5*;Р12Ф4К5*
R12F4K5-MP;Р12Ф4К5-МР
R12F5K5;Р12Ф5К5
R12F5K5-MP*;Р12Ф5К5-МР*
R12M3K5F2-MP*;Р12М3К5Ф2-МР*
R12M6F5-MP*;Р12М6Ф5-МР*
R12MF5-MP*;Р12МФ5-МР*
R13F4K5*;Р13Ф4К5*
R14F4*;Р14Ф4*
R18*;Р18*
R18-MP;Р18-МР
R18F2*;Р18Ф2*
R18F2K5*;Р18Ф2К5*
R18K5F2*;Р18К5Ф2*
R2AM9K5*;Р2АМ9К5*
R2M10K8F*;Р2М10К8Ф*
R2M10K8F-MP;Р2М10К8Ф-МР
R2M5*;Р2М5*
R2M9*;Р2М9*
R6AM5*;Р6АМ5*
R6AM5F3*;Р6АМ5Ф3*
R6M3*;Р6М3*
R6M4F2L*;Р6М4Ф2Л*
R6M5*;Р6М5*
R6M5F3*;Р6М5Ф3*
R6M5F3-MP*;Р6М5Ф3-МР*
R6M5F3K8*;Р6М5Ф3К8*
R6M5F3K8-MP;Р6М5Ф3К8-МР
R6M5F4*;Р6М5Ф4*
R6M5K5*;Р6М5К5*
R6M5K5-MP*;Р6М5К5-МР*
R7M2F6-MP*;Р7М2Ф6-МР*
R9*;Р9*
R9F5*;Р9Ф5*
R9K10*;Р9К10*
R9K5;Р9К5
R9M4K8*;Р9М4К8*
R9M4K8-MP*;Р9М4К8-МР*
SHH15;ШН15
SHH20SG;ШН20СГ
SHKH15*;ШХ15*
SHKH15SG*;ШХ15СГ*
SHKH20SG*;ШХ20СГ*
SHKH4*;ШХ4*
U10*;У10*
U10-1;У10-1
U10A*;У10А*
U10A-1;У10А-1
U10A-2;У10А-2
U11*;У11*
U11A*;У11А*
U12;У12
U12A-1;У12А-1
U12A-2;У12А-2
U13*;У13*
U13-1;У13-1
U13A-1;У13А-1
U13A-2;У13А-2
U7*;У7*
U7A;У7А
U8*;У8*
U8-1;У8-1
U8A-1;У8А-1
U8A-2;У8А-2
U8GA;У8ГА
U8GA-1*;У8ГА-1*
U9;У9
U9A*;У9А*
V1*;В1*
V2F*;В2Ф*
X;Х
X12*;Х12*
X12F1;Х12Ф1
X12MF*;Х12МФ*
X12VM*;Х12ВМ*
X12VMF*;Х12ВМФ*
X1F;Х1Ф
X6F4M;Х6Ф4М
X6VF;Х6ВФ
XB4;ХВ4
XBCG;ХВСГ
XBCGF;ХВСГФ
XBG*;ХВГ*
XGS;ХГС
XV4F;ХВ4Ф
XV5;ХВ5
XVG;ХВГ
XVSG;ХВСГ
Y11;У11
Y13;У13
