link,title,maker,country,cc,country_raw
https://zknives.com/knives/steels/rm13h.shtml,"Kind &amp; Co RM13H Knife SteelComposition Analysis Graph, Equivalents And Overview",Kind &amp; Co,Германия,DE,Germany(DE)
https://zknives.com/knives/steels/rm42.shtml,"GSB Acero RM42 Knife SteelComposition Analysis Graph, Equivalents And Overview",GSB Acero,Испания,ES,Spain(ES)
https://zknives.com/knives/steels/rmo-co5.shtml,"GSB Acero RMO-Co5 Knife SteelComposition Analysis Graph, Equivalents And Overview",GSB Acero,Испания,ES,Spain(ES)
https://zknives.com/knives/steels/rmo.shtml,"GSB Acero RMO Knife SteelComposition Analysis Graph, Equivalents And Overview",GSB Acero,Испания,ES,Spain(ES)
https://zknives.com/knives/steels/rn15x.shtml,"Dorrenberg RN15X Knife SteelComposition Analysis Graph, Equivalents And Overview",Dorrenberg,Германия,DE,Germany(DE)
https://zknives.com/knives/steels/ro189.shtml,"Bofors RO189 Knife SteelComposition Analysis Graph, Equivalents And Overview",Bofors,Швеция,SE,Sweden(SE)
https://zknives.com/knives/steels/ro4154.shtml,"Bofors RO4154 Knife SteelComposition Analysis Graph, Equivalents And Overview",Bofors,Швеция,SE,Sweden(SE)
https://zknives.com/knives/steels/ro653.shtml,"Bofors RO653 Knife SteelComposition Analysis Graph, Equivalents And Overview",Bofors,Швеция,SE,Sweden(SE)
https://zknives.com/knives/steels/ro952.shtml,"Bofors RO952 Knife SteelComposition Analysis Graph, Equivalents And Overview",Bofors,Швеция,SE,Sweden(SE)
https://zknives.com/knives/steels/robert_mushet_special_steel_(rms).shtml,"Mushet Robert Mushet Special Steel (RMS) Knife SteelComposition Analysis Graph, Equivalents And Overview",Mushet,Великобритания,UK,United Kingdom(UK)
https://zknives.com/knives/steels/roltec.shtml,"Bohler-Uddeholm Roltec Knife SteelComposition Analysis Graph, Equivalents And Overview",Bohler-Uddeholm,Швеция,SE,Sweden(SE)
https://zknives.com/knives/steels/rp1.shtml,"STAS RP1 Knife SteelComposition Analysis Graph, Equivalents And Overview",STAS,Romania,RO,Romania(RO)
https://zknives.com/knives/steels/rp3.shtml,"STAS RP3 Knife SteelComposition Analysis Graph, Equivalents And Overview",STAS,Romania,RO,Romania(RO)
https://zknives.com/knives/steels/rp5.shtml,"STAS RP5 Knife SteelComposition Analysis Graph, Equivalents And Overview",STAS,Romania,RO,Romania(RO)
https://zknives.com/knives/steels/rp9.shtml,"STAS RP9 Knife SteelComposition Analysis Graph, Equivalents And Overview",STAS,Romania,RO,Romania(RO)
https://zknives.com/knives/steels/rpc0.shtml,"Kind &amp; Co RPC0 Knife SteelComposition Analysis Graph, Equivalents And Overview",Kind &amp; Co,Германия,DE,Germany(DE)
https://zknives.com/knives/steels/rpmoh.shtml,"Kind &amp; Co RPMoH Knife SteelComposition Analysis Graph, Equivalents And Overview",Kind &amp; Co,Германия,DE,Germany(DE)
https://zknives.com/knives/steels/rs30.shtml,"Masahiro RS30 Knife SteelComposition Analysis Graph, Equivalents And Overview",Masahiro,Япония,JP,Japan(JP)
https://zknives.com/knives/steels/rs11.shtml,"Hover&amp;Sohn RS11 Knife SteelComposition Analysis Graph, Equivalents And Overview",Hover&amp;Sohn,Германия,DE,Germany(DE)
https://zknives.com/knives/steels/rtc14.shtml,"Secosar RTC14 Knife SteelComposition Analysis Graph, Equivalents And Overview",Secosar,Франция,FR,France(FR)
https://zknives.com/knives/steels/ruetom_special.shtml,"Precision Marshall Ruetom Special Knife SteelComposition Analysis Graph, Equivalents And Overview",Precision Marshall,США,US,United States(US)
https://zknives.com/knives/steels/rts.shtml,"Allegheny Technologies RTS Knife SteelComposition Analysis Graph, Equivalents And Overview",Allegheny Technologies,США,US,United States(US)
https://zknives.com/knives/steels/rul1.shtml,"STAS RUL1 Knife SteelComposition Analysis Graph, Equivalents And Overview",STAS,Romania,RO,Romania(RO)
https://zknives.com/knives/steels/rus-3.shtml,"Rochling RUS-3 Knife SteelComposition Analysis Graph, Equivalents And Overview",Rochling,Германия,DE,Germany(DE)
