grade,analogues,base,c,cr,mo,v,w,co,ni,mn,si,s,p,cu,nb,n,other,tech,standard,manufacturer,link
АНВ-300,,Fe,0-0.1,14-17,,,7-10,,64.2-70.1,0-0.5,0-0.5,0-0.01,0-0.015,,,,Ti 1.4-2; Al 4.5-5.5; B 0-0.1; Ni - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3284
В3К,,Fe,1-1.3,28-32,,,4-5,54.8-65,0-2,,2-2.75,0-0.07,,,,,Fe 0-2; Co - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3282
ВЖЛ1,,Fe,0.1-0.17,15-17,3.5-5,,2-2.5,,59.5-66.1,0-0.3,1.2-2,0-0.02,0-0.02,,,,Fe 6-7.5; Ti 2-3; Al 2-2.8; B 0.09-0.13; Ni - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3279
ВЖЛ12У,,Fe,0.14-0.2,8.5-10.5,2.7-3.4,0.5-1,1-1.8,12-15,53.8-63.46,0-0.4,0-0.4,0-0.015,0-0.015,,0.5-1,,Fe 0-2; CE 0-0.02; Ti 4.2-4.7; Al 5-5.7; Zr 0-0.02; B 0-0.015; Pb 0-0.001; BI 0-0.0005; Ni - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3272
ВЖЛ12Э,,Fe,0.12-0.2,8.5-10,2.7-3.4,0.5-1,1-1.8,8-10,59.3-68,0-0.4,0-0.4,0-0.015,0-0.015,,0.5-1,,Fe 0-2; CE 0-0.015; Ti 4.2-4.7; Al 5-5.7; Zr 0-0.02; B 0-0.015; Pb 0-0.001; BI 0-0.0005; LA 0-0.01; Ni - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3273
ВЖЛ14,,Fe,0.05-0.08,18-20,4.5-5.5,,,,59.1-63.7,0-0.4,0-0.4,0-0.01,0-0.01,,,,Fe 8-10; CE 0-0.02; Ti 2.6-2.9; Al 1.2-1.5; B 0-0.005; Ni - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3287
ВЖЛ14Н,,Fe,0.03-0.08,18-20,4-5,,,,56.8-62.5,0-0.4,0-0.4,0-0.015,0-0.015,,1.8-2.8,,Fe 8-10; CE 0-0.025; Ti 2.5-2.9; Al 1.2-1.5; B 0-0.005; Ni - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3274
ВЖЛ18,,Fe,0.1-0.15,17-18,4.5-6,,2.5-4,4-6,55.1-64.1,0-0.4,0-0.4,0-0.015,0-0.015,,1.2-1.8,,Fe 0-1; CE 0-0.02; Ti 2.2-3; Al 3.4-4; Zr 0-0.02; B 0-0.06; Pb 0-0.001; BI 0-0.0005; Ni - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3275
ВЖЛ2,,Fe,0.11-0.17,12-15,12-15,,8-10,,48-58.2,,1-2,0-0.02,0-0.02,,,,Fe 2-3.5; Ti 2-3.2; Al 1.5-3; B 0-0.065; Ni - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3271
ВЖЛ8,,Fe,0.1-0.2,14-17,4.5-6,,,,57.4-66.1,0-0.6,0-0.6,0-0.015,0-0.02,,,,Fe 8-12; CE 0-0.01; Ti 1.8-2.5; Al 2.5-3.5; B 0-0.06; Ni - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3286
ВХ4Л,,Fe,0.03-0.1,32-35,2.3-3.5,,4.3-5.5,,51.1-56.3,,0-0.3,0-0.01,,,0.7-1.3,,Fe 0-0.5; CE 0-0.03; Ti 0.7-1.3; Al 0.7-1.3; B 0-0.008; Ca 0-0.02; Y 0-0.04; Ni - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3276
ВХ9Л,,Fe,0.02-0.1,30-35,2.9-3.5,,4.7-5.3,0.2-0.8,44.1-54.8,0-0.5,0-0.4,0-0.01,0-0.015,,0.7-1.3,,Fe 0-6; Ti 0.7-1.3; Al 1-1.6; B 0-0.005; Ca 0-0.02; Y 0-0.04; Ni - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3277
ЖС16,,Fe,0.08-0.14,4.6-5.2,,,15.3-16.5,6-8,58.9-65.5,0-0.4,0-0.2,0-0.015,0-0.015,,1.6-2.1,,Fe 0-1; CE 0-0.02; Ti 0.7-1.2; Al 5.6-6.2; Zr 0-0.02; B 0-0.02; Pb 0-0.001; BI 0-0.0005; LA 0-0.02; HF 0.7-1.2; Ni - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3268
ЖС3,,Fe,0.11-0.16,14-18,3-4.5,0-0.3,4.5-6.5,,56.8-71.1,0-0.6,0-0.6,0-0.009,0-0.015,,,,Fe 0-8; Ti 1.6-2.3; Al 1.6-2.2; B 0.005-0.01; Ni - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3266
ЖС30,,Fe,0.11-0.2,5-9,0.4-1,,11-12.6,7.5-9.5,56.2-65.4,0-0.4,0-0.4,0-0.01,0-0.015,,0.4-1.4,,Fe 0-1; CE 0-0.015; Ti 1.4-2.3; Al 4.8-5.8; Zr 0-0.02; B 0-0.02; Ca 0-0.005; LA 0-0.005; Y 0-0.03; HF 0.3-1.2; Ni - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3270
ЖС3ДК,,Fe,0.06-0.11,11-12.5,3.8-4.5,,3.8-4.5,8-10,57.5-65.3,0-0.4,0-0.4,0-0.01,0-0.015,,,,Fe 0-2; CE 0-0.02; Ti 2.5-3.2; Al 4-4.8; B 0-0.02; Ni - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3267
ЖС3ЛС,,Fe,0.05-0.12,15-18,3-4.5,,3-4.5,4-5,58.6-67.1,0-0.6,0-0.6,0-0.015,0-0.015,,,,Fe 0-2; CE 0-0.015; Ti 2.4-3; Al 2.4-3; Zr 0-0.015; B 0-0.015; Ni - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3280
ЖС6К,,Fe,0.13-0.2,9.5-12,3.5-4.5,,4.5-5.5,4-5.5,60.1-68.4,0-0.4,0-0.4,0-0.015,0-0.015,,,,Fe 0-2; CE 0-0.025; Ti 2.5-3.2; Al 5-6; Zr 0-0.04; B 0-0.02; Pb 0-0.001; BI 0-0.0005; Ni - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3278
ЖС6У,,Fe,0.13-0.2,8-9.5,1.2-2.4,,9.5-11,9-10.5,54.3-62.7,0-0.4,0-0.4,0-0.01,0-0.015,,0.8-1.2,,Fe 0-1; CE 0-0.02; Ti 2-2.9; Al 5.1-6; Zr 0-0.04; B 0-0.035; Pb 0-0.001; BI 0-0.0005; Y 0-0.01; Ni - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3269
Л114,,Fe,0.15-0.3,10-12,3-4,,3-4,10-12,55.5-64.2,0-0.4,0-0.4,0-0.01,0-0.015,,,,Fe 0-1.5; CE 0-0.01; Ti 2.2-3; Al 5.5-6.8; B 0-0.04; Ni - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3285
ЛК4,,Fe,0.15-0.25,25-28,4.5-5.5,,0-0.5,58,3-3.75,0-0.6,0-0.5,0-0.025,0-0.025,,,,Fe 0-1.5,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3283
10Х15Н35В3ТЮ,,Fe,0-0.1,14-16,,,3-4,,34-38,1-2,0-0.5,0-0.03,0-0.03,,,,Fe 36.83-45.6; Ti 0.7-1; Al 1.7-1.5; B 0-0.01,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=999
ВХН1,,Fe,1-1.25,35-40,,,,,50-60,0-0.5,2-2.75,0-0.07,0-0.03,,,,Fe 0-5,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3295
ХН28ВМАБ,,Fe,0-0.1,19-22,2.8-3.5,,4.8-6,,25-30,0-1.5,0-0.6,0-0.02,0-0.02,,0.7-1.3,0.15-0.3,Fe 34.655-47.55; B 0-0.005,,"ГОСТ 5632-72, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=755
ХН32Т,N08825 UNSNo8800 UNSNo8810 X10NiCrAlTi32-20 X2NiCrAiTi32-20 X5NiCrAlTi31-20 X8NiCrAlTi32-21 NCF2HTF NCF800 NCF800TB Z10NC32-21 Z8NC33-21 NA15 NA15H X10NiCrAlTi32-21 X3CrMnNiN18-8-7 10TiAlCrNi320,Fe,0-0.05,19-22,,,,,30-34,0-0.7,0-0.7,0-0.02,0-0.03,,,,Fe 41.4-50.75; Ti 0.25-0.6; Al 0-0.5,,"ГОСТ 5632-72, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=67
ХН33БС,,Fe,0.3-0.4,20-23,0-0.25,0.0005-0.15,0.05-0.2,0-0.1,30-33,0.8-1.45,0.45-0.95,0-0.02,0-0.025,0-0.2,1-1.7,,CE 0.07-0.11; Ti 0.0005-0.15; Al 0.0005-0.1; As 0-0.01; Pb 0-0.01; Zn 0-0.01; Sn 0-0.01; Fe - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3116
ХН35ВТ,17335,Fe,0-0.12,14-16,,,2.8-3.5,,34-38,1-2,0-0.6,0-0.02,0-0.03,,,,Fe 38.23-47.1; Ti 1.1-1.5,,"ГОСТ 5632-72, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=68
ХН35ВТР,,Fe,0-0.1,14-16,,,4-5,,35-38,0-1,0-0.6,0-0.02,0-0.03,,,,Fe 37.725-45.9; Ti 1.1-1.5; SE 0-0.025,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1000
ХН35ВТЮ,,Fe,0-0.08,14-16,,,2.5-3.5,,33-37,0-0.6,0-0.6,0-0.02,0-0.035,,,,Fe 37.545-47.4; Ti 2.4-3.2; Al 0.7-1.4; B 0-0.02,,"ГОСТ 5632-72, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=69
ХН38ВБ,,Fe,0.06-0.12,20-23,,,2.8-3.5,,35-39,0-0.7,0-0.8,0-0.02,0-0.03,,1.2-1.7,,Fe 30.58-40.94; CE 0-0.05; Al 0-0.5,,"ГОСТ 5632-72, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=947
ХН38ВТ,N08825 NiCr21Mo,Fe,0.06-0.12,20-23,,,2.8-3.5,,35-39,0-0.7,0-0.8,0-0.02,0-0.03,,,,Fe 31.08-41.44; CE 0-0.05; Ti 0.7-1.2; Al 0-0.5,,"ГОСТ 5632-72, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=754
ХН45Ю,,Fe,0-0.1,15-17,,,,,44-46,0-1,0-1,0-0.02,0-0.025,,,,Fe 30.825-38.1; CE 0-0.03; Al 2.9-3.9; BA 0-0.1,,"ГОСТ 5632-72, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=74
ХН51ВМТЮКФР-ВД,,Fe,0-0.08,9-12,5-8,0.2-0.8,5-7,14-16,44.3-57.7,0-0.5,0-0.5,0-0.009,0-0.015,0-0.07,,,Fe 0-3; Ti 2.2-2.9; Al 3.9-4.8; B 0-0.02,,"ГОСТ 23705-79, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2565
ХН55ВМТКЮ,,Fe,0.04-0.1,9-12,4-6,0.2-0.8,4.5-6.5,12-16,,0-0.5,0-0.5,0-0.01,0-0.015,,,,Ti 1.4-2; Al 3.6-4.5; B 0-0.02,,"ГОСТ 5632-72, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=957
ХН55МВЮ,,Fe,0-0.08,9-11,5-6.5,,4.5-5.5,,51.075-60.3,0-0.4,0-0.4,0-0.01,0-0.015,,,,Fe 17-20; CE 0-0.01; Al 4.2-5; B 0-0.01,,"ГОСТ 5632-72, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=952
ХН56ВМКЮ,,Fe,0-0.1,8.5-10.5,6.5-8,,6-7.5,11-13,52.234-62.6,0-0.3,0-0.6,0-0.011,0-0.015,,,,Fe 0-1.5; CE 0-0.02; Al 5.4-6.2; B 0-0.02,,"ГОСТ 5632-72, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=78
ХН56ВМТЮ,,Fe,0-0.1,19-22,4-6,,9-11,,52.102-64.8,0-0.5,0-0.06,0-0.015,0-0.015,,,,Fe 0-4; Ti 1.1-1.6; Al 2.1-2.6; B 0-0.008,,"ГОСТ 5632-72, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=79
ХН57МТВЮ,,Fe,0-0.07,17-19,8.5-10,,1.5-2.5,,53.09-61.8,0-0.5,0-0.5,0-0.01,0-0.015,,,,Fe 8-10; CE 0-0.01; Ti 2.2-2.8; Al 1-1.5; B 0-0.005,,"ГОСТ 5632-72, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=951
ХН58ВМКЮР-ВД,,Fe,0-0.08,7.5-9,3-5.5,,6-8,13.5-16,52.88-62.4,0-0.3,0-0.4,0-0.01,0-0.015,0-0.07,,,Fe 0-1; CE 0-0.02; Al 6.1-6.7; B 0-0.02,,"ГОСТ 23705-79, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2563
ХН60ВТ,,Fe,0-0.1,23.5-26.5,,,13-16,,50.874-63.2,0-0.5,0-0.8,0-0.013,0-0.013,,,,Fe 0-4; Ti 0.3-0.7; Al 0-0.5,,"ГОСТ 5632-72, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=812
ХН60МЮВТ-ВД,,Fe,0.04-0.09,17-19,5-7,,2.5-4,,57.77-68.46,0-0.5,0-0.5,0-0.01,0-0.015,0-0.07,,,Fe 0-4; CE 0-0.02; Ti 2-3; Al 3-4; B 0-0.02,,"ГОСТ 23705-79, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2564
ХН60Ю,,Fe,0-0.1,15-18,,,,,55-58,0-0.3,0-0.8,0-0.02,0-0.02,,,,Fe 19.13-27.4; CE 0-0.03; Al 2.6-3.5; BA 0-0.1,,"ГОСТ 5632-72, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=756
ХН62МВКЮ,,Fe,0-0.1,8.5-10.5,9-11.5,,4.3-6,4-6,56.034-70,0-0.3,0-0.6,0-0.011,0-0.015,,,,Fe 0-4; CE 0-0.02; Al 4.2-4.9; B 0-0.02,,"ГОСТ 5632-72, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=953
ХН65ВМТЮ,,Fe,0-0.07,15-17,3.5-4.5,,8.5-10,,60.968-70.6,0-0.6,0-0.6,0-0.012,0-0.015,,,,Fe 0-3; CE 0-0.025; Ti 1.2-1.6; Al 1.2-1.6; B 0-0.01,,"ГОСТ 5632-72, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=77
ХН67МВТЮ,,Fe,0-0.08,17-20,4-5,,4-5,,60.48-68.8,0-0.5,0-0.6,0-0.01,0-0.015,,,,Fe 0-4; CE 0-0.01; Ti 2.2-2.8; Al 1-1.5; B 0-0.01,,"ГОСТ 5632-72, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2390
ХН70ВМТЮ,,Fe,0-0.12,13-16,2-4,0.1-0.5,5-7,,61.5-76.4,0-0.5,0-0.7,0-0.02,0-0.02,,,,Fe 0-5; CE 0-0.02; Ti 1.8-2.3; Al 1.7-2.3; B 0-0.02,,"ГОСТ 5632-72, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=835
ХН70ВМТЮФ,,Fe,0-0.12,13-16,2.5-4,0.2-1,5-7,,60.621-75.2,0-0.5,0-0.6,0-0.009,0-0.015,,,,Fe 0-5; CE 0-0.02; Ti 1.7-2.2; Al 2.4-2.9; B 0-0.015,,"ГОСТ 5632-72, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=76
ХН70ВМЮТ,,Fe,0.01-0.16,14-16,3-5,,4-6,,65.02-76.29,0-0.5,0-0.6,0-0.02,0-0.02,0-0.07,,,Fe 0-3; Ti 1-1.4; Al 1.7-2.2; B 0-0.01,,"ГОСТ 5632-72, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=75
ХН70МВТЮБ,,Fe,0-0.12,16-19,4-6,,2-3.5,,59.425-74.6,0-0.5,0-0.6,0-0.01,0-0.015,,0.5-1.3,,Fe 0-5; CE 0-0.02; Ti 1.9-2.8; Al 1-1.7; B 0-0.01,,"ГОСТ 5632-72, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=950
ХН70Ю,2.4872 NiCr20AlSi,Fe,0-0.1,26-29,,,,,65.073-71.2,0-0.3,0-0.8,0-0.012,0-0.015,0-0.07,,,Fe 0-1; CE 0-0.03; Al 2.8-3.5; BA 0-0.1,,"ГОСТ 5632-72, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=72
ХН75ВМЮ,,Fe,0-0.12,9-11,5-6.5,0-0.7,4.5-5.5,,65.725-77.49,0-0.4,0-0.4,0-0.01,0-0.015,,,,Fe 0-5; CE 0-0.01; Al 4-4.6; B 0.01-0.02,,"ГОСТ 5632-72, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=954
ХН75МБТЮ,,Fe,0-0.1,19-22,1.8-2.3,,,,68.568-77.6,0-0.4,0-0.8,0-0.012,0-0.02,,0.9-1.3,,Fe 0-3; Ti 0.35-0.75; Al 0.35-0.75,,"ГОСТ 5632-72, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=757
ХН77ТЮ,,Fe,0-0.07,19-22,,,,,70.083-77.4,0-0.4,0-0.6,0-0.007,0-0.015,,,,Fe 0-1; CE 0-0.02; Ti 2.4-2.8; Al 0.6-1; B 0-0.003; Pb 0-0.001,,"ГОСТ 5632-72, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2054
ХН77ТЮР,2.4952 NiCr20TiAl NCF80A,Fe,0-0.07,19-22,,,,,70.076-77.4,0-0.4,0-0.6,0-0.007,0-0.015,,,,Fe 0-1; CE 0-0.02; Ti 2.4-2.8; Al 0.6-1; B 0-0.01; Pb 0-0.001,,"ГОСТ 5632-72, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=70
ХН77ТЮРУ,,Fe,0.04-0.08,19-22,,,,,71.967-77.66,0-0.4,0-0.6,0-0.007,0-0.015,,,,Fe 0-1; CE 0-0.02; Ti 2.6-2.9; Al 0.7-1; B 0-0.01; Pb 0-0.001,,"ГОСТ 5632-72, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=956
ХН78Т,N06025 2.4951 NiCr20Ti GH3030,Fe,0-0.12,19-22,,,,,70.003-80.85,0-0.7,0-0.8,0-0.012,0-0.015,,,,Fe 0-6; Ti 0.15-0.35,,"ГОСТ 5632-72, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=73
ХН80ТБЮ,UNS07750 NCF750,Fe,0-0.08,15-18,,,,,72.293-81.7,0-1,0-0.8,0-0.012,0-0.015,,1-1.5,,Fe 0-3; Ti 1.8-2.3; Al 0.5-1,,"ГОСТ 5632-72, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=71
ЭП975-ИД,,Fe,0.1-0.16,7.5-9,0.8-1.5,,9.5-11,14.1-17,49.11-58.5,0-0.4,0-0.4,0-0.01,0-0.015,,1-2,,Fe 0-1; CE 0-0.03; Ti 2-2.7; Al 4.5-5.1; Zr 0-0.04; B 0-0.035; всего 0.5; Ni - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3031
12МХ,11562 11564 13CrMo4-4 13CrMo4-5 STPA20 STPA22 15CD3.5 620-440 2216,Fe,0.09-0.16,0.4-0.7,0.4-0.6,0-0.05,0-0.2,,0-0.3,0.4-0.7,0.17-0.37,0-0.025,0-0.03,0-0.2,,,Ti 0-0.03,,"ГОСТ 20072-74, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=340
12Х1МФ,1.7715 14MoV6-3 1503-660-440 13MoCrV6,Fe,0.1-0.15,0.9-1.2,0.25-0.35,0.15-0.3,,,0-0.3,0.4-0.7,0.17-0.37,0-0.025,0-0.03,0-0.2,,,,,"ГОСТ 20072-74, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3
12Х1МФ-ПВ,,Fe,0.11-0.15,0.9-1.2,0.25-0.35,0.15-0.3,,,0-0.15,0.4-0.7,0.17-0.37,0-0.015,0-0.015,0-0.15,,,,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3084
12Х2МФБ,,Fe,0.08-0.12,2.1-2.6,0.5-0.7,0.2-0.35,,,0-0.25,0.4-0.7,0.4-0.7,0-0.025,0-0.025,0-0.25,0.5-0.8,,,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=6
12Х2МФСР,,Fe,0.08-0.15,1.6-1.9,0.5-0.7,0.2-0.35,,,0-0.25,0.4-0.7,0.4-0.7,0-0.025,0-0.025,0-0.25,,,B 0.002-0.005,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=5
12ХМ,A182 A387Gr.12Cl.2 Gr.P12 K11562 K11572 K11597 K11757 K12062 1.7335 13CrMo4 13CrMo4-5 13CrMo44 SFVA12 SFVAF12 STBA20 STBA22 STFA22 STPA20 STPA22 14CrMo4-5 15CD3.5 15CD4.05 15CD4.5 1501-620 1501-621 620-440 620-470 620-540 14CrMo3 16CrMo3 14CrMo45 F.2613 F.2631 12CrMo 12CrMoG 2216 14ChM 15ChM KL9 15HM 14CrMo4 15121 13CrMo4-4KW STHA20 STHA22,Fe,0-0.16,0.8-1.1,0.4-0.55,,,,0-0.3,0.4-0.7,0.17-0.37,0-0.025,0-0.025,,,,,,"ГОСТ 5520-79, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=52
15Х1М1Ф,15CrMoV5-10 15CrMoV5-9,Fe,0.1-0.16,1.1-1.4,0.9-1.1,0.2-0.25,,,0-0.25,0.4-0.7,0.17-0.37,0-0.025,0-0.025,0-0.25,,,,,"ГОСТ 8479-70, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=4
15Х2М2ФБС,,Fe,0.13-0.18,1.8-2.3,1.2-1.5,0.25-0.4,,,0-0.3,0.5-0.8,0.7-1,0-0.03,0-0.03,0-0.3,0.08-0.15,,,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=992
15Х5,,Fe,0-0.15,4.5-6,,,,,0-0.6,0-0.5,0-0.5,0-0.025,0-0.03,,,,,,"ГОСТ 20072-74, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=806
15Х5ВФ,,Fe,0-0.15,4.5-6,,0.4-0.6,0.4-0.7,,0-0.6,0-0.5,0.3-0.6,0-0.025,0-0.03,,,,,,"ГОСТ 20072-74, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=814
15Х5М,501 502 K41545 S50100 S50200 T12005 T51605 1.7362 12CrMo19-5 T5 X12CrMo5 SFVAB5A STBA25 STC48 STFA25 STPA25 710CD5-05 Z15CD5-05 Z20CD5 5CrMo16 A16CrMo25-5KG A16CrMo25-5KW 10MoCr50 12CrMo20-5 H5M 17102,Fe,0-0.15,4.5-6,0.45-0.6,0-0.05,0-0.3,,0-0.6,0-0.5,0-0.5,0-0.025,0-0.03,0-0.2,,,Ti 0-0.03,,"ГОСТ 20072-74, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=334
15Х6СЮ,1.4713 X10CrAlSi7 Z8CA7 X7AL 17113,Fe,0-0.15,5.5-7,,,,,,0-0.5,1.2-1.8,0-0.025,0-0.03,,,,Al 0.7-1.1,,"ГОСТ 5632-72, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=808
15ХМ,A387Gr.12Cl.2 K11562 K11564 K11572 K11597 K11757 K11789 K12062 1.7262 1.7335 1.7337 13CrMo4-4 13CrMo4-5 15CrMo5 16CrMo4-4 SCM415 SCM415H SFVAF12 STBA20 STBA22 STFA22 STPA20 STPA22 12CD4 14CrMo4-5 15CD3.5 15CD4.05 15CD4.5 1501-620 1501-621 620-440 620-470 620-540 14CrMo3 16CrMo3 18CrMo45KG 18CrMo45KW A18CrMo4-5KW B18CrMo4-5KG 14CrMo45 12CrMo4 F.2631 12CrMo 12CrMoG 15CrMo 15CrMog 15CrMoR 2216 14ChM 15ChM KL9 15HM 14CrMo4 15121 13CrMo4-4KW STHA20 STHA22,Fe,0.11-0.18,0.8-1.1,0.4-0.55,,,,0-0.3,0.4-0.7,0.17-0.37,0-0.035,0-0.035,0-0.3,,,,,"ГОСТ 4543-71, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2
15ХМФКР,,Fe,0.12-0.18,1-1.3,0.9-1.2,0.2-0.32,,1.3-1.5,,0.4-0.7,0.17-0.37,0-0.03,0-0.03,,,,B 0.006-0.01,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=993
16ГНМ,,Fe,0.12-0.18,0-0.3,0.4-0.55,,,,1-1.3,0.8-1.1,0.17-0.37,0-0.04,0-0.035,0.15-0.25,,,,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=991
16ГНМА,,Fe,0.13-0.18,0-0.3,0.4-0.55,0.02-0.03,,,1-1.3,0.8-1.1,0.17-0.37,0-0.02,0-0.02,0-0.2,,,,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3246
18Х3МВ,,Fe,0.15-0.2,2.5-3,0.5-0.7,0.05-0.15,0.5-0.8,,0-0.3,0.25-0.5,0.17-0.37,0-0.025,0-0.03,,,,,,"ГОСТ 20072-74, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1360
03Х18Н10Т,,Fe,0-0.03,17-18.5,,,,,9.5-11,1-2,0-0.8,0-0.02,0-0.035,,,,(5 С - 0.4) Ti.,,"ГОСТ 5632-72, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2388
05Х18Н10Т,,Fe,0-0.05,17-18.5,,,,,9-10.5,1-2,0-0.8,0-0.02,0-0.035,,,,(5 С - 0.6) Ti.,,"ГОСТ 5632-72, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2389
06Х16Н15М3Б,,Fe,0.04-0.06,15-16,2.7-3.2,,,,15-16,0.4-0.8,0-0.3,0-0.01,0-0.015,,0-0.9,,,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3093
08Х15Н24В4ТР,,Fe,0-0.08,14-16,,,4-5,,22-25,0.5-1,0-0.6,0-0.02,0-0.035,,,,Fe 50.435-58.1; CE 0-0.025; Ti 1.4-1.8; B 0-0.005,,"ГОСТ 5632-72, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=26
08Х15Н25М3ТЮБ,,Fe,0-0.1,14-16,2.8-3.5,,,,24-28,1-2,0-0.5,0-0.02,0-0.02,,,,Fe 47.25-56.5; Ti 0.9-1.3; Al 0.8-1.3; B 0-0.01,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=997
08Х16Н11М3,316 X5CrNiMo17-12-2 SUS316 1.4401 0Cr17Ni12Mo2 2347 0H17N12M2T 17346,Fe,0-0.08,15.5-17,1.5-2,,,,8.5-10,1-1.5,0-0.6,0-0.02,0-0.035,,,,,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=48
