grade,analogues,base,c,cr,mo,v,w,co,ni,mn,si,s,p,cu,nb,n,other,tech,standard,manufacturer,link
СрМ875,,Fe,,,,,,,,,,,,11.76-12.38,,,Fe 0-0.1; Pb 0-0.004; AG 87.5-88; O 0-0.01; Sb 0-0.002; BI 0-0.002; всего 0.12,,"ГОСТ 30649-99, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2612
СрМ90,,Fe,,,,,,,,,,,,9.48-10.19,,,Fe 0-0.1; Pb 0-0.004; AG 89.7-90.3; Sb 0-0.002; BI 0-0.002; всего 0.11,,"ГОСТ 6836-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2492
СрМ91.6,,Fe,,,,,,,,,,,,7.88-8.59,,,Fe 0-0.1; Pb 0-0.004; AG 91.3-91.9; Sb 0-0.002; BI 0-0.002; всего 0.11,,"ГОСТ 6836-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2491
СрМ92.5,,Fe,,,,,,,,,,,,6.98-7.69,,,Fe 0-0.1; Pb 0-0.004; AG 92.2-92.8; Sb 0-0.002; BI 0-0.002; всего 0.11,,"ГОСТ 6836-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2490
СрМ925,,Fe,,,,,,,,,,,,6.76-7.38,,,Fe 0-0.1; Pb 0-0.004; AG 92.5-93; O 0-0.01; Sb 0-0.002; BI 0-0.002; всего 0.12,,"ГОСТ 30649-99, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2613
СрМ94,,Fe,,,,,,,,,,,,5.48-6.19,,,Fe 0-0.1; Pb 0-0.004; AG 93.7-94.3; Sb 0-0.002; BI 0-0.002; всего 0.11,,"ГОСТ 6836-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2489
СрМ95,,Fe,,,,,,,,,,,,4.48-5.19,,,Fe 0-0.1; Pb 0-0.004; AG 94.7-95.3; Sb 0-0.002; BI 0-0.002; всего 0.11,,"ГОСТ 6836-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2488
СрМ96,,Fe,,,,,,,,,,,,3.52-4.21,,,Fe 0-0.08; Pb 0-0.004; AG 95.7-96.3; Sb 0-0.002; BI 0-0.002; всего 0.09,,"ГОСТ 6836-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2487
СрМ960,,Fe,,,,,,,,,,,,3.3-3.9,,,Fe 0-0.08; Pb 0-0.004; AG 96-96.5; O 0-0.01; Sb 0-0.002; BI 0-0.002; всего 0.1,,"ГОСТ 30649-99, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2614
СрМ97,,Fe,,,,,,,,,,,,2.52-3.21,,,Fe 0-0.08; Pb 0-0.004; AG 96.7-97.3; Sb 0-0.002; BI 0-0.002; всего 0.09,,"ГОСТ 6836-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2486
СрПд60-40,,Fe,,,,,,,,,,,,,,,Fe 0-0.04; Pb 0-0.004; AG 59.5-60.5; BI 0-0.002; PD 39.5-40.5; всего 0.19; Pt+Ir+Rh+Au 0-0.15,,"ГОСТ 6836-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2502
СрПд70-30,,Fe,,,,,,,,,,,,,,,Fe 0-0.04; Pb 0-0.004; AG 69.5-70.5; BI 0-0.002; PD 29.5-30.5; всего 0.19; Pt+Ir+Rh+Au 0-0.15,,"ГОСТ 6836-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2501
СрПд80-20,,Fe,,,,,,,,,,,,,,,Fe 0-0.04; Pb 0-0.004; AG 79.6-80.4; BI 0-0.002; PD 19.6-20.4; всего 0.19; Pt+Ir+Rh+Au 0-0.15,,"ГОСТ 6836-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2500
СрПдМ50-30,,Fe,,,,,,,,,,,,17.87-21.06,,,Fe 0-0.04; Pb 0-0.004; AG 49.2-50.8; BI 0-0.002; PD 29.4-30.6; всего 0.19; Pt+Ir+Rh+Au 0-0.15,,"ГОСТ 6836-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2503
СрПл88-12,,Fe,,,,,,,,,,,,,,,Fe 0-0.03; Pb 0-0.005; AG 87.6-88.4; PT 11.6-12.4; всего 0.18; Pd+Ir+Rh+Au 0-0.15,,"ГОСТ 6836-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2499
СрПл96-4,,Fe,,,,,,,,,,,,,,,Fe 0-0.03; Pb 0-0.005; AG 95.6-96.4; PT 3.6-4.4; всего 0.18; Pd+Ir+Rh+Au 0-0.15,,"ГОСТ 6836-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2498
ПСр1,,Fe,,,,,,,,,,,,,,,Fe 0-0.15; Pb 56.89-62.05; AG 0.8-1.2; Sb 0.5-1.3; BI 0-0.01; Sn 34-36; Cd 2-3; всего 0.15,,"ГОСТ 19738-2015, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2536
ПСр1.5,,Fe,,,,,,,,,,,,,,,Fe 0-0.15; Pb 81.89-84.65; AG 1.2-1.8; BI 0-0.01; Sn 14-16; всего 0.15,,"ГОСТ 19738-2015, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2535
ПСр10,,Fe,,,,,,,,,,,,52-54,,,Fe 0-0.1; Pb 0-0.05; Zn 35.39-38.15; AG 9.7-10.3; BI 0-0.005; всего 0.15,,"ГОСТ 19738-2015, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2522
ПСр12М,,Fe,,,,,,,,,,,,51-53,,,Fe 0-0.1; Pb 0-0.05; Zn 34.39-37.15; AG 11.7-12.3; BI 0-0.005; всего 0.15,,"ГОСТ 19738-2015, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2521
ПСр15,,Fe,,,,,,,,,,,4.5-5.1,79.09-80.85,,,Fe 0-0.05; Pb 0-0.1; AG 14.5-15.5; BI 0-0.01; всего 0.15,,"ГОСТ 19738-2015, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2520
ПСр2,,Fe,,,,,,,,,,,,,,,Fe 0-0.15; Pb 60.89-64.65; AG 1.7-2.3; BI 0-0.01; Sn 29-31; Cd 4.5-5.5; всего 0.15,,"ГОСТ 19738-2015, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2533
ПСр2.5,,Fe,,,,,,,,,,,,,,,Fe 0-0.15; Pb 90.89-92.65; AG 2.2-2.8; BI 0-0.01; Sn 5-6; всего 0.15,,"ГОСТ 19738-2015, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2531
