grade,link,zknives_maker,cc,zknives_country,db_standard,db_country,db_type,issues
A11,https://zknives.com/knives/steels/a11.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
R0M2SF10,https://zknives.com/knives/steels/r0m2sf10.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
R0M2SF10-MP,https://zknives.com/knives/steels/r0m2sf10-mp.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
T30111,https://zknives.com/knives/steels/t30111.shtml,Bohler-Uddeholm,US,США,"UNS T30111, США",США,government,expected_proprietary_got_government
K294,https://zknives.com/knives/steels/k294.shtml,Bohler-Uddeholm,US,США,"Bohler-Uddeholm, Швеция",Швеция,proprietary,country_mismatch
Micro-Melt A11,https://zknives.com/knives/steels/micro-melt_a11.shtml,Bohler-Uddeholm,US,США,"Carpenter, США",США,proprietary,maker_mismatch
PMA11,https://zknives.com/knives/steels/pma11.shtml,Bohler-Uddeholm,US,США,"Carpenter, США",США,proprietary,maker_mismatch
PSF59,https://zknives.com/knives/steels/psf59.shtml,Bohler-Uddeholm,US,США,"Carpenter, США",США,proprietary,maker_mismatch
CPM 10V,https://zknives.com/knives/steels/cpm_10v.shtml,Bohler-Uddeholm,US,США,"Crucible, США",США,proprietary,maker_mismatch
PM A11,https://zknives.com/knives/steels/pm_a11.shtml,Bohler-Uddeholm,US,США,"Diehl, США",США,proprietary,maker_mismatch
PMD10,https://zknives.com/knives/steels/pmd10.shtml,Bohler-Uddeholm,US,США,"Dorrenberg, Германия",Германия,proprietary,country_mismatch;maker_mismatch
ASP2011,https://zknives.com/knives/steels/asp2011.shtml,Bohler-Uddeholm,US,США,"Erasteel, Франция",Франция,proprietary,country_mismatch;maker_mismatch
GPM10,https://zknives.com/knives/steels/gpm10.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
DuraTech A11,https://zknives.com/knives/steels/duratech_a11.shtml,Bohler-Uddeholm,US,США,"Latrobe, США",США,proprietary,maker_mismatch
LO-QPM A11,https://zknives.com/knives/steels/lo-qpm_a11.shtml,Bohler-Uddeholm,US,США,"Lohmann, Германия",Германия,proprietary,country_mismatch;maker_mismatch
A11 Mod,https://zknives.com/knives/steels/a11_mod.shtml,Bohler-Uddeholm,US,США,"PSM Industries, Германия",Германия,proprietary,country_mismatch;maker_mismatch
PM10,https://zknives.com/knives/steels/pm10.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
Stellapur PM10,https://zknives.com/knives/steels/stellapur_pm10.shtml,Bohler-Uddeholm,US,США,Stellapur PM10,,proprietary,maker_mismatch
TSP10,https://zknives.com/knives/steels/tsp10.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
Z-A11 PM,https://zknives.com/knives/steels/z-a11_pm.shtml,Bohler-Uddeholm,US,США,"Zapp, Германия",Германия,proprietary,country_mismatch;maker_mismatch
Z-A11,https://zknives.com/knives/steels/z-a11.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
Z-10 PM cold,https://zknives.com/knives/steels/z-10_pm_cold.shtml,Bohler-Uddeholm,US,США,"Z-10 PM, США",США,proprietary,maker_mismatch
M4,https://zknives.com/knives/steels/m4.shtml,Akers,US,США,"AISI M4, США",США,government,expected_proprietary_got_government
PMHS6-5-4,https://zknives.com/knives/steels/pmhs6-5-4.shtml,Akers,US,США,,,,missing_standard
1.3394,https://zknives.com/knives/steels/1.3394.shtml,Akers,US,США,"DIN 1.3394, Германия",Германия,government,country_mismatch;expected_proprietary_got_government
1.3361,https://zknives.com/knives/steels/1.3361.shtml,Akers,US,США,"DIN 1.3361, Германия",Германия,government,country_mismatch;expected_proprietary_got_government
HS654,https://zknives.com/knives/steels/hs654.shtml,Akers,US,США,,,,missing_standard
HS6-5-4,https://zknives.com/knives/steels/hs6-5-4.shtml,Akers,US,США,,,,missing_standard
SKH54,https://zknives.com/knives/steels/skh54.shtml,Akers,US,США,"JIS SKH54, Япония",Япония,government,country_mismatch;expected_proprietary_got_government
X130WMoCrV 06-05-04-04,https://zknives.com/knives/steels/x130wmocrv_06-05-04-04.shtml,Akers,US,США,,,,missing_standard
W6Mo5Cr4V4,https://zknives.com/knives/steels/w6mo5cr4v4.shtml,Akers,US,США,,,,missing_standard
R6M5F4,https://zknives.com/knives/steels/r6m5f4.shtml,Akers,US,США,,,,missing_standard
T11304,https://zknives.com/knives/steels/t11304.shtml,Akers,US,США,"UNS T11304, США",США,government,expected_proprietary_got_government
Alpha4,https://zknives.com/knives/steels/alpha4.shtml,Akers,US,США,,,,missing_standard
Supra1,https://zknives.com/knives/steels/supra1.shtml,Akers,US,США,"Akers, Франция",Франция,proprietary,country_mismatch
DBL4,https://zknives.com/knives/steels/dbl4.shtml,Akers,US,США,,,,missing_standard
ASPM4,https://zknives.com/knives/steels/aspm4.shtml,Akers,US,США,"Erasteel, Франция",Франция,proprietary,country_mismatch;maker_mismatch
Atlas M4,https://zknives.com/knives/steels/atlas_m4.shtml,Akers,US,США,"Atlas, США",США,proprietary,maker_mismatch
S693 MICROCLEAN,https://zknives.com/knives/steels/s693_microclean.shtml,Akers,US,США,"Bohler-Uddeholm, Швеция",Швеция,proprietary,country_mismatch;maker_mismatch
S693,https://zknives.com/knives/steels/s693.shtml,Akers,US,США,,,,missing_standard
S692 MICROCLEAN,https://zknives.com/knives/steels/s692_microclean.shtml,Akers,US,США,S692 MICROCLEAN,,proprietary,maker_mismatch
S692,https://zknives.com/knives/steels/s692.shtml,Akers,US,США,,,,missing_standard
Braefour,https://zknives.com/knives/steels/braefour.shtml,Akers,US,США,,,,missing_standard
Carpenter Four Star,https://zknives.com/knives/steels/carpenter_four_star.shtml,Akers,US,США,"Carpenter, США",США,proprietary,maker_mismatch
Four Star,https://zknives.com/knives/steels/four_star.shtml,Akers,US,США,Four Star,,proprietary,maker_mismatch
Micro-Melt M4,https://zknives.com/knives/steels/micro-melt_m4.shtml,Akers,US,США,"Carpenter, США",США,proprietary,maker_mismatch
Molite42,https://zknives.com/knives/steels/molite42.shtml,Akers,US,США,,,,missing_standard
CPM Rex M4(HC),https://zknives.com/knives/steels/cpm_rex_m4(hc).shtml,Akers,US,США,"Crucible, США",США,proprietary,maker_mismatch
CPM M4,https://zknives.com/knives/steels/cpm_m4.shtml,Akers,US,США,"Crucible, США",США,proprietary,maker_mismatch
PM M4,https://zknives.com/knives/steels/pm_m4.shtml,Akers,US,США,"Diehl, США",США,proprietary,maker_mismatch
PMD M4,https://zknives.com/knives/steels/pmd_m4.shtml,Akers,US,США,"Dorrenberg, Германия",Германия,proprietary,country_mismatch;maker_mismatch
EM4,https://zknives.com/knives/steels/em4.shtml,Akers,US,США,,,,missing_standard
ASP2004,https://zknives.com/knives/steels/asp2004.shtml,Akers,US,США,"Erasteel, Франция",Франция,proprietary,country_mismatch;maker_mismatch
GPM4,https://zknives.com/knives/steels/gpm4.shtml,Akers,US,США,"Geruk, Германия",Германия,proprietary,country_mismatch;maker_mismatch
HYM4,https://zknives.com/knives/steels/hym4.shtml,Akers,US,США,,,,missing_standard
XVC11,https://zknives.com/knives/steels/xvc11.shtml,Akers,US,США,,,,missing_standard
H&R No.7,https://zknives.com/knives/steels/h~r_no.7.shtml,Akers,US,США,H&R No.7,,proprietary,maker_mismatch
KHA33,https://zknives.com/knives/steels/kha33.shtml,Akers,US,США,,,,missing_standard
Mega4,https://zknives.com/knives/steels/mega4.shtml,Akers,US,США,,,,missing_standard
Stark,https://zknives.com/knives/steels/stark.shtml,Akers,US,США,"Latrobe, США",США,proprietary,maker_mismatch
DuraTech M4,https://zknives.com/knives/steels/duratech_m4.shtml,Akers,US,США,"Latrobe, США",США,proprietary,maker_mismatch
DuraTech Mega4,https://zknives.com/knives/steels/duratech_mega4.shtml,Akers,US,США,"Latrobe, США",США,proprietary,maker_mismatch
M4PM,https://zknives.com/knives/steels/m4pm.shtml,Akers,US,США,,,,missing_standard
LO-QPM M4,https://zknives.com/knives/steels/lo-qpm_m4.shtml,Akers,US,США,"Lohmann, Германия",Германия,proprietary,country_mismatch;maker_mismatch
BRM4,https://zknives.com/knives/steels/brm4.shtml,Akers,US,США,,,,missing_standard
MAC-C,https://zknives.com/knives/steels/mac-c.shtml,Akers,US,США,,,,missing_standard
HM4,https://zknives.com/knives/steels/hm4.shtml,Akers,US,США,,,,missing_standard
CSW20,https://zknives.com/knives/steels/csw20.shtml,Akers,US,США,,,,missing_standard
SIRapid 3351,https://zknives.com/knives/steels/sirapid_3351.shtml,Akers,US,США,SIRapid,,proprietary,maker_mismatch
TSP4,https://zknives.com/knives/steels/tsp4.shtml,Akers,US,США,,,,missing_standard
Neatro,https://zknives.com/knives/steels/neatro.shtml,Akers,US,США,,,,missing_standard
A2,https://zknives.com/knives/steels/a2.shtml,Bohler-Uddeholm,US,США,"AISI A2, США",США,government,expected_proprietary_got_government
X100CrMoV51,https://zknives.com/knives/steels/x100crmov51.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
X100CrMoV5,https://zknives.com/knives/steels/x100crmov5.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
1.2363,https://zknives.com/knives/steels/1.2363.shtml,Bohler-Uddeholm,US,США,"DIN 1.2363, Германия",Германия,government,country_mismatch;expected_proprietary_got_government
SKD12,https://zknives.com/knives/steels/skd12.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
2260,https://zknives.com/knives/steels/2260.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
Z100CDV5,https://zknives.com/knives/steels/z100cdv5.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
Z100CDV5.1,https://zknives.com/knives/steels/z100cdv5.1.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
BA2,https://zknives.com/knives/steels/ba2.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
X100KUCrMoV51,https://zknives.com/knives/steels/x100kucrmov51.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
Cr5Mo1V,https://zknives.com/knives/steels/cr5mo1v.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
19571PH,https://zknives.com/knives/steels/19571ph.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
C.4756,https://zknives.com/knives/steels/c.4756.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
95X5GM,https://zknives.com/knives/steels/95x5gm.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
9X5VF,https://zknives.com/knives/steels/9x5vf.shtml,Bohler-Uddeholm,US,США,"9Х5ВФ, Россия",Россия,proprietary,country_mismatch;maker_mismatch
9KH5VF,https://zknives.com/knives/steels/9kh5vf.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
KH6VF,https://zknives.com/knives/steels/kh6vf.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
X6VF,https://zknives.com/knives/steels/x6vf.shtml,Bohler-Uddeholm,US,США,"DIN X6VF, Германия",Германия,government,country_mismatch;expected_proprietary_got_government
9H5VF,https://zknives.com/knives/steels/9h5vf.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
T30102,https://zknives.com/knives/steels/t30102.shtml,Bohler-Uddeholm,US,США,"UNS T30102, США",США,government,expected_proprietary_got_government
100VMoCr52,https://zknives.com/knives/steels/100vmocr52.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
NCLV,https://zknives.com/knives/steels/nclv.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
Viger,https://zknives.com/knives/steels/viger.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
DKD12,https://zknives.com/knives/steels/dkd12.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
Sagamore,https://zknives.com/knives/steels/sagamore.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
Windsor,https://zknives.com/knives/steels/windsor.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
XW10,https://zknives.com/knives/steels/xw10.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
Molex #8,https://zknives.com/knives/steels/molex_!8.shtml,Bohler-Uddeholm,US,США,Molex #8,,proprietary,maker_mismatch
Cr-Mo-Loy,https://zknives.com/knives/steels/cr-mo-loy.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
SMHW,https://zknives.com/knives/steels/smhw.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
EG2,https://zknives.com/knives/steels/eg2.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
AH Chrome Die,https://zknives.com/knives/steels/ah_chrome_die.shtml,Bohler-Uddeholm,US,США,AH Chrome Die,,proprietary,maker_mismatch
BE2363,https://zknives.com/knives/steels/be2363.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
AH5,https://zknives.com/knives/steels/ah5.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
AirPro,https://zknives.com/knives/steels/airpro.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
Rigor,https://zknives.com/knives/steels/rigor.shtml,Bohler-Uddeholm,US,США,"Bohler-Uddeholm, Швеция",Швеция,proprietary,country_mismatch
K305,https://zknives.com/knives/steels/k305.shtml,Bohler-Uddeholm,US,США,"Bohler, Австрия",Австрия,proprietary,country_mismatch;maker_mismatch
UHB151,https://zknives.com/knives/steels/uhb151.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
Cuvoir,https://zknives.com/knives/steels/cuvoir.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
Airque,https://zknives.com/knives/steels/airque.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
No. 484,https://zknives.com/knives/steels/no._484.shtml,Bohler-Uddeholm,US,США,"Carpenter, США",США,proprietary,maker_mismatch
Carpenter A2,https://zknives.com/knives/steels/carpenter_a2.shtml,Bohler-Uddeholm,US,США,"Carpenter, США",США,proprietary,maker_mismatch
32S,https://zknives.com/knives/steels/32s.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
EZ-Die,https://zknives.com/knives/steels/ez-die.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
One Five One,https://zknives.com/knives/steels/one_five_one.shtml,Bohler-Uddeholm,US,США,One Five One,,proprietary,maker_mismatch
Airkool,https://zknives.com/knives/steels/airkool.shtml,Bohler-Uddeholm,US,США,"Crucible, США",США,proprietary,maker_mismatch
Aircool,https://zknives.com/knives/steels/aircool.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
Airkool-S,https://zknives.com/knives/steels/airkool-s.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
DC12,https://zknives.com/knives/steels/dc12.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
GO40F,https://zknives.com/knives/steels/go40f.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
ClairMo,https://zknives.com/knives/steels/clairmo.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
P5M,https://zknives.com/knives/steels/p5m.shtml,Bohler-Uddeholm,US,США,"GOST P5M, Россия",Россия,government,country_mismatch;expected_proprietary_got_government
Ziv Steel,https://zknives.com/knives/steels/ziv_steel.shtml,Bohler-Uddeholm,US,США,"Ziv Steel, США",США,proprietary,maker_mismatch
ES65S,https://zknives.com/knives/steels/es65s.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
Cromodie HC,https://zknives.com/knives/steels/cromodie_hc.shtml,Bohler-Uddeholm,US,США,Cromodie HC,,proprietary,maker_mismatch
Hecla175,https://zknives.com/knives/steels/hecla175.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
SCD,https://zknives.com/knives/steels/scd.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
HPM2T,https://zknives.com/knives/steels/hpm2t.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
CRM1,https://zknives.com/knives/steels/crm1.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
Victor,https://zknives.com/knives/steels/victor.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
Lukens A-2,https://zknives.com/knives/steels/lukens_a-2.shtml,Bohler-Uddeholm,US,США,"Lukens, США",США,proprietary,maker_mismatch
H33,https://zknives.com/knives/steels/h33.shtml,Bohler-Uddeholm,US,США,"AISI H33, США",США,government,expected_proprietary_got_government
CH5M,https://zknives.com/knives/steels/ch5m.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
LSS A2,https://zknives.com/knives/steels/lss_a2.shtml,Bohler-Uddeholm,US,США,"Latrobe, США",США,proprietary,maker_mismatch
Select B,https://zknives.com/knives/steels/select_b.shtml,Bohler-Uddeholm,US,США,Select B,,proprietary,maker_mismatch
AirTem,https://zknives.com/knives/steels/airtem.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
LO-K 2363,https://zknives.com/knives/steels/lo-k_2363.shtml,Bohler-Uddeholm,US,США,LO-K,,proprietary,maker_mismatch
OA2,https://zknives.com/knives/steels/oa2.shtml,Bohler-Uddeholm,US,США,"Metal Ravne, Словения",Словения,proprietary,country_mismatch;maker_mismatch
CDS12,https://zknives.com/knives/steels/cds12.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
KD12,https://zknives.com/knives/steels/kd12.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
DCM,https://zknives.com/knives/steels/dcm.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
EPS52,https://zknives.com/knives/steels/eps52.shtml,Bohler-Uddeholm,US,США,"Ossenberg, Германия",Германия,proprietary,country_mismatch;maker_mismatch
FMP379,https://zknives.com/knives/steels/fmp379.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
RAZ1,https://zknives.com/knives/steels/raz1.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
RAZU,https://zknives.com/knives/steels/razu.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
Air-True,https://zknives.com/knives/steels/air-true.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
JA,https://zknives.com/knives/steels/ja.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
KEA162,https://zknives.com/knives/steels/kea162.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
QC12,https://zknives.com/knives/steels/qc12.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
SIHard 2363,https://zknives.com/knives/steels/sihard_2363.shtml,Bohler-Uddeholm,US,США,"SIHard, Швеция",Швеция,proprietary,country_mismatch;maker_mismatch
Stora65,https://zknives.com/knives/steels/stora65.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
Airvan,https://zknives.com/knives/steels/airvan.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
Thyrodur2363,https://zknives.com/knives/steels/thyrodur2363.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
Sparta,https://zknives.com/knives/steels/sparta.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
Air Hard,https://zknives.com/knives/steels/air_hard.shtml,Bohler-Uddeholm,US,США,Air Hard,,proprietary,maker_mismatch
Weld Mold 937,https://zknives.com/knives/steels/weld_mold_937.shtml,Bohler-Uddeholm,US,США,"Weld Mold, США",США,proprietary,maker_mismatch
WAS63,https://zknives.com/knives/steels/was63.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
LVC50,https://zknives.com/knives/steels/lvc50.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
A3,https://zknives.com/knives/steels/a3.shtml,,US,США,,,,missing_standard
A4,https://zknives.com/knives/steels/a4.shtml,Daido,US,США,,,,missing_standard
T30104,https://zknives.com/knives/steels/t30104.shtml,Daido,US,США,"UNS T30104, США",США,government,expected_proprietary_got_government
Airloy,https://zknives.com/knives/steels/airloy.shtml,Daido,US,США,,,,missing_standard
Air4,https://zknives.com/knives/steels/air4.shtml,Daido,US,США,,,,missing_standard
Airque4,https://zknives.com/knives/steels/airque4.shtml,Daido,US,США,,,,missing_standard
GO4,https://zknives.com/knives/steels/go4.shtml,Daido,US,США,"Daido, Япония",Япония,proprietary,country_mismatch
ACD37,https://zknives.com/knives/steels/acd37.shtml,Daido,US,США,,,,missing_standard
Tempair,https://zknives.com/knives/steels/tempair.shtml,Daido,US,США,,,,missing_standard
AirMo,https://zknives.com/knives/steels/airmo.shtml,Daido,US,США,,,,missing_standard
A6,https://zknives.com/knives/steels/a6.shtml,Carpenter,US,США,,,,missing_standard
70MnMoCr8,https://zknives.com/knives/steels/70mnmocr8.shtml,Carpenter,US,США,,,,missing_standard
1.2824,https://zknives.com/knives/steels/1.2824.shtml,Carpenter,US,США,"DIN 1.2824, Германия",Германия,government,country_mismatch;expected_proprietary_got_government
BA6,https://zknives.com/knives/steels/ba6.shtml,Carpenter,US,США,,,,missing_standard
T30106,https://zknives.com/knives/steels/t30106.shtml,Carpenter,US,США,"UNS T30106, США",США,government,expected_proprietary_got_government
Apache,https://zknives.com/knives/steels/apache.shtml,Carpenter,US,США,,,,missing_standard
Jess Air,https://zknives.com/knives/steels/jess_air.shtml,Carpenter,US,США,Jess Air,,proprietary,maker_mismatch
UHB1550,https://zknives.com/knives/steels/uhb1550.shtml,Carpenter,US,США,,,,missing_standard
Uni-Die,https://zknives.com/knives/steels/uni-die.shtml,Carpenter,US,США,"Uni-Die, США",США,government,expected_proprietary_got_government
CSM6,https://zknives.com/knives/steels/csm6.shtml,Carpenter,US,США,"Crucible, США",США,proprietary,maker_mismatch
Diecrat,https://zknives.com/knives/steels/diecrat.shtml,Carpenter,US,США,,,,missing_standard
Low Air,https://zknives.com/knives/steels/low_air.shtml,Carpenter,US,США,Low Air,,proprietary,maker_mismatch
A7,https://zknives.com/knives/steels/a7.shtml,,US,США,,,,missing_standard
19581,https://zknives.com/knives/steels/19581.shtml,,US,США,,,,missing_standard
SagamoreV,https://zknives.com/knives/steels/sagamorev.shtml,,US,США,,,,missing_standard
BX-3,https://zknives.com/knives/steels/bx-3.shtml,,US,США,,,,missing_standard
K591PM,https://zknives.com/knives/steels/k591pm.shtml,,US,США,,,,missing_standard
K342,https://zknives.com/knives/steels/k342.shtml,,US,США,"Bohler, Австрия",Австрия,proprietary,country_mismatch;expected_government_got_proprietary
Airkool-V,https://zknives.com/knives/steels/airkool-v.shtml,,US,США,,,,missing_standard
LSS A7,https://zknives.com/knives/steels/lss_a7.shtml,,US,США,LSS,,proprietary,expected_government_got_proprietary
Brickmold,https://zknives.com/knives/steels/brickmold.shtml,,US,США,,,,missing_standard
BR-3,https://zknives.com/knives/steels/br-3.shtml,,US,США,,,,missing_standard
BR2,https://zknives.com/knives/steels/br2.shtml,,US,США,,,,missing_standard
Super Diamant,https://zknives.com/knives/steels/super_diamant.shtml,,US,США,Super Diamant,,proprietary,expected_government_got_proprietary
Chromeware,https://zknives.com/knives/steels/chromeware.shtml,,US,США,,,,missing_standard
A8,https://zknives.com/knives/steels/a8.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
X63CrMoV51,https://zknives.com/knives/steels/x63crmov51.shtml,Bohler-Uddeholm,US,США,"DIN X63CRMOV51, Германия",Германия,government,country_mismatch;expected_proprietary_got_government
1.2362,https://zknives.com/knives/steels/1.2362.shtml,Bohler-Uddeholm,US,США,"DIN 1.2362, Германия",Германия,government,country_mismatch;expected_proprietary_got_government
Z38CDW5,https://zknives.com/knives/steels/z38cdw5.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
5Cr5WMoVSi,https://zknives.com/knives/steels/5cr5wmovsi.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
19569,https://zknives.com/knives/steels/19569.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
C.4758,https://zknives.com/knives/steels/c.4758.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
T30108,https://zknives.com/knives/steels/t30108.shtml,Bohler-Uddeholm,US,США,"UNS T30108, США",США,government,expected_proprietary_got_government
Narva5A,https://zknives.com/knives/steels/narva5a.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
AL-158,https://zknives.com/knives/steels/al-158.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
Calmax,https://zknives.com/knives/steels/calmax.shtml,Bohler-Uddeholm,US,США,"Bohler-Uddeholm, Швеция",Швеция,proprietary,country_mismatch
Cromo-W55,https://zknives.com/knives/steels/cromo-w55.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
K313,https://zknives.com/knives/steels/k313.shtml,Bohler-Uddeholm,US,США,"Bohler-Uddeholm, Швеция",Швеция,proprietary,country_mismatch
Pressurdie16,https://zknives.com/knives/steels/pressurdie16.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
LSS MGR,https://zknives.com/knives/steels/lss_mgr.shtml,Bohler-Uddeholm,US,США,"Latrobe, США",США,proprietary,maker_mismatch
MGR,https://zknives.com/knives/steels/mgr.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
LO-K 2362,https://zknives.com/knives/steels/lo-k_2362.shtml,Bohler-Uddeholm,US,США,LO-K,,proprietary,maker_mismatch
OV266,https://zknives.com/knives/steels/ov266.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
UTOPMO6,https://zknives.com/knives/steels/utopmo6.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
EPS62,https://zknives.com/knives/steels/eps62.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
M63,https://zknives.com/knives/steels/m63.shtml,Bohler-Uddeholm,US,США,"AISI M63, США",США,government,expected_proprietary_got_government
M63V,https://zknives.com/knives/steels/m63v.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
RAZM,https://zknives.com/knives/steels/razm.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
PTE,https://zknives.com/knives/steels/pte.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
Hotform,https://zknives.com/knives/steels/hotform.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
RH Special,https://zknives.com/knives/steels/rh_special.shtml,Bohler-Uddeholm,US,США,"RH Special, США",США,proprietary,maker_mismatch
Hot Form No 3,https://zknives.com/knives/steels/hot_form_no_3.shtml,Bohler-Uddeholm,US,США,Hot Form No 3,,proprietary,maker_mismatch
AirTrueLC,https://zknives.com/knives/steels/airtruelc.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
A9,https://zknives.com/knives/steels/a9.shtml,Latrobe,US,США,,,,missing_standard
T30109,https://zknives.com/knives/steels/t30109.shtml,Latrobe,US,США,"UNS T30109, США",США,government,expected_proprietary_got_government
Carpenter 880,https://zknives.com/knives/steels/carpenter_880.shtml,Latrobe,US,США,"Carpenter, США",США,proprietary,maker_mismatch
Carpenter A9,https://zknives.com/knives/steels/carpenter_a9.shtml,Latrobe,US,США,"Carpenter, США",США,proprietary,maker_mismatch
Crucible A9,https://zknives.com/knives/steels/crucible_a9.shtml,Latrobe,US,США,"Crucible, США",США,proprietary,maker_mismatch
Mazeman,https://zknives.com/knives/steels/mazeman.shtml,Latrobe,US,США,,,,missing_standard
UTOPMONI,https://zknives.com/knives/steels/utopmoni.shtml,Latrobe,US,США,,,,missing_standard
SR3V,https://zknives.com/knives/steels/sr3v.shtml,Busse,US,США,,,,missing_standard
CPM 3V,https://zknives.com/knives/steels/cpm_3v.shtml,Busse,US,США,"Crucible, США",США,proprietary,maker_mismatch
3V,https://zknives.com/knives/steels/3v.shtml,Busse,US,США,,,,missing_standard
PM7.5-1.3-2.75CrMoV,https://zknives.com/knives/steels/pm7.5-1.3-2.75crmov.shtml,Busse,US,США,,,,missing_standard
Vasco Die,https://zknives.com/knives/steels/vasco_die.shtml,Busse,US,США,"Vasco Metal, США",США,proprietary,maker_mismatch
M1,https://zknives.com/knives/steels/m1.shtml,Latrobe,US,США,"AISI M1, США",США,government,expected_proprietary_got_government
S1-8-1,https://zknives.com/knives/steels/s1-8-1.shtml,Latrobe,US,США,,,,missing_standard
1.3346,https://zknives.com/knives/steels/1.3346.shtml,Latrobe,US,США,"DIN 1.3346, Германия",Германия,government,country_mismatch;expected_proprietary_got_government
1.3327,https://zknives.com/knives/steels/1.3327.shtml,Latrobe,US,США,"DIN 1.3327, Германия",Германия,government,country_mismatch;expected_proprietary_got_government
