grade,link,zknives_maker,cc,zknives_country,db_standard,db_country,db_type,issues
Thyrodur2762,https://zknives.com/knives/steels/thyrodur2762.shtml,Metal Ravne,SI,Словения,"Thyssen-Krupp, Германия",Германия,proprietary,country_mismatch;maker_mismatch
95V4,https://zknives.com/knives/steels/95v4.shtml,Ossenberg,DE,Германия,"AISI 95V4, США",США,government,country_mismatch;expected_proprietary_got_government
1.2835,https://zknives.com/knives/steels/1.2835.shtml,Ossenberg,DE,Германия,"DIN 1.2835, Германия",Германия,government,expected_proprietary_got_government
DAP520,https://zknives.com/knives/steels/dap520.shtml,Daido,JP,Япония,,,,missing_standard
Case CV,https://zknives.com/knives/steels/case_cv.shtml,Crucible,US,США,"Case, США",США,proprietary,maker_mismatch
A-Type,https://zknives.com/knives/steels/a-type.shtml,?,JP,Япония,,,,missing_standard
4161,https://zknives.com/knives/steels/4161.shtml,,US,США,,,,missing_standard
60CrMo3-3,https://zknives.com/knives/steels/60crmo3-3.shtml,,US,США,"DIN 1.7228, Германия",Германия,government,country_mismatch
1.7241,https://zknives.com/knives/steels/1.7241.shtml,,US,США,"DIN 1.7241, Германия",Германия,government,country_mismatch
SUP13,https://zknives.com/knives/steels/sup13.shtml,,US,США,,,,missing_standard
Inconel-718,https://zknives.com/knives/steels/inconel-718.shtml,Special Metals Corporation,US,США,"INCONEL, США",США,proprietary,maker_mismatch
RW5,https://zknives.com/knives/steels/rw5.shtml,,DE,Германия,,,,missing_standard
DSR1K7,https://zknives.com/knives/steels/dsr1k7.shtml,Daido,JP,Япония,,,,missing_standard
DSR1K8,https://zknives.com/knives/steels/dsr1k8.shtml,Daido,JP,Япония,,,,missing_standard
X80CrMoV13-2,https://zknives.com/knives/steels/x80crmov13-2.shtml,Bestar,DE,Германия,,,,missing_standard
1.4153,https://zknives.com/knives/steels/1.4153.shtml,Bestar,DE,Германия,"DIN 1.4153, Германия",Германия,government,expected_proprietary_got_government
1.2391,https://zknives.com/knives/steels/1.2391.shtml,Bestar,DE,Германия,"DIN 1.2391, Германия",Германия,government,expected_proprietary_got_government
N678,https://zknives.com/knives/steels/n678.shtml,Bestar,DE,Германия,"Bohler-Uddeholm, Швеция",Швеция,proprietary,country_mismatch;maker_mismatch
LO-R 4153,https://zknives.com/knives/steels/lo-r_4153.shtml,Bestar,DE,Германия,,,,missing_standard
X5CrNi1810,https://zknives.com/knives/steels/x5crni1810.shtml,,US,США,"DIN X5CRNI1810, Германия",Германия,government,country_mismatch
1.4301,https://zknives.com/knives/steels/1.4301.shtml,,US,США,"DIN 1.4301, Германия",Германия,government,country_mismatch
1.4307,https://zknives.com/knives/steels/1.4307.shtml,,US,США,"DIN 1.4307, Германия",Германия,government,country_mismatch
SUS304,https://zknives.com/knives/steels/sus304.shtml,,US,США,"JIS SUS304, Япония",Япония,government,country_mismatch
2332,https://zknives.com/knives/steels/2332.shtml,,US,США,,,,missing_standard
2333,https://zknives.com/knives/steels/2333.shtml,,US,США,,,,missing_standard
Z6CN18.09,https://zknives.com/knives/steels/z6cn18.09.shtml,,US,США,,,,missing_standard
58E,https://zknives.com/knives/steels/58e.shtml,,US,США,,,,missing_standard
X5CrNi18 10,https://zknives.com/knives/steels/x5crni18_10.shtml,,US,США,"DIN 1.4301, Германия",Германия,government,country_mismatch
0Cr18Ni9,https://zknives.com/knives/steels/0cr18ni9.shtml,,US,США,"GB/T 14976, Китай",Китай,government,country_mismatch
06Cr19Ni10,https://zknives.com/knives/steels/06cr19ni10.shtml,,US,США,"GOST 5632-72, Россия",Россия,government,country_mismatch
C.4580,https://zknives.com/knives/steels/c.4580.shtml,,US,США,,,,missing_standard
F.3551,https://zknives.com/knives/steels/f.3551.shtml,,US,США,,,,missing_standard
F.3541,https://zknives.com/knives/steels/f.3541.shtml,,US,США,,,,missing_standard
F.3504,https://zknives.com/knives/steels/f.3504.shtml,,US,США,,,,missing_standard
08Ch18N10,https://zknives.com/knives/steels/08ch18n10.shtml,,US,США,,,,missing_standard
08KH18N10,https://zknives.com/knives/steels/08kh18n10.shtml,,US,США,"GOST 08KH18N10, Россия",Россия,government,country_mismatch
08X18H10,https://zknives.com/knives/steels/08x18h10.shtml,,US,США,"GOST 08X18H10, Россия",Россия,government,country_mismatch
08X18N10,https://zknives.com/knives/steels/08x18n10.shtml,,US,США,,,,missing_standard
0H18N9,https://zknives.com/knives/steels/0h18n9.shtml,,US,США,"GOST 5632-72, Россия",Россия,government,country_mismatch
B2W,https://zknives.com/knives/steels/b2w.shtml,,US,США,,,,missing_standard
Coracid304,https://zknives.com/knives/steels/coracid304.shtml,,US,США,"Coracid, США",США,proprietary,expected_government_got_proprietary
V2A,https://zknives.com/knives/steels/v2a.shtml,,US,США,,,,missing_standard
PK11EX,https://zknives.com/knives/steels/pk11ex.shtml,,US,США,,,,missing_standard
AKVN,https://zknives.com/knives/steels/akvn.shtml,,US,США,,,,missing_standard
MVAIS,https://zknives.com/knives/steels/mvais.shtml,,US,США,,,,missing_standard
MVAISL,https://zknives.com/knives/steels/mvaisl.shtml,,US,США,,,,missing_standard
MVAISDE,https://zknives.com/knives/steels/mvaisde.shtml,,US,США,,,,missing_standard
V304UF,https://zknives.com/knives/steels/v304uf.shtml,,US,США,,,,missing_standard
