grade,splav_c,db_c,match_c,splav_cr,db_cr,match_cr,splav_mo,db_mo,match_mo,splav_v,db_v,match_v,splav_w,db_w,match_w,splav_co,db_co,match_co,splav_ni,db_ni,match_ni,splav_mn,db_mn,match_mn,splav_si,db_si,match_si,splav_s,db_s,match_s,splav_p,db_p,match_p,splav_cu,db_cu,match_cu,splav_nb,db_nb,match_nb,splav_n,db_n,match_n,status,mismatch_fields
АНВ-300,до &nbsp; 0.1,до &nbsp; 0.1,1,14 - 17,14 - 17,1,,,1,,,1,7 - 10,7 - 10,1,,,1,64.2 - 70.1,64.2 - 70.1,1,до &nbsp; 0.5,до &nbsp; 0.5,1,до &nbsp; 0.5,до &nbsp; 0.5,1,до &nbsp; 0.01,до &nbsp; 0.01,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,,,1,,,1,ok,
В3К,1 - 1.3,1 - 1.3,1,28 - 32,28 - 32,1,,,1,,,1,4 - 5,4 - 5,1,54.8 - 65,54.8 - 65,1,до &nbsp; 2,до &nbsp; 2,1,,,1,2 - 2.75,2 - 2.75,1,до &nbsp; 0.07,до &nbsp; 0.07,1,,,1,,,1,,,1,,,1,ok,
ВЖЛ1,0.1 - 0.17,0.1 - 0.17,1,15 - 17,15 - 17,1,3.5 - 5,3.5 - 5,1,,,1,2 - 2.5,2 - 2.5,1,,,1,59.5 - 66.1,59.5 - 66.1,1,до &nbsp; 0.3,до &nbsp; 0.3,1,1.2 - 2,1.2 - 2,1,до &nbsp; 0.02,до &nbsp; 0.02,1,до &nbsp; 0.02,до &nbsp; 0.02,1,,,1,,,1,,,1,ok,
ВЖЛ12У,0.14 - 0.2,0.14 - 0.2,1,8.5 - 10.5,8.5 - 10.5,1,2.7 - 3.4,2.7 - 3.4,1,0.5 - 1,0.5 - 1,1,1 - 1.8,1 - 1.8,1,12 - 15,12 - 15,1,53.8 - 63.46,53.8 - 63.46,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.015,до &nbsp; 0.015,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,0.5 - 1,0.5 - 1,1,,,1,ok,
ВЖЛ12Э,0.12 - 0.2,0.12 - 0.2,1,8.5 - 10,8.5 - 10,1,2.7 - 3.4,2.7 - 3.4,1,0.5 - 1,0.5 - 1,1,1 - 1.8,1 - 1.8,1,8 - 10,8 - 10,1,59.3 - 68,59.3 - 68,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.015,до &nbsp; 0.015,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,0.5 - 1,0.5 - 1,1,,,1,ok,
ВЖЛ14,0.05 - 0.08,0.05 - 0.08,1,18 - 20,18 - 20,1,4.5 - 5.5,4.5 - 5.5,1,,,1,,,1,,,1,59.1 - 63.7,59.1 - 63.7,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.01,до &nbsp; 0.01,1,до &nbsp; 0.01,до &nbsp; 0.01,1,,,1,,,1,,,1,ok,
ВЖЛ14Н,0.03 - 0.08,0.03 - 0.08,1,18 - 20,18 - 20,1,4 - 5,4 - 5,1,,,1,,,1,,,1,56.8 - 62.5,56.8 - 62.5,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.015,до &nbsp; 0.015,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,1.8 - 2.8,1.8 - 2.8,1,,,1,ok,
ВЖЛ18,0.1 - 0.15,0.1 - 0.15,1,17 - 18,17 - 18,1,4.5 - 6,4.5 - 6,1,,,1,2.5 - 4,2.5 - 4,1,4 - 6,4 - 6,1,55.1 - 64.1,55.1 - 64.1,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.015,до &nbsp; 0.015,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,1.2 - 1.8,1.2 - 1.8,1,,,1,ok,
ВЖЛ2,0.11 - 0.17,0.11 - 0.17,1,12 - 15,12 - 15,1,12 - 15,12 - 15,1,,,1,8 - 10,8 - 10,1,,,1,48 - 58.2,48 - 58.2,1,,,1,1 - 2,1 - 2,1,до &nbsp; 0.02,до &nbsp; 0.02,1,до &nbsp; 0.02,до &nbsp; 0.02,1,,,1,,,1,,,1,ok,
ВЖЛ8,0.1 - 0.2,0.1 - 0.2,1,14 - 17,14 - 17,1,4.5 - 6,4.5 - 6,1,,,1,,,1,,,1,57.4 - 66.1,57.4 - 66.1,1,до &nbsp; 0.6,до &nbsp; 0.6,1,до &nbsp; 0.6,до &nbsp; 0.6,1,до &nbsp; 0.015,до &nbsp; 0.015,1,до &nbsp; 0.02,до &nbsp; 0.02,1,,,1,,,1,,,1,ok,
ВХ4Л,0.03 - 0.1,0.03 - 0.1,1,32 - 35,32 - 35,1,2.3 - 3.5,2.3 - 3.5,1,,,1,4.3 - 5.5,4.3 - 5.5,1,,,1,51.1 - 56.3,51.1 - 56.3,1,,,1,до &nbsp; 0.3,до &nbsp; 0.3,1,до &nbsp; 0.01,до &nbsp; 0.01,1,,,1,,,1,0.7 - 1.3,0.7 - 1.3,1,,,1,ok,
ВХ9Л,0.02 - 0.1,0.02 - 0.1,1,30 - 35,30 - 35,1,2.9 - 3.5,2.9 - 3.5,1,,,1,4.7 - 5.3,4.7 - 5.3,1,0.2 - 0.8,0.2 - 0.8,1,44.1 - 54.8,44.1 - 54.8,1,до &nbsp; 0.5,до &nbsp; 0.5,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.01,до &nbsp; 0.01,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,0.7 - 1.3,0.7 - 1.3,1,,,1,ok,
ЖС16,0.08 - 0.14,0.08 - 0.14,1,4.6 - 5.2,4.6 - 5.2,1,,,1,,,1,15.3 - 16.5,15.3 - 16.5,1,6 - 8,6 - 8,1,58.9 - 65.5,58.9 - 65.5,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.2,до &nbsp; 0.2,1,до &nbsp; 0.015,до &nbsp; 0.015,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,1.6 - 2.1,1.6 - 2.1,1,,,1,ok,
ЖС3,0.11 - 0.16,0.11 - 0.16,1,14 - 18,14 - 18,1,3 - 4.5,3 - 4.5,1,до &nbsp; 0.3,до &nbsp; 0.3,1,4.5 - 6.5,4.5 - 6.5,1,,,1,56.8 - 71.1,56.8 - 71.1,1,до &nbsp; 0.6,до &nbsp; 0.6,1,до &nbsp; 0.6,до &nbsp; 0.6,1,до &nbsp; 0.009,до &nbsp; 0.009,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,,,1,,,1,ok,
ЖС30,0.11 - 0.2,0.11 - 0.2,1,5 - 9,5 - 9,1,0.4 - 1,0.4 - 1,1,,,1,11 - 12.6,11 - 12.6,1,7.5 - 9.5,7.5 - 9.5,1,56.2 - 65.4,56.2 - 65.4,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.01,до &nbsp; 0.01,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,0.4 - 1.4,0.4 - 1.4,1,,,1,ok,
ЖС3ДК,0.06 - 0.11,0.06 - 0.11,1,11 - 12.5,11 - 12.5,1,3.8 - 4.5,3.8 - 4.5,1,,,1,3.8 - 4.5,3.8 - 4.5,1,8 - 10,8 - 10,1,57.5 - 65.3,57.5 - 65.3,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.01,до &nbsp; 0.01,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,,,1,,,1,ok,
ЖС3ЛС,0.05 - 0.12,0.05 - 0.12,1,15 - 18,15 - 18,1,3 - 4.5,3 - 4.5,1,,,1,3 - 4.5,3 - 4.5,1,4 - 5,4 - 5,1,58.6 - 67.1,58.6 - 67.1,1,до &nbsp; 0.6,до &nbsp; 0.6,1,до &nbsp; 0.6,до &nbsp; 0.6,1,до &nbsp; 0.015,до &nbsp; 0.015,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,,,1,,,1,ok,
ЖС6К,0.13 - 0.2,0.13 - 0.2,1,9.5 - 12,9.5 - 12,1,3.5 - 4.5,3.5 - 4.5,1,,,1,4.5 - 5.5,4.5 - 5.5,1,4 - 5.5,4 - 5.5,1,60.1 - 68.4,60.1 - 68.4,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.015,до &nbsp; 0.015,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,,,1,,,1,ok,
ЖС6У,0.13 - 0.2,0.13 - 0.2,1,8 - 9.5,8 - 9.5,1,1.2 - 2.4,1.2 - 2.4,1,,,1,9.5 - 11,9.5 - 11,1,9 - 10.5,9 - 10.5,1,54.3 - 62.7,54.3 - 62.7,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.01,до &nbsp; 0.01,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,0.8 - 1.2,0.8 - 1.2,1,,,1,ok,
Л114,0.15 - 0.3,0.15 - 0.3,1,10 - 12,10 - 12,1,3 - 4,3 - 4,1,,,1,3 - 4,3 - 4,1,10 - 12,10 - 12,1,55.5 - 64.2,55.5 - 64.2,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.01,до &nbsp; 0.01,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,,,1,,,1,ok,
ЛК4,0.15 - 0.25,0.15 - 0.25,1,25 - 28,25 - 28,1,4.5 - 5.5,4.5 - 5.5,1,,,1,до &nbsp; 0.5,до &nbsp; 0.5,1,min &nbsp; 58,min &nbsp; 58,1,3 - 3.75,3 - 3.75,1,до &nbsp; 0.6,до &nbsp; 0.6,1,до &nbsp; 0.5,до &nbsp; 0.5,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.025,до &nbsp; 0.025,1,,,1,,,1,,,1,ok,
10Х15Н35В3ТЮ,до &nbsp; 0.1,до &nbsp; 0.1,1,14 - 16,14 - 16,1,,,1,,,1,3 - 4,3 - 4,1,,,1,34 - 38,34 - 38,1,1 - 2,1 - 2,1,до &nbsp; 0.5,до &nbsp; 0.5,1,до &nbsp; 0.03,до &nbsp; 0.03,1,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,,,1,ok,
ВХН1,1 - 1.25,1 - 1.25,1,35 - 40,35 - 40,1,,,1,,,1,,,1,,,1,50 - 60,50 - 60,1,до &nbsp; 0.5,до &nbsp; 0.5,1,2 - 2.75,2 - 2.75,1,до &nbsp; 0.07,до &nbsp; 0.07,1,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,,,1,ok,
ХН28ВМАБ,до &nbsp; 0.1,до &nbsp; 0.1,1,19 - 22,19 - 22,1,2.8 - 3.5,2.8 - 3.5,1,,,1,4.8 - 6,4.8 - 6,1,,,1,25 - 30,25 - 30,1,до &nbsp; 1.5,до &nbsp; 1.5,1,до &nbsp; 0.6,до &nbsp; 0.6,1,до &nbsp; 0.02,до &nbsp; 0.02,1,до &nbsp; 0.02,до &nbsp; 0.02,1,,,1,0.7 - 1.3,0.7 - 1.3,1,0.15 - 0.3,0.15 - 0.3,1,ok,
ХН32Т,до &nbsp; 0.05,до &nbsp; 0.05,1,19 - 22,19 - 22,1,,,1,,,1,,,1,,,1,30 - 34,30 - 34,1,до &nbsp; 0.7,до &nbsp; 0.7,1,до &nbsp; 0.7,до &nbsp; 0.7,1,до &nbsp; 0.02,до &nbsp; 0.02,1,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,,,1,ok,
ХН33БС,0.3 - 0.4,0.3 - 0.4,1,20 - 23,20 - 23,1,до &nbsp; 0.25,до &nbsp; 0.25,1,0.0005 - 0.15,0.0005 - 0.15,1,0.05 - 0.2,0.05 - 0.2,1,до &nbsp; 0.1,до &nbsp; 0.1,1,30 - 33,30 - 33,1,0.8 - 1.45,0.8 - 1.45,1,0.45 - 0.95,0.45 - 0.95,1,до &nbsp; 0.02,до &nbsp; 0.02,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.2,до &nbsp; 0.2,1,1 - 1.7,1 - 1.7,1,,,1,ok,
ХН35ВТ,до &nbsp; 0.12,до &nbsp; 0.12,1,14 - 16,14 - 16,1,,,1,,,1,2.8 - 3.5,2.8 - 3.5,1,,,1,34 - 38,34 - 38,1,1 - 2,1 - 2,1,до &nbsp; 0.6,до &nbsp; 0.6,1,до &nbsp; 0.02,до &nbsp; 0.02,1,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,,,1,ok,
ХН35ВТР,до &nbsp; 0.1,до &nbsp; 0.1,1,14 - 16,14 - 16,1,,,1,,,1,4 - 5,4 - 5,1,,,1,35 - 38,35 - 38,1,до &nbsp; 1,до &nbsp; 1,1,до &nbsp; 0.6,до &nbsp; 0.6,1,до &nbsp; 0.02,до &nbsp; 0.02,1,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,,,1,ok,
ХН35ВТЮ,до &nbsp; 0.08,до &nbsp; 0.08,1,14 - 16,14 - 16,1,,,1,,,1,2.5 - 3.5,2.5 - 3.5,1,,,1,33 - 37,33 - 37,1,до &nbsp; 0.6,до &nbsp; 0.6,1,до &nbsp; 0.6,до &nbsp; 0.6,1,до &nbsp; 0.02,до &nbsp; 0.02,1,до &nbsp; 0.035,до &nbsp; 0.035,1,,,1,,,1,,,1,ok,
ХН38ВБ,0.06 - 0.12,0.06 - 0.12,1,20 - 23,20 - 23,1,,,1,,,1,2.8 - 3.5,2.8 - 3.5,1,,,1,35 - 39,35 - 39,1,до &nbsp; 0.7,до &nbsp; 0.7,1,до &nbsp; 0.8,до &nbsp; 0.8,1,до &nbsp; 0.02,до &nbsp; 0.02,1,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,1.2 - 1.7,1.2 - 1.7,1,,,1,ok,
ХН38ВТ,0.06 - 0.12,0.06 - 0.12,1,20 - 23,20 - 23,1,,,1,,,1,2.8 - 3.5,2.8 - 3.5,1,,,1,35 - 39,35 - 39,1,до &nbsp; 0.7,до &nbsp; 0.7,1,до &nbsp; 0.8,до &nbsp; 0.8,1,до &nbsp; 0.02,до &nbsp; 0.02,1,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,,,1,ok,
ХН45Ю,до &nbsp; 0.1,до &nbsp; 0.1,1,15 - 17,15 - 17,1,,,1,,,1,,,1,,,1,44 - 46,44 - 46,1,до &nbsp; 1,до &nbsp; 1,1,до &nbsp; 1,до &nbsp; 1,1,до &nbsp; 0.02,до &nbsp; 0.02,1,до &nbsp; 0.025,до &nbsp; 0.025,1,,,1,,,1,,,1,ok,
ХН51ВМТЮКФР-ВД,до &nbsp; 0.08,до &nbsp; 0.08,1,9 - 12,9 - 12,1,5 - 8,5 - 8,1,0.2 - 0.8,0.2 - 0.8,1,5 - 7,5 - 7,1,14 - 16,14 - 16,1,44.3 - 57.7,44.3 - 57.7,1,до &nbsp; 0.5,до &nbsp; 0.5,1,до &nbsp; 0.5,до &nbsp; 0.5,1,до &nbsp; 0.009,до &nbsp; 0.009,1,до &nbsp; 0.015,до &nbsp; 0.015,1,до &nbsp; 0.07,до &nbsp; 0.07,1,,,1,,,1,ok,
ХН55ВМТКЮ,0.04 - 0.1,0.04 - 0.1,1,9 - 12,9 - 12,1,4 - 6,4 - 6,1,0.2 - 0.8,0.2 - 0.8,1,4.5 - 6.5,4.5 - 6.5,1,12 - 16,12 - 16,1,,,1,до &nbsp; 0.5,до &nbsp; 0.5,1,до &nbsp; 0.5,до &nbsp; 0.5,1,до &nbsp; 0.01,до &nbsp; 0.01,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,,,1,,,1,ok,
ХН55МВЮ,до &nbsp; 0.08,до &nbsp; 0.08,1,9 - 11,9 - 11,1,5 - 6.5,5 - 6.5,1,,,1,4.5 - 5.5,4.5 - 5.5,1,,,1,51.075 - 60.3,51.075 - 60.3,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.01,до &nbsp; 0.01,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,,,1,,,1,ok,
ХН56ВМКЮ,до &nbsp; 0.1,до &nbsp; 0.1,1,8.5 - 10.5,8.5 - 10.5,1,6.5 - 8,6.5 - 8,1,,,1,6 - 7.5,6 - 7.5,1,11 - 13,11 - 13,1,52.234 - 62.6,52.234 - 62.6,1,до &nbsp; 0.3,до &nbsp; 0.3,1,до &nbsp; 0.6,до &nbsp; 0.6,1,до &nbsp; 0.011,до &nbsp; 0.011,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,,,1,,,1,ok,
ХН56ВМТЮ,до &nbsp; 0.1,до &nbsp; 0.1,1,19 - 22,19 - 22,1,4 - 6,4 - 6,1,,,1,9 - 11,9 - 11,1,,,1,52.102 - 64.8,52.102 - 64.8,1,до &nbsp; 0.5,до &nbsp; 0.5,1,до &nbsp; 0.06,до &nbsp; 0.06,1,до &nbsp; 0.015,до &nbsp; 0.015,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,,,1,,,1,ok,
ХН57МТВЮ,до &nbsp; 0.07,до &nbsp; 0.07,1,17 - 19,17 - 19,1,8.5 - 10,8.5 - 10,1,,,1,1.5 - 2.5,1.5 - 2.5,1,,,1,53.09 - 61.8,53.09 - 61.8,1,до &nbsp; 0.5,до &nbsp; 0.5,1,до &nbsp; 0.5,до &nbsp; 0.5,1,до &nbsp; 0.01,до &nbsp; 0.01,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,,,1,,,1,ok,
ХН58ВМКЮР-ВД,до &nbsp; 0.08,до &nbsp; 0.08,1,7.5 - 9,7.5 - 9,1,3 - 5.5,3 - 5.5,1,,,1,6 - 8,6 - 8,1,13.5 - 16,13.5 - 16,1,52.88 - 62.4,52.88 - 62.4,1,до &nbsp; 0.3,до &nbsp; 0.3,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.01,до &nbsp; 0.01,1,до &nbsp; 0.015,до &nbsp; 0.015,1,до &nbsp; 0.07,до &nbsp; 0.07,1,,,1,,,1,ok,
ХН60ВТ,до &nbsp; 0.1,до &nbsp; 0.1,1,23.5 - 26.5,23.5 - 26.5,1,,,1,,,1,13 - 16,13 - 16,1,,,1,50.874 - 63.2,50.874 - 63.2,1,до &nbsp; 0.5,до &nbsp; 0.5,1,до &nbsp; 0.8,до &nbsp; 0.8,1,до &nbsp; 0.013,до &nbsp; 0.013,1,до &nbsp; 0.013,до &nbsp; 0.013,1,,,1,,,1,,,1,ok,
ХН60МЮВТ-ВД,0.04 - 0.09,0.04 - 0.09,1,17 - 19,17 - 19,1,5 - 7,5 - 7,1,,,1,2.5 - 4,2.5 - 4,1,,,1,57.77 - 68.46,57.77 - 68.46,1,до &nbsp; 0.5,до &nbsp; 0.5,1,до &nbsp; 0.5,до &nbsp; 0.5,1,до &nbsp; 0.01,до &nbsp; 0.01,1,до &nbsp; 0.015,до &nbsp; 0.015,1,до &nbsp; 0.07,до &nbsp; 0.07,1,,,1,,,1,ok,
ХН60Ю,до &nbsp; 0.1,до &nbsp; 0.1,1,15 - 18,15 - 18,1,,,1,,,1,,,1,,,1,55 - 58,55 - 58,1,до &nbsp; 0.3,до &nbsp; 0.3,1,до &nbsp; 0.8,до &nbsp; 0.8,1,до &nbsp; 0.02,до &nbsp; 0.02,1,до &nbsp; 0.02,до &nbsp; 0.02,1,,,1,,,1,,,1,ok,
ХН62МВКЮ,до &nbsp; 0.1,до &nbsp; 0.1,1,8.5 - 10.5,8.5 - 10.5,1,9 - 11.5,9 - 11.5,1,,,1,4.3 - 6,4.3 - 6,1,4 - 6,4 - 6,1,56.034 - 70,56.034 - 70,1,до &nbsp; 0.3,до &nbsp; 0.3,1,до &nbsp; 0.6,до &nbsp; 0.6,1,до &nbsp; 0.011,до &nbsp; 0.011,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,,,1,,,1,ok,
ХН65ВМТЮ,Дж/(кг·град),Дж/(кг·град),1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,ok,
ХН67МВТЮ,до &nbsp; 0.08,до &nbsp; 0.08,1,17 - 20,17 - 20,1,4 - 5,4 - 5,1,,,1,4 - 5,4 - 5,1,,,1,60.48 - 68.8,60.48 - 68.8,1,до &nbsp; 0.5,до &nbsp; 0.5,1,до &nbsp; 0.6,до &nbsp; 0.6,1,до &nbsp; 0.01,до &nbsp; 0.01,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,,,1,,,1,ok,
ХН70ВМТЮ,до &nbsp; 0.12,до &nbsp; 0.12,1,13 - 16,13 - 16,1,2 - 4,2 - 4,1,0.1 - 0.5,0.1 - 0.5,1,5 - 7,5 - 7,1,,,1,61.5 - 76.4,61.5 - 76.4,1,до &nbsp; 0.5,до &nbsp; 0.5,1,до &nbsp; 0.7,до &nbsp; 0.7,1,до &nbsp; 0.02,до &nbsp; 0.02,1,до &nbsp; 0.02,до &nbsp; 0.02,1,,,1,,,1,,,1,ok,
ХН70ВМТЮФ,до &nbsp; 0.12,до &nbsp; 0.12,1,13 - 16,13 - 16,1,2.5 - 4,2.5 - 4,1,0.2 - 1,0.2 - 1,1,5 - 7,5 - 7,1,,,1,60.621 - 75.2,60.621 - 75.2,1,до &nbsp; 0.5,до &nbsp; 0.5,1,до &nbsp; 0.6,до &nbsp; 0.6,1,до &nbsp; 0.009,до &nbsp; 0.009,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,,,1,,,1,ok,
ХН70ВМЮТ,0.01 - 0.16,0.01 - 0.16,1,14 - 16,14 - 16,1,3 - 5,3 - 5,1,,,1,4 - 6,4 - 6,1,,,1,65.02 - 76.29,65.02 - 76.29,1,до &nbsp; 0.5,до &nbsp; 0.5,1,до &nbsp; 0.6,до &nbsp; 0.6,1,до &nbsp; 0.02,до &nbsp; 0.02,1,до &nbsp; 0.02,до &nbsp; 0.02,1,до &nbsp; 0.07,до &nbsp; 0.07,1,,,1,,,1,ok,
ХН70МВТЮБ,до &nbsp; 0.12,до &nbsp; 0.12,1,16 - 19,16 - 19,1,4 - 6,4 - 6,1,,,1,2 - 3.5,2 - 3.5,1,,,1,59.425 - 74.6,59.425 - 74.6,1,до &nbsp; 0.5,до &nbsp; 0.5,1,до &nbsp; 0.6,до &nbsp; 0.6,1,до &nbsp; 0.01,до &nbsp; 0.01,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,0.5 - 1.3,0.5 - 1.3,1,,,1,ok,
ХН70Ю,до &nbsp; 0.1,до &nbsp; 0.1,1,26 - 29,26 - 29,1,,,1,,,1,,,1,,,1,65.073 - 71.2,65.073 - 71.2,1,до &nbsp; 0.3,до &nbsp; 0.3,1,до &nbsp; 0.8,до &nbsp; 0.8,1,до &nbsp; 0.012,до &nbsp; 0.012,1,до &nbsp; 0.015,до &nbsp; 0.015,1,до &nbsp; 0.07,до &nbsp; 0.07,1,,,1,,,1,ok,
ХН75ВМЮ,до &nbsp; 0.12,до &nbsp; 0.12,1,9 - 11,9 - 11,1,5 - 6.5,5 - 6.5,1,до &nbsp; 0.7,до &nbsp; 0.7,1,4.5 - 5.5,4.5 - 5.5,1,,,1,65.725 - 77.49,65.725 - 77.49,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.01,до &nbsp; 0.01,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,,,1,,,1,ok,
ХН75МБТЮ,до &nbsp; 0.1,до &nbsp; 0.1,1,19 - 22,19 - 22,1,1.8 - 2.3,1.8 - 2.3,1,,,1,,,1,,,1,68.568 - 77.6,68.568 - 77.6,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.8,до &nbsp; 0.8,1,до &nbsp; 0.012,до &nbsp; 0.012,1,до &nbsp; 0.02,до &nbsp; 0.02,1,,,1,0.9 - 1.3,0.9 - 1.3,1,,,1,ok,
ХН77ТЮ,до &nbsp; 0.07,до &nbsp; 0.07,1,19 - 22,19 - 22,1,,,1,,,1,,,1,,,1,70.083 - 77.4,70.083 - 77.4,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.6,до &nbsp; 0.6,1,до &nbsp; 0.007,до &nbsp; 0.007,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,,,1,,,1,ok,
ХН77ТЮР,до &nbsp; 0.07,до &nbsp; 0.07,1,19 - 22,19 - 22,1,,,1,,,1,,,1,,,1,70.076 - 77.4,70.076 - 77.4,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.6,до &nbsp; 0.6,1,до &nbsp; 0.007,до &nbsp; 0.007,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,,,1,,,1,ok,
ХН77ТЮРУ,0.04 - 0.08,0.04 - 0.08,1,19 - 22,19 - 22,1,,,1,,,1,,,1,,,1,71.967 - 77.66,71.967 - 77.66,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.6,до &nbsp; 0.6,1,до &nbsp; 0.007,до &nbsp; 0.007,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,,,1,,,1,ok,
ХН78Т,до &nbsp; 0.12,до &nbsp; 0.12,1,19 - 22,19 - 22,1,,,1,,,1,,,1,,,1,70.003 - 80.85,70.003 - 80.85,1,до &nbsp; 0.7,до &nbsp; 0.7,1,до &nbsp; 0.8,до &nbsp; 0.8,1,до &nbsp; 0.012,до &nbsp; 0.012,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,,,1,,,1,ok,
ХН80ТБЮ,до &nbsp; 0.08,до &nbsp; 0.08,1,15 - 18,15 - 18,1,,,1,,,1,,,1,,,1,72.293 - 81.7,72.293 - 81.7,1,до &nbsp; 1,до &nbsp; 1,1,до &nbsp; 0.8,до &nbsp; 0.8,1,до &nbsp; 0.012,до &nbsp; 0.012,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,1 - 1.5,1 - 1.5,1,,,1,ok,
ЭП975-ИД,0.1 - 0.16,0.1 - 0.16,1,7.5 - 9,7.5 - 9,1,0.8 - 1.5,0.8 - 1.5,1,,,1,9.5 - 11,9.5 - 11,1,14.1 - 17,14.1 - 17,1,49.11 - 58.5,49.11 - 58.5,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.01,до &nbsp; 0.01,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,1 - 2,1 - 2,1,,,1,ok,
