grade,splav_c,db_c,match_c,splav_cr,db_cr,match_cr,splav_mo,db_mo,match_mo,splav_v,db_v,match_v,splav_w,db_w,match_w,splav_co,db_co,match_co,splav_ni,db_ni,match_ni,splav_mn,db_mn,match_mn,splav_si,db_si,match_si,splav_s,db_s,match_s,splav_p,db_p,match_p,splav_cu,db_cu,match_cu,splav_nb,db_nb,match_nb,splav_n,db_n,match_n,status,mismatch_fields
10Х2М,0.08 - 0.12,0.08 - 0.12,1,2 - 2.5,2 - 2.5,1,0.6 - 0.8,0.6 - 0.8,1,,,1,,,1,,,1,до &nbsp; 0.3,до &nbsp; 0.3,1,0.4 - 0.7,0.4 - 0.7,1,0.17 - 0.37,0.17 - 0.37,1,до &nbsp; 0.02,до &nbsp; 0.02,1,до &nbsp; 0.02,до &nbsp; 0.02,1,,,1,,,1,,,1,ok,
12Г2,0.08 - 0.17,0.08 - 0.17,1,до &nbsp; 0.3,до &nbsp; 0.3,1,,,1,,,1,,,1,,,1,до &nbsp; 0.3,до &nbsp; 0.3,1,1.2 - 1.6,1.2 - 1.6,1,0.17 - 0.37,0.17 - 0.37,1,до &nbsp; 0.03,до &nbsp; 0.03,1,до &nbsp; 0.035,до &nbsp; 0.035,1,,,1,,,1,,,1,ok,
12Х2М,0.09 - 0.12,0.09 - 0.12,1,2 - 2.5,2 - 2.5,1,0.6 - 0.8,0.6 - 0.8,1,,,1,,,1,,,1,до &nbsp; 0.3,до &nbsp; 0.3,1,0.4 - 0.7,0.4 - 0.7,1,0.17 - 0.37,0.17 - 0.37,1,до &nbsp; 0.02,до &nbsp; 0.02,1,до &nbsp; 0.02,до &nbsp; 0.02,1,,,1,,,1,,,1,ok,
12Х2Н4А,0.09 - 0.15,0.09 - 0.15,1,1.25 - 1.65,1.25 - 1.65,1,,,1,,,1,,,1,,,1,3.25 - 3.65,3.25 - 3.65,1,0.3 - 0.6,0.3 - 0.6,1,0.17 - 0.37,0.17 - 0.37,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.3,до &nbsp; 0.3,1,,,1,,,1,ok,
12Х2НВФА,0.09 - 0.16,0.09 - 0.16,1,1.9 - 2.4,1.9 - 2.4,1,,,1,0.18 - 0.28,0.18 - 0.28,1,1 - 1.4,1 - 1.4,1,,,1,0.8 - 1.2,0.8 - 1.2,1,0.3 - 0.7,0.3 - 0.7,1,0.17 - 0.37,0.17 - 0.37,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.25,до &nbsp; 0.25,1,,,1,,,1,ok,
12Х2НВФМА,0.09 - 0.16,0.09 - 0.16,1,1.9 - 2.4,1.9 - 2.4,1,0.35 - 0.45,0.35 - 0.45,1,0.18 - 0.28,0.18 - 0.28,1,1 - 1.4,1 - 1.4,1,,,1,1.2 - 1.6,1.2 - 1.6,1,0.6 - 0.9,0.6 - 0.9,1,0.17 - 0.37,0.17 - 0.37,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.25,до &nbsp; 0.25,1,,,1,,,1,ok,
12Х2НМ1ФА,0.09 - 0.16,0.09 - 0.16,1,1.9 - 2.4,1.9 - 2.4,1,0.7 - 1,0.7 - 1,1,0.18 - 0.28,0.18 - 0.28,1,,,1,,,1,1.2 - 1.6,1.2 - 1.6,1,0.6 - 0.9,0.6 - 0.9,1,0.17 - 0.37,0.17 - 0.37,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.25,до &nbsp; 0.25,1,,,1,,,1,ok,
12Х2НМФА,0.09 - 0.16,0.09 - 0.16,1,1.9 - 2.4,1.9 - 2.4,1,0.35 - 0.45,0.35 - 0.45,1,0.18 - 0.28,0.18 - 0.28,1,,,1,,,1,0.8 - 1.2,0.8 - 1.2,1,0.3 - 0.7,0.3 - 0.7,1,0.17 - 0.37,0.17 - 0.37,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.25,до &nbsp; 0.25,1,,,1,,,1,ok,
12ХН,0.09 - 0.15,0.09 - 0.15,1,0.4 - 0.7,0.4 - 0.7,1,,,1,,,1,,,1,,,1,0.5 - 0.8,0.5 - 0.8,1,0.3 - 0.6,0.3 - 0.6,1,0.17 - 0.37,0.17 - 0.37,1,до &nbsp; 0.035,до &nbsp; 0.035,1,до &nbsp; 0.035,до &nbsp; 0.035,1,до &nbsp; 0.3,до &nbsp; 0.3,1,,,1,,,1,ok,
12ХН2,0.09 - 0.16,0.09 - 0.16,1,0.6 - 0.9,0.6 - 0.9,1,,,1,,,1,,,1,,,1,1.5 - 1.9,1.5 - 1.9,1,0.3 - 0.6,0.3 - 0.6,1,0.17 - 0.37,0.17 - 0.37,1,до &nbsp; 0.035,до &nbsp; 0.035,1,до &nbsp; 0.035,до &nbsp; 0.035,1,до &nbsp; 0.3,до &nbsp; 0.3,1,,,1,,,1,ok,
