value,count
AISI 55C3,1
AISI 55C8,1
AISI 55S2,1
AISI 55S7,1
AISI 5C2,1
AISI 5S2,1
AISI 60C2,1
AISI 60C4,1
AISI 60S7,1
AISI 653M31,1
AISI 65S7,1
AISI 65X13,1
AISI 6C27,1
AISI 6F7,1
AISI 708H45,1
AISI 708M40,1
AISI 735A50,1
AISI 735A51,1
AISI 735H51,1
AISI 735M50,1
AISI 7X3,1
AISI 817M40,1
AISI 823M30,1
AISI 8N2,1
AISI 95V4,1
AISI 95X18,1
AISI 9X2,1
AISI A2,1
AISI D2,1
AISI D3,1
AISI M1,1
AISI M2,1
AISI M3,1
AISI M310,1
AISI M340,1
AISI M35,1
AISI M390,1
AISI M4,1
AISI M42,1
AISI M48,1
AISI M62,1
AISI M63,1
AISI M7,1
AISI M841,1
AISI O1,1
AK2 Special,1
AK4R,1
AL-158,1
AL7,1
AMAGNIT,1
ARGESTE,1
ARS,1
ASK-1100,1
ASTM B160,1
ASTM B162,1
ATS-34,1
ATS34,1
AUS60,1
Air Hard,1
Air-True,1
Air4,1
AirMo,1
AirPro,1
AirTem,1
AirTrueLC,1
Aircool,1
Airdi,1
Airkool,1
Airkool-S,1
Airkool-V,1
Airloy,1
Airque,1
Ajax,1
Albany,1
Alco-M,1
Alco-S,1
Aldos W2,1
Alloy Pivot,1
Alloy-B,1
Alloy10,1
AlloyC,1
Alpha1,1
Alpha2,1
Alpha3,1
Alpha4,1
Alpha7,1
Alva Extra,1
Alvar14,1
Aogami 1,1
Aogami 1A,1
Aogami 1B,1
Aogami 2A,1
Aogami 2B,1
Aogami Super,1
Aoichiko,1
Aoko 1,1
Aoko 2,1
Aoniko,1
Apache,1
Aristocrat,1
Arne,1
Athra Rim Roll,1
Atlas Refined-10,1
Atlas Spec.Alloy,1
Atlas X-10,1
Atmodie,1
Atomodie5,1
B10,1
B36,1
B67,1
B79,1
B80,1
B94,1
B98,1
BA6,1
BC115,1
BCC,1
BCD,1
BCW,1
BD1N,1
BD2,1
BD3,1
BD30P,1
BD6,1
BD7,1
BE2379,1
BE2436,1
BE4034,1
BFD,1
BFR40,1
BG-42,1
BG42,1
BH224-5,1
BM1,1
BM2,1
BM4,1
BM42,1
BO1,1
BO2,1
BR-4 FM,1
BR2,1
BRM1,1
BSC,1
BSW30,1
BTR,1
BW1,1
BW2,1
BX-3,1
Badger,1
Bearcat,1
Bearing Cr-Mo,1
Bearing Std.,1
Benum Plus,1
Best,1
Best Va Tool,1
Bethalloy,1
Bimax42+,1
Black Diamond,1
Blanco M1,1
Blanco M3,1
Blanco RCM,1
Blue 1,1
Blue 2,1
Blue Label,1
Blue Super,1
Bohler Proprietary,1
Braefour,1
Braemax,1
Braemrow,1
Braevan,1
Breda CMC,1
Brickmold,1
Buderus,1
Buster,1
C-655Co,1
C-70,1
C-CR,1
C.1680,1
C.1832,1
C.1837,1
C.1842,1
C.1941,1
C.1942,1
C.3840,1
C.4141,1
C.4150,1
C.4172,1
C.4650,1
C.4730,1
C.4755,1
C.4756,1
C.4758,1
C.4770,1
C.4772,1
C.4850,1
C.4851,1
C.5741,1
C.7880,1
C.8140,1
C.9780,1
C100,1
C100KU,1
C100W1,1
C102,1
C105W1,1
C120,1
C125SC,1
C36KU,1
C50D,1
C55,1
C655Co,1
C67,1
C70E,1
C72D,1
C75,1
C78D,1
C90,1
C92D,1
C98KU,1
CCM,1
CCW,1
CDS-18,1
CDS1,1
CDS11,1
CDS12,1
CDV2,1
CFS,1
CH,1
CH16V,1
CH17Co,1
CHD1,1
CHW,1
CK100,1
CK101,1
CK55,1
CK60,1
CK67,1
CK75,1
CK85,1
CM60,1
CNBD,1
CNS3,1
CP10V,1
CPPCX,1
CPPU,1
CPV2,1
CPW,1
CRD,1
CRM,1
CRM1,1
CRP,1
CRP01,1
CRV1,1
CRV2,1
CRVSilberstahl,1
CS13M,1
CS13M Extra,1
CSM,1
CSM420,1
CSM6,1
CSP,1
CSW20,1
CTS-20CP,1
CTS-B75,1
CTS-B75P,1
CTS-BD1N,1
CTS-BD30P,1
CTS-BD4,1
CTS-BD4P,1
CV134,1
CWL,1
Calmax,1
Capital562,1
Carb-Van,1
Carbon,1
Carbon Chrome,1
Carbon V,1
Carbon-V,1
Carbon-Vanadium,1
Caroga,1
Carrs P576,1
Champaloy,1
Chipper,1
Chromeware,1
Chronifer M15KL,1
Chronifer M17B,1
Chronifer M17C,1
ClairMo,1
Cobalt Chrome,1
Col-Graph,1
Colonial,1
Colonial No. 6,1
Colonial No. 7,1
Columbia L-2,1
Commando,1
Coracid4112,1
Coracid420,1
Coracid420-46,1
Coracid440B,1
Corsair,1
Cowry-X,1
Cowry-Y,1
Cr-Mo-Loy,1
Cr12,1
Cr12Mo1V,1
Cr12W,1
CrW46,1
Cro-Van,1
Crocar,1
Croloy,1
Cromax PM,1
Cromax(PM),1
Cromax-PM,1
Cromodie,1
Cromodie HC,1
Cromovan,1
Cronidur 30 EVO,1
Cronidur30,1
Cronidur30 EVO,1
Crow,1
Crown Superb,1
Cru Forge V,1
Cru-Wear,1
CruWear,1
Crusader,1
Cryodur2357,1
Cryodur2833,1
Cryodur2842,1
Cuvoir,1
Cyclone92,1
Cyclops L6,1
Cyclops S1,1
D2 Mod,1
D29,1
D2E,1
D2Mod,1
D4,1
D5,1
D6,1
D7,1
D75-2,1
D80-2,1
D80-3,1
D83-2,1
D83-3,1
D85-2,1
D95-2,1
D95S3,1
DAP,1
DAP DC11,1
DBL3,1
DBL4,1
DC Extra,1
DC1,1
DC11,1
DC12,1
DC53,1
DCM,1
DEX40,1
DF2,1
DF3,1
DF35,1
DF42,1
DF6,1
DIN 1.0402,1
DIN 1.0503,1
DIN 1.0535,1
DIN 1.0540,1
DIN 1.0586,1
DIN 1.0601,1
DIN 1.0603,1
DIN 1.0605,1
DIN 1.0614,1
DIN 1.0615,1
DIN 1.0616,1
DIN 1.0617,1
DIN 1.0618,1
DIN 1.0620,1
DIN 1.0622,1
DIN 1.0626,1
DIN 1.0627,1
DIN 1.0628,1
DIN 1.0643,1
DIN 1.0645,1
DIN 1.0647,1
DIN 1.0655,1
DIN 1.0761,1
DIN 1.0904,1
DIN 1.0909,1
DIN 1.1151,1
DIN 1.1171,1
DIN 1.1178,1
DIN 1.1181,1
DIN 1.1186,1
DIN 1.1191,1
DIN 1.1193,1
DIN 1.1201,1
DIN 1.1203,1
DIN 1.1204,1
DIN 1.1206,1
DIN 1.1209,1
DIN 1.1211,1
DIN 1.1213,1
DIN 1.1221,1
DIN 1.1223,1
